id	gpdm	zwdm	name
0	002464.SZ	dsz	李化亮
0	300699.SZ	dsz	陈亮
0	000835.SZ	dsz	赵锐勇
0	002447.SZ	dsz	侯郁波
0	000723.SZ	dsz	姚锦龙
0	000762.SZ	dsz	曾泰
0	300771.SZ	dsz	干德义
0	300392.SZ	dsz	田炳信
0	002935.SZ	dsz	张建军
0	300433.SZ	dsz	周群飞
0	300580.SZ	dsz	曹余华
0	002047.SZ	dsz	李文基
0	002769.SZ	dsz	吴立扬
0	002905.SZ	dsz	李晓文
0	688588.SH	dsz	张宝泉
0	688288.SH	dsz	何军强
0	002925.SZ	dsz	林松华
0	000852.SZ	dsz	杜广义
0	300649.SZ	dsz	吕明华
0	688100.SH	dsz	吉喆
0	002015.SZ	dsz	朱钰峰
0	300038.SZ	dsz	张志勇
0	300261.SZ	dsz	蔡彤
0	002962.SZ	dsz	廖彬斌
0	002114.SZ	dsz	李尤立
0	603322.SH	dsz	梁建华
0	002473.SZ	dsz	张海洋
0	000027.SZ	dsz	熊佩锦
0	300768.SZ	dsz	郑树生
0	000652.SZ	dsz	曹红梅
0	002826.SZ	dsz	高帆
0	002241.SZ	dsz	姜滨
0	600382.SH	dsz	张坚力
0	002828.SZ	dsz	陈平贵
0	002620.SZ	dsz	李介平
0	002615.SZ	dsz	吕强
0	688006.SH	dsz	曹骥
0	002989.SZ	dsz	乔荣健
0	300648.SZ	dsz	李有财
0	300554.SZ	dsz	邹余耀
0	002483.SZ	dsz	吴建
0	300080.SZ	dsz	王安乐
0	688321.SH	dsz	XIANPING LU
0	605168.SH	dsz	钱俊冬
0	601231.SH	dsz	陈昌益
0	300783.SZ	dsz	章燎源
0	300128.SZ	dsz	顾清
0	002554.SZ	dsz	谢文辉
0	300687.SZ	dsz	张成康
0	601226.SH	dsz	文端超
0	002950.SZ	dsz	崔金海
0	000010.SZ	dsz	陈飞霖
0	000833.SZ	dsz	刘富华
0	601666.SH	dsz	潘树启
0	300516.SZ	dsz	王振华
0	002237.SZ	dsz	黄小平
0	600620.SH	dsz	叶茂菁
0	300139.SZ	dsz	程毅
0	688233.SH	dsz	潘连胜
0	002838.SZ	dsz	于晓宁
0	603068.SH	dsz	Pengfei Zhang
0	002972.SZ	dsz	郭丰明
0	000868.SZ	dsz	戴茂方
0	002912.SZ	dsz	李守宇
0	002796.SZ	dsz	王娟
0	300011.SZ	dsz	顾庆伟
0	002671.SZ	dsz	付波
0	300816.SZ	dsz	刘屹
0	300673.SZ	dsz	陈振标
0	601985.SH	dsz	刘敬
0	300657.SZ	dsz	李强
0	002384.SZ	dsz	袁永刚
0	300568.SZ	dsz	陈秀峰
0	300738.SZ	dsz	冯康
0	300548.SZ	dsz	朱伟
0	603607.SH	dsz	孙建成
0	000667.SZ	dsz	刘道明
0	000637.SZ	dsz	范洪岩
0	300682.SZ	dsz	徐长军
0	300591.SZ	dsz	林大洲
0	688555.SH	dsz	林应
0	002283.SZ	dsz	邢运波
0	603106.SH	dsz	江浩然
0	688030.SH	dsz	罗东平
0	300789.SZ	dsz	陈唐龙
0	300527.SZ	dsz	余皓
0	600870.SH	dsz	王玲玲
0	300502.SZ	dsz	高光荣
0	300748.SZ	dsz	蔡报贵
0	002981.SZ	dsz	沈庆凯
0	002465.SZ	dsz	杨海洲
0	300726.SZ	dsz	钟若农
0	000155.SZ	dsz	吕必会
0	002463.SZ	dsz	吴礼淦
0	300836.SZ	dsz	肖朝蓬
0	300532.SZ	dsz	邵健伟
0	300790.SZ	dsz	张品光
0	300133.SZ	dsz	傅梅城
0	000688.SZ	dsz	吴建元
0	000017.SZ	dsz	李海
0	600083.SH	dsz	汤永庐
0	002877.SZ	dsz	沈剑标
0	000788.SZ	dsz	宋金松
0	300560.SZ	dsz	陈融洁
0	300117.SZ	dsz	田新甲
0	002947.SZ	dsz	荆世平
0	000695.SZ	dsz	张云峰
0	000020.SZ	dsz	李中秋
0	600658.SH	dsz	王岩
0	688169.SH	dsz	昌敬
0	002786.SZ	dsz	邹健
0	300539.SZ	dsz	胡志军
0	688389.SH	dsz	刘先成
0	600178.SH	dsz	陈笠宝
0	000839.SZ	dsz	罗宁
0	300494.SZ	dsz	赖春临
0	300035.SZ	dsz	余新
0	300711.SZ	dsz	景广军
0	300581.SZ	dsz	吴坚
0	000045.SZ	dsz	朱军
0	000923.SZ	dsz	刘键
0	002267.SZ	dsz	刘宏波
0	300756.SZ	dsz	邓志毅
0	300686.SZ	dsz	吴加维
0	603982.SH	dsz	潘龙泉
0	300025.SZ	dsz	朱定楷
0	688312.SH	dsz	刘燕
0	600537.SH	dsz	李静武
0	300617.SZ	dsz	陈晓晖
0	300833.SZ	dsz	蒋伟楷
0	300533.SZ	dsz	刘和国
0	002109.SZ	dsz	樊洺僖
0	300332.SZ	dsz	陈作涛
0	000034.SZ	dsz	郭为
0	002643.SZ	dsz	黄以武
0	603087.SH	dsz	甘忠如
0	300342.SZ	dsz	骆玲
0	600666.SH	dsz	杨鑫宏
0	002401.SZ	dsz	蔡惠星
0	300021.SZ	dsz	王浩宇
0	002351.SZ	dsz	张文东
0	002679.SZ	dsz	张锦文
0	600021.SH	dsz	王运丹
