id	gpdm	gpjc	gpywjc	ssb	cxzt	gsmc	gssx	clrq	zczb	fddbr	jyfw	zycp	sf	cs	zcdz	bgdz	xydm	hymc	hydm
0	002370.SZ	亚太药业	YATAI PHARM	中小企业板	L	浙江亚太药业股份有限公司	民营企业	2001-12-31	536521950.0	陈尧根	片剂(含青霉素类)、硬胶囊剂(含头孢菌素类、青霉素类)、透皮贴剂(激素类)、冻干粉针剂(头孢菌素类)的生产(详见《中华人民共和国药品生产许可证》)，原料药的生产(详见《中华人民共和国药品生产许可证》)，经营进出口业务(国家法律法规禁止或者限制的除外)，医药相关产业项目的研究、投资与管理。	亚太药业阿莫西林阿昔洛韦片、亚太药业阿莫西林胶囊、亚太药业阿莫西林克拉维酸钾分散片、亚太药业阿奇霉素分散片、亚太药业奥美拉唑肠溶胶囊、亚太药业雌二醇缓释贴片、亚太药业罗红霉素胶囊、亚太药业螺内酯片、亚太药业氯唑沙宗片、亚太药业头孢氨苄胶囊、亚太药业头孢泊肟酯胶囊、亚太药业盐酸地尔硫卓片、亚太药业盐酸二甲双胍片、亚太药业盐酸环丙沙星片、亚太药业盐酸左氧氟沙星片、亚太药业氧氟沙星片、亚太药业依托度酸片、亚太药业注射用阿奇霉素、亚太药业注射用更昔洛韦、亚太药业注射用加替沙星、亚太药业注射用利巴韦林、亚太药业注射用头孢呋辛钠、亚太药业注射用头孢哌酮、亚太药业注射用头孢哌酮钠舒巴坦钠、亚太药业注射用头孢曲松钠	浙江省	绍兴市	浙江省绍兴市柯桥区云集路1152号	浙江省绍兴市滨海新城沥海镇南滨西路36号	91330000146008822C	制造业-医药制造业	C-C27--
0	300630.SZ	普利制药	POLY	创业板	L	海南普利制药股份有限公司	民营企业	1992-07-14	435088279.0	范敏华	兴办工厂，西药原料药、中间体和制剂、中成药、药用辅料的研发、生产、销售，卫生及医药信息服务。	阿奇霉素干混悬剂、阿司匹林双嘧达莫缓释胶囊、别嘌醇缓释片、茶碱缓释胶囊、地氯雷他定分散片、地氯雷他定干混悬剂、地氯雷他定片、二甲双胍缓释片、积雪苷霜软膏、克拉霉素缓释片、马来酸曲美布汀片、双氯芬酸钠肠溶缓释胶囊、盐酸左氧氟沙星胶囊、益肝灵液体胶囊	海南省	海口市	海南省海口市美兰区桂林洋经济开发区	海南省海口市美兰区桂林洋经济开发区	91460000620000247L	制造业-医药制造业	C-C27--
0	000558.SZ	莱茵体育	LANDER	主板	L	莱茵达体育发展股份有限公司	地方国有企业	1988-03-31	1289223949.0	刘晓亮	实业投资，体育活动的组织、策划，体育场馆的设计、施工、管理及设备安装，体育用品的研发与销售，化工原料(不含化学危险品和易制毒品)的销售，体育经纪代理业务，知识产权代理(除专利代理)，会展服务，设计、制作、代理、发布国内各类广告，设备租赁，物业管理，经济信息咨询，投资咨询，建筑技术咨询，企业管理咨询，投资管理，仓储服务(不含危险品)，资产管理。	莱因置业上海东郊庭园、莱茵东林寺商业、莱茵嘉善格林春天、莱茵沈阳格林春天、莱茵扬州瘦西湖·唐郡、莱茵仪征都市枫林、莱茵置业沈阳莱茵南郡、莱茵置业扬州莱茵苑、南京莱茵东郡、南通凤凰莱茵苑、南通莱茵国际、上海勤飞“莱茵美墅”、泰州莱茵东郡、扬州莱茵北苑	浙江省	杭州市	浙江省杭州市文三路535号莱茵达大厦	浙江省杭州市文三路535号莱茵达大厦	913300002434900169	房地产业-房地产业	K-K70--
0	000963.SZ	华东医药	HD MEDICINE	主板	L	华东医药股份有限公司	民营企业	1993-03-31	1749809548.0	吕梁	药品的生产、经营（具体范围见许可证，涉及危险品的限下属分支机构凭证经营）；预包装食品（《食品经营许可证》），第二类增值电信业务（范围详见《中华人民共和国增值电信业务经营许可证》），互联网药品交易服务（《中华人民共和国互联网药品交易服务资格证书》），货运（凭许可证经营）。健字号滋补品、保健品的销售（限下属分支机构凭证经营），消字号及杀字号用品、医疗器械、玻璃仪器、日用化学品、家用电器、农副产品（不含食品）、百货、土特产品、工艺美术品、针纺织品、医疗器械、实验仪器、诊断仪器的维修和化妆品、化学试剂（不含危险品及易制毒化学品）、眼镜、初级食用农产品、食品添加剂的批发零售，仓储服务（不含危险品），医药咨询服务，经营进出口业务，老年人护理服务（除医疗）。 中药代煎服务。 （依法须经批准的项目，经相关部门批准后方可开展经营活动）	阿卡波糖片、氨酚双氢可待因、氨酚双氢曲马多、奥硝唑原料和制剂、华东医药新赛斯平、华东医药药品代理、卡迈克拉霉素干混悬剂、狮百令胶囊、狮卡博平、狮卡司平、狮泮立苏、狮新赛斯平、萧山三水一生	浙江省	杭州市	浙江省杭州市下城区延安路468号1号楼1号门7,9,10楼	浙江省杭州市拱墅区莫干山路866号	91330000143083157E	批发和零售业-零售业	F-F52--
0	002325.SZ	洪涛股份	HONGTAO	中小企业板	L	深圳洪涛集团股份有限公司	民营企业	1985-01-14	1249442533.0	刘年新	室内外装饰设计；建筑幕墙设计；建筑装饰装修工程施工；建筑幕墙工程施工；城市及道路照明工程施工；机电安装工程施工；智能化工程施工；消防设施工程施工；建筑幕墙、门窗、木制品及石材制品的研发、设计、生产加工、销售、安装(子公司、分支机构经营)；园林雕塑设计；家私配套、空调设备、不锈钢制品的设计安装；进出口贸易业务(按深贸管字第690号)；照明产品、电线电缆、建筑材料的购销；园林绿化工程的设计与施工；房屋出租；设计和工程咨询(不含限制项目)；股权投资(不含证券、保险、银行、金融业务、人才中介服务及其他限制项目);商品销售。	北京华为基地办公楼装饰工程、北京人民大会堂国宴厅装饰工程、北京中银大厦装饰工程、钓鱼台国宾馆装饰工程、方凯华庭售楼部装饰工程、观澜曾总四合院装饰工程、国家体育场“鸟巢”体育中心装饰工程、杭州建设银行装饰工程、华侨城天鹅堡会所装修、景德镇开门子大酒店照明工程、昆山郑先生住宅装饰工程、南昌洪都大桥景观照明工程、内蒙古大剧院装饰工程、内蒙古锡林浩特大酒店装饰工程、山东烟台别墅装饰工程、上海大剧院装饰工程、上海东方艺术中心装饰工程、深圳发展银行幕墙装饰、深圳市市民中心广场夜景艺术照明设计方案、深圳银湖别墅装饰工程、万科金域蓝湾张宅装修、武汉大剧院装饰工程、星河丹堤王老师别墅装饰工程、徐州龙湖国际售楼部装饰工程、云南曲靖高速立交照明工程、浙江广电中心装饰工程、中共中央对外联络部装饰工程、中国银监会大堂装饰工程、中央电视台新址装饰工程、重庆民族广场幕墙装饰、珠海温泉海洋度假村酒店装饰工程、最高人民检察院装饰工程	广东省	深圳市	广东省深圳市罗湖区泥岗西洪涛路17号	广东省深圳市南山区高发西路28号洪涛股份大厦	914403001921910661	建筑业-建筑装饰和其他建筑业	E-E50--
0	002707.SZ	众信旅游	ZXLY	中小企业板	L	众信旅游集团股份有限公司	民营企业	1992-08-11	879115394.0	冯滨	入境旅游业务；国内旅游业务；出境旅游业务；保险兼业代理；因特网信息服务业务(除新闻、出版、教育、医疗保健、药品、医疗器械以外的内容)；图书、报纸、期刊、电子出版物、音像制品零售、网上销售(出版物经营许可证有效期至2022年4月30日)；民用航空运输销售代理；承办展览展示活动；会议服务；销售纺织、服装、日用品、文化用品、体育用品及器材、家用电器、电子产品、五金、家具、室内装饰材料；组织文化艺术交流活动(演出除外)；企业营销及形象策划；公关活动策划；技术开发；软件开发；电脑图文设计、制作；设计、制作、代理、发布广告；翻译服务；摄影扩印服务；汽车租赁、计算机及通讯设备租赁；投资咨询、房地产信息咨询、经济贸易咨询。销售化妆品、珠宝首饰、旅游用品，集邮票品、工艺品、黄金制品、白银制品(不含银币)、装帧流通人民币、花卉、厨房用具、鞋帽、箱包、通讯设备、照相器材、化工产品(不含危险化学品)、计算机、软件及辅助设备；票务代理；订房服务；销售食品、饮料。(领取本执照后，应到市交通委运输管理局备案。)	众信旅游出境团队游产品、众信旅游出境自助游产品	北京	北京市	北京市朝阳区酒仙桥北路9号(厂区)7幢1层567号	北京市朝阳区朝阳公园路8号西2门01号	91110000101126585H	租赁和商务服务业-商务服务业	L-L72--
0	000505.SZ	京粮控股	HN PEARL RIVER	主板	L	海南京粮控股股份有限公司	地方国有企业	1988-03-22	726950251.0	李少陵	食品、饮料、油脂、油料及其副产品、植物蛋白及其制品、有机肥料、微生物肥料、农业肥料的生产销售；土地整理、土壤修复；农业综合种植开发、畜牧及水产养殖业，农业器械的生产和销售；计算机网络技术、通讯项目投资，高新技术产品研制和开发应用；环保项目投资及咨询；动漫、平面设计；货物及技术进出口贸易；自有房屋的租赁。(一般经营项目自主经营，许可经营项目凭相关许可证或者批准文件经营)(依法须经批准的项目，经相关部门批准后方可开展经营活动。)	食用植物油系列产品、休闲食品的研发、生产及销售	海南省	海口市	海南省海口市滨海大道珠江广场帝豪大厦29层	海南省海口市滨海大道珠江广场帝豪大厦29楼	914600002012845568	制造业-农副食品加工业	C-C13--
0	000898.SZ	鞍钢股份	ANSC	主板	L	鞍钢股份有限公司	中央国有企业	1998-09-14	9405250201.0	王义栋	黑色金属冶炼及钢压延加工。炼焦及焦化产品、副产品生产、销售，钢材轧制的副产品生产、销售；煤炭、铁矿石、废钢销售，球团的生产、销售，钢铁产品的深加工，电力供应、输配电；化肥、工业气体、医用氧(液态)、通用零配件生产、销售；计量仪器、仪表检定；冶金原燃材料、铁合金加工；金属材料(不含专营)批发、零售及佣金代理(不含拍卖)，仓储，技术咨询、开发、转让、服务；标准物资、小型设备研制，理化性能检验，检验试样加工，化检验设备维修，货物运输代理服务，装卸搬运服务；自有房屋租赁；锰铁矿、钛铁矿、生铁、铁合金、有色金属的销售；金属丝绳及其制品制造；进口可用作原料的固定废物。	鞍钢H型钢、鞍钢槽钢、鞍钢超深冲钢、鞍钢车轮钢、鞍钢冲压钢、鞍钢船板、鞍钢弹簧钢盘条、鞍钢低合金高强度结构钢、鞍钢低碳钢盘条、鞍钢镀锌板、鞍钢高强深冲钢、鞍钢工字钢、鞍钢管线钢、鞍钢光面板、鞍钢锅炉板、鞍钢含磷钢、鞍钢焊接钢盘条、鞍钢合金盘条、鞍钢烘烤硬化钢、鞍钢角钢、鞍钢结构钢、鞍钢冷镦钢盘条、鞍钢冷轧板、鞍钢模具钢、鞍钢耐候钢、鞍钢普碳钢、鞍钢桥梁板、鞍钢球扁钢、鞍钢热轧板、鞍钢容器板、鞍钢深冲钢、鞍钢碳素结构钢、鞍钢无缝钢管、鞍钢优结钢、鞍钢优质碳素钢盘条、鞍钢优质碳素结构钢、鞍钢重轨	辽宁省	鞍山市	辽宁省鞍山市铁西区鞍钢厂区	辽宁省鞍山市铁西区鞍钢厂区	912100002426694799	制造业-黑色金属冶炼和压延加工业	C-C31--
0	300237.SZ	美晨生态	MEICHEN TECH.	创业板	L	山东美晨生态环境股份有限公司	地方国有企业	2004-11-08	1453072510.0	窦茂功	环境工程及环境修复的设计和施工；园林绿化工程施工和园林养护；节能技术及产品的研发和销售；固体废弃物处置及回收利用的相关设施的设计及运营管理；市政污水及工业废水处理项目的设计；污水处理厂的运营管理；减震橡胶制品、胶管制品及其他橡胶制品、塑料制品、机械零配件、电器机械及器材的研发、生产、销售及技术咨询服务；模具制造；金属材料、化工原料销售；出口本企业自产产品和技术，进口本企业所需的原辅材料、机械设备、仪器仪表、零部件及相关技术。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。	城市矿产、大气检测治理、工程塑料改性制品、减震降噪弹性制品、减震系统及零件、流体管路制品、流体输送系统及零件 、汽车保养、汽车快修、汽车买卖、汽车装饰、生态园林、水生态环境治理、土壤修复、系统集成悬架制品	山东省	诸城市	山东省潍坊市诸城市密州东路12001号	山东省潍坊市诸城市密州东路12001号	91370000768718095E	建筑业-土木工程建筑业	E-E48--
0	603398.SH	邦宝益智	BANBAO	主板	L	广东邦宝益智玩具股份有限公司	民营企业	2003-08-18	296382800.0	吴锭辉	生产销售益智玩具、文教体育用品、服装、塑胶制品、精密非金属模具；教育服务咨询； 积木创意培训；软件开发； 动漫设计； 图书批发、 图书零售。 （ 以上项目不涉及外商投资准入特别管理措施） （依法须经批准的项目，经相关部门批准后方可开展经营活动。）	积木玩具、婴幼儿玩具	广东省	汕头市	广东省汕头市潮汕路金园工业城13-09片区	广东省汕头市潮汕路金园工业城13-09片区	91440500752874130F	制造业-文教、工美、体育和娱乐用品制造业	C-C24--
