id	gpdm	order	name	gdcg	gdcgbl
0	000010.SZ	5	刘艳	25273006.0	3.08
0	000010.SZ	6	太平洋证券股份有限公司	24626706.0	3.0
0	000010.SZ	7	孙财亮	22730000.0	2.77
0	000010.SZ	8	新余瑞达投资有限公司	21224848.0	2.59
0	000010.SZ	9	博正资本投资有限公司	15110828.0	1.84
0	000011.SZ	0	深圳市投资控股有限公司	345412223.0	57.96
0	000011.SZ	1	中国东方资产管理股份有限公司	34970000.0	5.87
0	000011.SZ	2	段少腾	1935855.0	0.32
0	000011.SZ	3	深圳市免税商品企业有限公司	1730300.0	0.29
0	000011.SZ	4	杨耀初	1425020.0	0.24
0	000011.SZ	5	李京	1360040.0	0.23
0	000011.SZ	6	汕头市置业合信有限公司	1352861.0	0.23
0	000011.SZ	7	兴业证券股份有限公司-博道久航混合型证券投资基金	1251100.0	0.21
0	000011.SZ	8	麦富容	1221500.0	0.2
0	000011.SZ	9	中国建设银行股份有限公司-长城量化小盘股票型证券投资基金	1050000.0	0.18
0	000012.SZ	0	前海人寿保险股份有限公司-海利年年	466386874.0	15.01
0	000012.SZ	1	前海人寿保险股份有限公司-万能型保险产品	118425007.0	3.81
0	000012.SZ	2	中山润田投资有限公司	86633447.0	2.79
0	000012.SZ	3	前海人寿保险股份有限公司-自有资金	64765161.0	2.08
0	000012.SZ	4	中央汇金资产管理有限责任公司	57915488.0	1.86
0	000012.SZ	5	香港中央结算有限公司(陆股通)	56039290.0	1.8
0	000012.SZ	6	中国银河国际证券(香港)有限公司	41399778.0	1.33
0	000012.SZ	7	招商证券香港有限公司	32486067.0	1.05
0	000012.SZ	8	深国际控股(深圳)有限公司	29095000.0	0.94
0	000012.SZ	9	VANGUARD EMERGING MARKETS STOCK INDEX FUND	19320233.0	0.62
0	000014.SZ	0	深业沙河(集团)有限公司	68613391.0	34.02
0	000014.SZ	1	李剑霆	3053538.0	1.51
0	000014.SZ	2	张沐城	2198615.0	1.09
0	000014.SZ	3	彭凌云	2000024.0	0.99
0	000014.SZ	4	洪祖芳	1801600.0	0.89
0	000014.SZ	5	张丽萍	1440000.0	0.71
0	000014.SZ	6	深圳市茂安源投资有限公司	1051201.0	0.52
0	000014.SZ	7	杨全玉	1000000.0	0.5
0	000014.SZ	8	林汉腾	830099.0	0.41
0	000014.SZ	9	陈忠民	757653.0	0.38
0	000016.SZ	0	华侨城集团有限公司	523746932.0	21.75
0	000016.SZ	1	中信证券经纪(香港)有限公司	182100202.0	7.56
0	000016.SZ	2	国元证券经纪(香港)有限公司	59497225.0	2.47
0	000016.SZ	3	HOLY TIME GROUP LIMITED	56139100.0	2.33
0	000016.SZ	4	GAOLING FUND,L.P.	52801250.0	2.19
0	000016.SZ	5	华夏人寿保险股份有限公司-自有资金	50987841.0	2.12
0	000016.SZ	6	NAM NGAI	22063940.0	0.92
0	000016.SZ	7	招商证券香港有限公司	20000120.0	0.83
0	000016.SZ	8	Haitong International Securities Company Limited-Account Client	12452154.0	0.52
0	000016.SZ	9	SPDR Portfolio Emerging Markets ETF	11131563.0	0.46
0	000017.SZ	0	深圳市国晟能源投资发展有限公司	63508747.0	11.52
0	000017.SZ	1	大华继显(香港)有限公司	15907850.0	2.89
0	000017.SZ	2	国信证券(香港)经纪有限公司	13909425.0	2.52
0	000017.SZ	3	申万宏源证券(香港)有限公司	6626116.0	1.2
0	000017.SZ	4	李惠丽	3891124.0	0.71
0	000017.SZ	5	徐洪波	3187419.0	0.58
0	000017.SZ	6	葛志琼	3085552.0	0.56
0	000017.SZ	7	招商证券香港有限公司	2948288.0	0.53
0	000017.SZ	8	深圳中华自行车(集团)股份有限公司破产企业财产处置专用账户	2602402.0	0.47
0	000017.SZ	9	吴小萍	2001900.0	0.36
0	000019.SZ	0	深圳市食品物资集团有限公司	735237253.0	63.79
0	000019.SZ	1	深圳市农产品集团股份有限公司	94832294.0	8.23
0	000019.SZ	2	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	10000000.0	0.87
0	000019.SZ	3	孙慧明	3436462.0	0.3
0	000019.SZ	4	王庆和	3398000.0	0.29
0	000019.SZ	5	林俊波	3000000.0	0.26
0	000019.SZ	6	香港中央结算有限公司(陆股通)	2334778.0	0.2
0	000019.SZ	7	胡祥主	2150000.0	0.19
0	000019.SZ	8	中央汇金资产管理有限责任公司	1472625.0	0.13
0	000019.SZ	9	王淑贞	1350093.0	0.12
0	000020.SZ	0	武汉中恒新科技产业集团有限公司	119289894.0	42.13
0	000020.SZ	1	赛格(香港)有限公司	16569560.0	5.85
0	000020.SZ	2	GOOD HOPE CORNER INVESTMENTS LTD	9722000.0	3.4
0	000020.SZ	3	长江证劵经纪(香港)有限公司	5355249.0	1.89
0	000020.SZ	4	国元证劵经纪(香港)有限公司	3870117.0	1.36
0	000020.SZ	5	李中秋	2830000.0	1.0
0	000020.SZ	6	钟佳潮	1329602.0	0.47
0	000020.SZ	7	LI SHERYN ZHAN MING	1002800.0	0.36
0	000020.SZ	8	李森壮	989350.0	0.35
0	000020.SZ	9	韩亚明	864200.0	0.31
0	000021.SZ	0	中国电子信息产业集团有限公司	640127851.0	43.51
0	000021.SZ	1	博旭(香港)有限公司	106649381.0	7.25
0	000021.SZ	2	翁仁源	35680000.0	2.43
0	000021.SZ	3	柴长茂	15302618.0	1.04
0	000021.SZ	4	香港中央结算有限公司(陆股通)	9998683.0	0.68
0	000021.SZ	5	中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金	7608146.0	0.52
0	000021.SZ	6	中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金	5384270.0	0.37
0	000021.SZ	7	安健	4368044.0	0.3
0	000021.SZ	8	中央汇金资产管理有限责任公司	3993100.0	0.27
0	000021.SZ	9	基本养老保险基金一二零二组合	3883050.0	0.26
0	000023.SZ	0	广东君浩股权投资控股有限公司	38000000.0	27.39
0	000023.SZ	1	深圳市投资控股有限公司	10981216.0	7.91
0	000025.SZ	0	深圳市特发集团有限公司	211591621.0	49.09
0	000025.SZ	1	深圳远致富海珠宝产业投资企业(有限合伙)	72786341.0	16.89
0	000025.SZ	2	中信银行股份有限公司-建信中证500指数增强型证券投资基金	2812775.0	0.65
0	000025.SZ	3	GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED	1736091.0	0.4
0	000025.SZ	4	创金合信基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托	1601647.0	0.37
0	000025.SZ	5	香港中央结算有限公司(陆股通)	1208830.0	0.28
0	000025.SZ	6	中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金	986424.0	0.23
0	000025.SZ	7	基本养老保险基金一三零一组合	558070.0	0.13
0	000025.SZ	8	陈云	530000.0	0.12
0	000025.SZ	9	汇添富基金管理股份有限公司-社保基金一五零二组合	494600.0	0.11
0	000026.SZ	0	中航国际控股股份有限公司	162977327.0	36.79
0	000026.SZ	1	杨祖贵	17018806.0	3.84
0	000026.SZ	2	杨三彩	5202700.0	1.17
0	000026.SZ	3	中银基金-工商银行-上海海通证券资产管理有限公司	999200.0	0.23
0	000026.SZ	4	张学尉	958000.0	0.22
0	000026.SZ	5	鹏华基金-民生银行-鹏华基金-汇利1号资产管理计划	951700.0	0.21
0	000026.SZ	6	马新亭	900000.0	0.2
0	000026.SZ	7	李恩海	883500.0	0.2
0	000026.SZ	8	沈学文	883420.0	0.2
0	000026.SZ	9	梁少云	781312.0	0.18
0	000027.SZ	0	深圳市人民政府国有资产监督管理委员会	1896000775.0	47.82
0	000027.SZ	1	华能国际电力股份有限公司	991741659.0	25.02
0	000027.SZ	2	中国证券金融股份有限公司	90572469.0	2.28
0	000027.SZ	3	深圳市资本运营集团有限公司	37842373.0	0.95
0	000027.SZ	4	中央汇金资产管理有限责任公司	35275900.0	0.89
0	000027.SZ	5	香港中央结算有限公司(陆股通)	29846288.0	0.75
0	000027.SZ	6	陈重孚	23646923.0	0.6
0	000027.SZ	7	广东电力发展股份有限公司	12600000.0	0.32
0	000027.SZ	8	中证500交易型开放式指数证券投资基金	11032446.0	0.28
0	000027.SZ	9	深圳市投资控股有限公司	5644563.0	0.14
0	000028.SZ	0	国药控股股份有限公司	239999991.0	56.06
0	000028.SZ	1	香港中央结算有限公司(陆股通)	19472330.0	4.55
0	000028.SZ	2	HTHK/CMG FSGUFP-CMG FIRSTSTATE CHINA GROWTH FD	11469644.0	2.68
0	000028.SZ	3	全国社保基金一一八组合	7774799.0	1.82
0	000028.SZ	4	中国医药对外贸易有限公司	5323043.0	1.24
0	000028.SZ	5	富达基金(香港)有限公司-客户资金	4668607.0	1.09
0	000028.SZ	6	中央汇金资产管理有限责任公司	3804400.0	0.89
0	000028.SZ	7	BBHBOSS/AFIDELITYFD-CHINAFOCUSFD	3358761.0	0.78
0	000028.SZ	8	中国银行股份有限公司-嘉实医疗保健股票型证券投资基金	2862997.0	0.67
0	000028.SZ	9	基本养老保险基金一五零六一组合	2364393.0	0.55
0	000029.SZ	0	深圳市投资控股有限公司	642884262.0	63.55
0	000029.SZ	1	山金金控资本管理有限公司-山金金控稳健一号基金	10300000.0	1.02
