mc	gpdm	bgnd	order	bl
ALLTEKTECHNOLOGY(HK)LTD	300504.SZ	2019.0	1.0	14.74
DENKA SEIKEN CO.,Ltd.(JAPAN.日本)	300406.SZ	2017.0	2.0	4.55
DENKA SEIKEN CO.,Ltd.(JAPAN.日本)	300406.SZ	2018.0	2.0	6.19
Fonterra Ltd	002570.SZ	2017.0	4.0	4.81
上海河姆渡实业发展有限公司	300609.SZ	2017.0	4.0	4.83
上海河姆渡实业发展有限公司	300609.SZ	2018.0	5.0	2.92
中铁隧道集团有限公司	001965.SZ	2017.0	2.0	4.46
中铁隧道集团有限公司	001965.SZ	2018.0	2.0	9.05
兰州倚能电力(集团)有限公司	000791.SZ	2018.0	4.0	5.02
北京恒辉智讯科技有限公司	600225.SH	2018.0	5.0	3.38
华斯控股股份有限公司	002612.SZ	2018.0	1.0	4.63
华斯控股股份有限公司	002612.SZ	2019.0	1.0	3.78
华斯控股股份有限公司	002612.SZ	2017.0	2.0	3.3
含羞草(江苏)食品有限公司	300783.SZ	2018.0	2.0	4.03
大福(中国)物流设备有限公司	688006.SH	2017.0	4.0	4.36
天俱时工程科技集团有限公司	300091.SZ	2017.0	2.0	7.58
天津和平建工集团建筑工程有限公司	000616.SZ	2018.0	1.0	14.29
天津和平建工集团建筑工程有限公司	000616.SZ	2017.0	2.0	9.78
宁波市镇海银球轴承有限公司	603095.SH	2018.0	5.0	2.76
山东元旺电工科技有限公司	000720.SZ	2018.0	2.0	10.6
山东元旺电工科技有限公司	000720.SZ	2019.0	2.0	6.57
山东元旺电工科技有限公司	000720.SZ	2017.0	4.0	5.49
山东元旺电工科技有限公司	300120.SZ	2017.0	3.0	6.86
山东铁实商贸有限公司	000498.SZ	2018.0	5.0	1.06
山西宏盛能源开发投资集团有限公司	000723.SZ	2017.0	4.0	4.86
杭州衡贝环境科技有限公司	300332.SZ	2018.0	5.0	3.71
杭州锋自寒物资有限公司	300818.SZ	2017.0	4.0	6.95
杭州锋自寒物资有限公司	300818.SZ	2018.0	4.0	5.31
江苏正济药业股份有限公司	688189.SH	2019.0	2.0	23.66
江苏润凯燃料有限公司	000520.SZ	2019.0	2.0	8.32
江苏舜天国际集团经济协作有限公司	002778.SZ	2017.0	5.0	4.97
江西铜业股份有限公司	002617.SZ	2019.0	2.0	21.46
沈阳机床(集团)研究设计院有限公司上海分公司	000410.SZ	2019.0	4.0	1.6
浙江物产金属集团有限公司	600820.SH	2019.0	3.0	2.25
浙江铁道发展集团有限公司	002285.SZ	2018.0	4.0	1.38
浙江铁道发展集团有限公司	002285.SZ	2019.0	4.0	0.84
深圳市固源塑胶制品有限公司	300832.SZ	2018.0	3.0	5.13
深圳市固源塑胶制品有限公司	300832.SZ	2017.0	4.0	5.07
深圳市完美爱钻石有限公司	000025.SZ	2017.0	5.0	0.85
深圳市晶宫设计装饰工程有限公司	002285.SZ	2019.0	3.0	0.88
深圳市高郭氏精密机械有限公司	688310.SH	2018.0	5.0	2.73
湖北三宁化工股份有限公司	000782.SZ	2019.0	2.0	12.44
湖北三宁化工股份有限公司	000782.SZ	2018.0	3.0	10.34
湖北三宁化工股份有限公司	002971.SZ	2017.0	1.0	22.15
湖北三宁化工股份有限公司	002971.SZ	2018.0	1.0	19.41
湖北新火炬科技有限公司	603596.SH	2017.0	4.0	5.3
湖北立沪钢铁有限公司	002524.SZ	2017.0	3.0	3.09
湖南省建筑工程集团有限公司	300388.SZ	2017.0	3.0	2.82
湖南科源真空装备有限公司	688598.SH	2017.0	2.0	13.57
湖南科源真空装备有限公司	688598.SH	2018.0	3.0	10.92
湖南科源真空装备有限公司	688598.SH	2019.0	3.0	12.39
盐城市物资集团有限公司	300226.SZ	2017.0	4.0	0.97
盐城市物资集团有限公司	300226.SZ	2018.0	4.0	1.24
福建居怡竹木业有限公司	000910.SZ	2017.0	1.0	4.62
蒲城清洁能源化工有限责任公司	002102.SZ	2018.0	4.0	1.92
赣州稀土集团有限公司	300748.SZ	2019.0	3.0	12.76
长沙市芙蓉区优特调味品商行(原长沙市芙蓉区桂兰干货店)	000548.SZ	2017.0	2.0	5.57
霍尔果斯悦亨影视传媒有限公司	000892.SZ	2017.0	5.0	3.78
鹤壁煤电股份有限公司	001896.SZ	2017.0	1.0	6.1
