mc	gpdm	bgnd	order	bl
RIM	002460.SZ	2018.0	1.0	49.67
RIM	002460.SZ	2019.0	1.0	33.6
上海商科焊接设备有限公司	688218.SH	2017.0	3.0	3.51
上海商科焊接设备有限公司	688218.SH	2018.0	4.0	2.75
上海沸橙信息科技有限公司	688118.SH	2018.0	2.0	10.76
上海沸橙信息科技有限公司	688118.SH	2017.0	3.0	6.6
中国电子科技集团	688011.SH	2018.0	1.0	17.88
中国电子科技集团	688011.SH	2017.0	2.0	10.74
佛山市兆熙有色金属有限公司	000533.SZ	2019.0	5.0	4.75
公司 1	000969.SZ	2018.0	1.0	6.94
公司 1	688268.SH	2019.0	1.0	5.88
军科院微生物所	688068.SH	2017.0	4.0	4.26
利亚德光电股份有限公司	002771.SZ	2017.0	2.0	4.93
利亚德光电股份有限公司	300271.SZ	2017.0	3.0	2.34
北京鼎泰弘力影视文化传播有限公司	002425.SZ	2018.0	4.0	3.76
华硕电脑(上海)有限公司	000851.SZ	2018.0	3.0	8.41
华硕电脑(上海)有限公司	000851.SZ	2019.0	5.0	5.74
国网四川省电力公司成都供电公司	000598.SZ	2017.0	2.0	9.64
国网四川省电力公司成都供电公司	000598.SZ	2018.0	2.0	12.8
天津久瑞翔和商贸有限公司	300637.SZ	2017.0	5.0	3.45
宇芯(成都)集成电路封装测试有限公司	688018.SH	2017.0	2.0	12.03
安化县平口铁合金冶炼有限责任公司	300345.SZ	2017.0	1.0	10.07
宜兴市恒兴精细化工有限公司(合并,包括连云港中港精细化工有限公司)	300796.SZ	2018.0	1.0	22.34
山西焦化股份有限公司	600123.SH	2018.0	3.0	3.01
广西天桓贸易有限公司	000911.SZ	2018.0	1.0	4.59
必成玻璃纤维(昆山)有限公司	603256.SH	2017.0	4.0	10.27
必成玻璃纤维(昆山)有限公司	603256.SH	2018.0	4.0	8.23
成都雨墨科技有限公司	000835.SZ	2018.0	4.0	4.07
托克投资(中国)有限公司	002988.SZ	2017.0	2.0	11.16
托克投资(中国)有限公司	002988.SZ	2018.0	2.0	19.73
托克投资(中国)有限公司	002988.SZ	2019.0	2.0	35.26
揭阳万祥鸿达能源商贸有限公司	603863.SH	2017.0	5.0	5.14
普宁市大昌食品有限公司	002495.SZ	2017.0	4.0	7.38
杭州泛嘉国际旅行有限公司	688088.SH	2018.0	5.0	1.97
武汉燃控科技热能工程有限公司	300152.SZ	2017.0	4.0	2.75
江苏新纪元公用事业建设有限公司	300284.SZ	2019.0	2.0	3.81
江西铜业香港有限公司	002237.SZ	2019.0	3.0	3.51
江阴江盛不锈钢制品有限公司	603985.SH	2017.0	2.0	12.39
河北建工集团有限责任公司	000685.SZ	2019.0	3.0	5.65
浙江昂成新能源有限公司	603105.SH	2017.0	3.0	9.29
滨化集团	603379.SH	2018.0	4.0	4.83
茌平县德通生物有限公司	000597.SZ	2017.0	5.0	1.85
茌平县德通生物有限公司	000597.SZ	2018.0	5.0	1.24
鄂尔多斯市君正能源化工有限公司	600618.SH	2019.0	2.0	16.47
鄂尔多斯市君正能源化工有限公司	600618.SH	2018.0	3.0	14.14
重庆奥根科技股份有限公司	688010.SH	2018.0	5.0	3.96
铨福发展有限公司	002693.SZ	2017.0	1.0	72.49
铨福发展有限公司	002693.SZ	2018.0	1.0	45.04
鼎熙国讯科技有限公司	002465.SZ	2019.0	4.0	1.68
