mc	gpdm	bgnd	order	bl
Advantage Petroleum (HK) Limited	600856.SH	2018.0	5.0	""
GLOBALFOUNDRIES Singapore Pte.Ltd.	000670.SZ	2017.0	1.0	43.67
Shugamiin denj	000856.SZ	2017.0	3.0	1.19
Taiwan Semiconductor Manufacturing Company,Ltd	000670.SZ	2017.0	3.0	8.22
三门峡义翔铝业有限公司	688357.SH	2019.0	3.0	6.8
三门峡义翔铝业有限公司	688357.SH	2018.0	4.0	6.5
上海辉赛实业有限公司	002114.SZ	2019.0	3.0	6.5
上海邦傲贸易商行	300326.SZ	2019.0	2.0	10.73
上海钢银电子商务股份有限公司	600820.SH	2018.0	1.0	5.38
中建一局集团第五建筑有限公司	000042.SZ	2018.0	3.0	2.58
中建一局集团第五建筑有限公司	000042.SZ	2017.0	4.0	0.81
中建一局集团第五建筑有限公司	000042.SZ	2019.0	4.0	6.97
中铁三局运输工程分公司	000557.SZ	2018.0	3.0	3.76
任建东	300313.SZ	2018.0	5.0	2.87
佛山市顺德区华鹏贸易有限公司	002824.SZ	2017.0	3.0	10.55
北京舜风国际广告有限公司	300434.SZ	2017.0	2.0	5.52
南京谦易泰达信息技术有限公司	688555.SH	2017.0	3.0	8.48
南京谦易泰达信息技术有限公司	688555.SH	2019.0	4.0	7.55
南通化工轻工股份有限公司	002312.SZ	2019.0	5.0	2.68
南通化工轻工股份有限公司	603948.SH	2018.0	4.0	5.3
合肥市国土资源局	000961.SZ	2018.0	1.0	5.62
大连冰山集团冷冻设备有限公司	000530.SZ	2018.0	5.0	2.24
大连冰山集团冷冻设备有限公司	000530.SZ	2019.0	5.0	1.95
天津市南开区教育局	000965.SZ	2018.0	3.0	2.29
山东创新金属	603596.SH	2017.0	1.0	16.4
山西盛世集团有限公司	000825.SZ	2018.0	4.0	1.89
山西盛世集团有限公司	000825.SZ	2019.0	5.0	1.74
工商应5	002297.SZ	2017.0	5.0	3.18
广东中轻糖业集团有限公司	300147.SZ	2017.0	4.0	1.13
怡球金属资源再生(中国)股份有限公司	603982.SH	2017.0	2.0	11.44
怡球金属资源再生(中国)股份有限公司	603982.SH	2018.0	3.0	7.69
怡球金属资源再生(中国)股份有限公司	002931.SZ	2017.0	2.0	9.57
新乡市慕青商贸有限公司	000930.SZ	2018.0	3.0	1.28
无锡市联合恒洲化工有限公司	300332.SZ	2019.0	5.0	2.48
昆山道侨装饰工程有限公司	000010.SZ	2017.0	3.0	6.35
林绍熙	000735.SZ	2019.0	4.0	3.03
汉堡南美	603967.SH	2017.0	3.0	7.16
汉堡南美	603967.SH	2018.0	3.0	6.4
江苏信拓建设(集团)股份有限公司	000961.SZ	2019.0	4.0	0.55
江苏贸金供应链管理有限公司	000603.SZ	2018.0	2.0	8.32
江苏骥洋食品有限公司,靖江市上味食品有限公司	603719.SH	2018.0	3.0	4.06
江苏骥洋食品有限公司,靖江市上味食品有限公司	603719.SH	2017.0	4.0	3.07
浙江东亚药业股份有限公司	300630.SZ	2017.0	3.0	8.22
深圳中天精装股份有限公司	001914.SZ	2017.0	4.0	1.15
深圳市宇通顺五金制品有限公司	002979.SZ	2017.0	4.0	4.42
深圳市有方科技股份有限公司	688100.SH	2017.0	2.0	4.29
深圳市有方科技股份有限公司	688100.SH	2018.0	5.0	3.45
深圳市椰子互娱网络技术有限公司	002425.SZ	2018.0	3.0	5.64
清远市信达化工原料有限公司	300769.SZ	2017.0	5.0	4.34
湖南恒松机电工程有限公司	000504.SZ	2018.0	2.0	4.64
湖南祺清贸易有限公司	600929.SH	2017.0	1.0	18.32
甘肃华澳铁路综合工程有限公司银川分公司	000557.SZ	2018.0	5.0	2.19
紫水鸟影视有限合营公司	300081.SZ	2017.0	3.0	3.48
绵阳市通力汽车运输有限公司	002357.SZ	2017.0	4.0	5.11
西安乐来网络科技有限公司	300329.SZ	2019.0	4.0	5.03
重庆远达烟气治理特许经营有限公司石家庄分公司	000958.SZ	2017.0	4.0	5.76
金冠嘉华电力有限公司	000612.SZ	2018.0	5.0	4.78
长春轨道客车股份有限公司	000065.SZ	2017.0	1.0	14.59
长春轨道客车股份有限公司	000065.SZ	2018.0	1.0	6.78
陕西煤业化工贸易物流有限公司	000899.SZ	2019.0	4.0	8.68
陕西煤业化工贸易物流有限公司	000899.SZ	2018.0	5.0	6.48
陕西长恒实业有限公司	000159.SZ	2019.0	5.0	3.59
飞利浦照明(中国)投资有限公司	600288.SH	2017.0	2.0	14.83
飞利浦照明(中国)投资有限公司	600288.SH	2018.0	2.0	10.6
