mc	gpdm	bgnd	order	bl
DENKASEIKENCO.,Ltd.(JAPAN.日本)	300406.SZ	2019.0	2.0	7.31
Infineon Technology AG	603290.SH	2017.0	1.0	20.74
Infineon Technology AG	603290.SH	2018.0	2.0	16.63
Life Technologies Holdings PteLtd(Applied Biosystems B.V.)	002030.SZ	2017.0	1.0	25.45
Mri Trading Ag	002237.SZ	2017.0	5.0	2
NIDEC SANKYO CORPORATION	688037.SH	2017.0	1.0	11.62
NIDEC SANKYO CORPORATION	688037.SH	2018.0	1.0	11.98
PT.IndoFudongKonstruksi	300208.SZ	2018.0	5.0	8.29
PT.IndoFudongKonstruksi	300208.SZ	2019.0	5.0	5.2
SHK INTERNATIONAL HOLDINGS LIMITED	600590.SH	2017.0	4.0	""
TCL商用信息科技(惠州)股份有限公司	002285.SZ	2017.0	2.0	0.82
Taiwan  Semiconductor Manufacturing Co., Ltd	688018.SH	2017.0	1.0	58.02
wingsToursGulfLLC	300795.SZ	2019.0	3.0	3.91
上海城建物资有限公司	600820.SH	2019.0	1.0	3.36
上海城建物资有限公司	600820.SH	2018.0	2.0	3.76
上海市机械设备成套(集团)有限公司	688599.SH	2018.0	2.0	4.1
上海楚犀实业有限公司	000518.SZ	2018.0	4.0	6.47
中船重工物资贸易集团广州有限公司	600678.SH	2017.0	5.0	10.28
中船重工物资贸易集团广州有限公司	002882.SZ	2017.0	3.0	16.16
临沂顺鑫木业有限公司	603610.SH	2018.0	5.0	3.56
佛山佐尔汽车部件有限公司	002967.SZ	2018.0	5.0	""
信利电子有限公司	603236.SH	2017.0	5.0	2.34
内蒙古伊利实业集团股份有限公司	000759.SZ	2017.0	2.0	3.22
南京华之虹电子工程有限公司	300229.SZ	2018.0	2.0	4.03
南京华之虹电子工程有限公司	300229.SZ	2019.0	3.0	6.67
古城区顾菊花鲜肉摊	002033.SZ	2017.0	5.0	1.39
合肥亿帆生物医药有限公司	002435.SZ	2018.0	1.0	28.58
国电青山热电有限公司	000966.SZ	2018.0	2.0	6.46
国电青山热电有限公司	000966.SZ	2019.0	2.0	7.86
国电青山热电有限公司	000966.SZ	2017.0	3.0	9.23
国网河北省电力公司邯郸供电分公司	000778.SZ	2018.0	2.0	1.76
国网河北省电力公司邯郸供电分公司	000778.SZ	2019.0	2.0	1.7
宁夏丰昊配售电有限公司	000862.SZ	2019.0	2.0	15.18
宁波建霖国际贸易有限公司	002048.SZ	2018.0	3.0	1.79
宁波建霖国际贸易有限公司	002048.SZ	2017.0	4.0	1.72
宁波恒富汽车部件发展有限公司	000622.SZ	2017.0	4.0	6.24
山西兰花煤炭实业集团有限公司	600123.SH	2018.0	2.0	5
山西兰花煤炭实业集团有限公司	600123.SH	2019.0	2.0	5.69
山西盛龙华磁材有限公司	300811.SZ	2018.0	1.0	15.15
山西盛龙华磁材有限公司	300811.SZ	2017.0	2.0	9.94
广州特美声电器有限公司	000061.SZ	2018.0	5.0	0.65
张娟	300829.SZ	2019.0	5.0	2.28
无锡机床股份有限公司	000595.SZ	2019.0	3.0	5
杭州惠丰化纤有限公司	300819.SZ	2017.0	1.0	9.39
杭州惠丰化纤有限公司	300819.SZ	2018.0	1.0	14.57
柯达乐芮管理(上海)有限公司	002987.SZ	2017.0	4.0	""
武汉汉王公司	688318.SH	2017.0	4.0	2.5
武汉汉王公司	688318.SH	2018.0	5.0	3.47
河北京九保温材料有限公司	300055.SZ	2017.0	2.0	9.02
河北京九保温材料有限公司	300055.SZ	2018.0	2.0	4.69
浙江华成建设集团有限公司	000558.SZ	2018.0	1.0	18.89
深圳市信和成五金机电有限公司	002972.SZ	2018.0	5.0	1.12
湖北竞速商贸有限公司	000785.SZ	2017.0	5.0	1.4
湖北竞速商贸有限公司	000785.SZ	2018.0	5.0	1.41
湖北竞速商贸有限公司	000501.SZ	2017.0	2.0	1.95
湖北竞速商贸有限公司	000501.SZ	2018.0	2.0	2.12
湖北竞速商贸有限公司	000501.SZ	2019.0	3.0	2.46
玉林市福康药业有限公司	002198.SZ	2018.0	4.0	5.72
紫水鸟影像公司	300081.SZ	2019.0	3.0	7.43
纪梵希(上海)商贸有限公司	002656.SZ	2017.0	1.0	8.8
纪梵希(上海)商贸有限公司	002656.SZ	2018.0	5.0	4.04
诸暨市洋湖机械铸造厂(普通合伙)	002633.SZ	2017.0	4.0	5.03
鄢陵县连发棉业有限公司	002172.SZ	2017.0	4.0	2.89
重庆佳杰创越营销结算有限公司	300344.SZ	2019.0	5.0	4.75
金华市新宏远线缆有限公司	603657.SH	2017.0	1.0	10.66
阜阳欣奕华材料科技有限公司	688181.SH	2017.0	1.0	17.78
阜阳欣奕华材料科技有限公司	688181.SH	2018.0	2.0	16.01
香河正大	002186.SZ	2017.0	4.0	1.4
香港交易所资讯公司	688318.SH	2017.0	3.0	10.25
香港交易所资讯公司	688318.SH	2018.0	3.0	7.07
香港交易所资讯公司	688318.SH	2019.0	3.0	5.59
齐鲁交通材料技术开发有限公司	000498.SZ	2018.0	2.0	1.96
