mc	gpdm	bgnd	order	bl
ACME Energy Services, Inc	300191.SZ	2018.0	5.0	2.01
ADMInternationalSARL	600096.SH	2017.0	4.0	""
CARGILLINTERNATIONALSA	600096.SH	2017.0	2.0	""
S001	688126.SH	2018.0	1.0	9.72
上海药明康德新药开发有限公司	688266.SH	2017.0	4.0	3.86
上海药明康德新药开发有限公司	688266.SH	2018.0	4.0	3.64
上海药明康德新药开发有限公司	688177.SH	2018.0	5.0	2.8
上海飙鑫实业有限公司	601212.SH	2019.0	4.0	""
中国铝业郑州有色金属研究院有限公司	688300.SH	2018.0	2.0	5.41
中石化第十建设有限公司	300055.SZ	2017.0	4.0	5.97
乌鲁木齐华安瑞信能源科技有限公司	603706.SH	2017.0	4.0	1.35
保健药业(香港)有限公司	300086.SZ	2019.0	1.0	18.22
克拉玛依市尤龙技术服务有限公司	002629.SZ	2019.0	3.0	5.1
包头汇泽铝业有限公司	300828.SZ	2017.0	1.0	47.17
包头汇泽铝业有限公司	300828.SZ	2018.0	1.0	53.09
包头汇泽铝业有限公司	300828.SZ	2019.0	1.0	29.41
北京天和恒力科技发展有限公司	002987.SZ	2018.0	2.0	""
北京志远思齐信息技术有限责任公司	688228.SH	2018.0	3.0	4.63
北京志远思齐信息技术有限责任公司	688228.SH	2017.0	4.0	3.57
台湾保来得股份有限公司	603348.SH	2017.0	5.0	3.46
嘉兴百盛光电有限公司	002962.SZ	2017.0	2.0	14.93
嘉能可(北京)商业有限公司	000878.SZ	2018.0	1.0	7.01
嘉能可(北京)商业有限公司	000878.SZ	2017.0	4.0	5.22
嘉能可(北京)商业有限公司	000878.SZ	2019.0	5.0	4.46
威健实业国际有限公司	002848.SZ	2017.0	2.0	3.77
威健实业国际有限公司	002979.SZ	2018.0	2.0	5.22
威健实业国际有限公司	002979.SZ	2019.0	4.0	5.05
宁波丰众化工有限公司	300821.SZ	2017.0	4.0	6.06
宁波丰众化工有限公司	300821.SZ	2018.0	5.0	4.5
山东信发华源贸易有限公司	000933.SZ	2018.0	2.0	5.84
山东信发华源贸易有限公司	000933.SZ	2019.0	2.0	6.79
山东信发华源贸易有限公司	000933.SZ	2017.0	3.0	6.43
广东粤港供水有限公司	000048.SZ	2018.0	3.0	3.56
广东粤港供水有限公司	000048.SZ	2017.0	4.0	4.14
广西展飞建筑劳务有限公司	002929.SZ	2019.0	1.0	31.55
广西展飞建筑劳务有限公司	002929.SZ	2018.0	2.0	26.78
方圆广电	002967.SZ	2017.0	1.0	10.9
方圆广电	002967.SZ	2018.0	1.0	8.69
无锡兴达	603059.SH	2017.0	3.0	5.8
无锡市贵金属电子材料有限公司	002937.SZ	2017.0	3.0	3.51
易拉盖	603156.SH	2018.0	4.0	2.46
武汉中和海洋光讯有限公司	688011.SH	2017.0	4.0	4.18
江西天奇金泰阁钴业有限公司	300835.SZ	2019.0	1.0	5.89
江阴市天虹金属铸造有限公司	603985.SH	2017.0	1.0	32.84
浏阳市瑞虎机械制造有限公司	002903.SZ	2017.0	2.0	4.66
浙江大隆合金钢有限公司	002552.SZ	2017.0	4.0	5.97
海南电网公司三亚供电局	000613.SZ	2019.0	1.0	31.87
海南电网公司三亚供电局	000613.SZ	2017.0	2.0	25.7
海南电网公司三亚供电局	000613.SZ	2018.0	2.0	28.96
海南金盛建筑工程有限公司	000735.SZ	2018.0	3.0	3.18
深圳迈创日新科技有限公司	300076.SZ	2019.0	5.0	4.68
湖南省第六工程有限公司	001914.SZ	2017.0	2.0	6.1
美国伯乐	603392.SH	2017.0	1.0	16.23
美国伯乐	603392.SH	2018.0	1.0	18.17
美国伯乐	603392.SH	2019.0	1.0	15.03
蠡县泰祥绒毛制造有限公司	000982.SZ	2017.0	3.0	2.99
西藏晟欣达商贸有限公司	600853.SH	2018.0	1.0	2.73
