mc	gpdm	bgnd	order	bl
HORISYS DE MEXICO S.A. DE C.V.	000925.SZ	2017.0	5.0	2.26
INTEL SEMICONDUCTOR (US)	000066.SZ	2018.0	2.0	4.37
Melrob Limited	688366.SH	2019.0	4.0	3.45
上海浩慨贸易有限公司	300377.SZ	2017.0	1.0	18.03
上海浩慨贸易有限公司	300377.SZ	2018.0	1.0	26.82
上海浩慨贸易有限公司	300377.SZ	2019.0	1.0	21.69
上海茅五剑贸易有限公司	300755.SZ	2017.0	3.0	16.4
中国石油天然气股份有限公司新疆油田油气储运分公司	300191.SZ	2019.0	4.0	8.97
中普信息科技(苏州)有限公司	688555.SH	2018.0	5.0	5.18
中核华泰建设有限公司	000006.SZ	2018.0	4.0	6.51
中科荣盛(北京)信息系统有限公司	002089.SZ	2017.0	2.0	17.41
云南云河药业股份有限公司	002198.SZ	2018.0	2.0	10.69
兰州中来电化设备有限公司	000791.SZ	2019.0	1.0	7.42
北京东方富林液化气体有限公司	000820.SZ	2018.0	4.0	0.44
北京国美在线电子商务有限公司	300413.SZ	2017.0	3.0	4.32
北京沣润汇泽科技发展有限公司	300800.SZ	2018.0	1.0	7.36
北京沣润汇泽科技发展有限公司	300800.SZ	2017.0	2.0	3.46
南通科邦机械有限公司	688096.SH	2017.0	3.0	2.87
哈尔滨东轻特种材料有限责任公司	002985.SZ	2017.0	3.0	7.16
四川鸿鑫国泰电缆有限责任公司	600101.SH	2017.0	3.0	0.75
国网江西省电力有限公司乐平市供电分公司	002748.SZ	2017.0	3.0	6.54
天津泰达燃气有限责任公司	000695.SZ	2017.0	1.0	13.46
太原市天正电气成套电控有限公司	688051.SH	2017.0	5.0	3.93
宜兴市恒兴精细化工有限公司	300796.SZ	2017.0	1.0	14.94
宜兴市恒兴精细化工有限公司	300796.SZ	2019.0	1.0	24.33
宜兴市恒兴精细化工有限公司	300637.SZ	2018.0	4.0	3.7
客商2	600491.SH	2019.0	2.0	3.19
山东华鲁恒升化工股份有限公司	300765.SZ	2017.0	2.0	11.51
山东华鲁恒升化工股份有限公司	300765.SZ	2018.0	2.0	16.12
山东华鲁恒升化工股份有限公司	603192.SH	2017.0	1.0	19.6
山东华鲁恒升化工股份有限公司	000756.SZ	2018.0	1.0	12.54
山东华鲁恒升化工股份有限公司	000756.SZ	2019.0	1.0	12.25
山东华鲁恒升化工股份有限公司	000756.SZ	2017.0	2.0	7.91
山东泰开箱变有限公司	300827.SZ	2018.0	3.0	5.53
广东中冠劳务分包有限公司	002929.SZ	2017.0	3.0	10.57
广东中冠劳务分包有限公司	002929.SZ	2018.0	3.0	10.26
广东中冠劳务分包有限公司	002929.SZ	2019.0	3.0	11.19
广西柳州医药股份有限公司	600538.SH	2017.0	1.0	9.02
成都润航电子科技有限公司	300447.SZ	2019.0	5.0	4.34
承德县顺天杏仁加工有限公司	000848.SZ	2017.0	2.0	9.04
杭州灵杰电器有限公司	603551.SH	2018.0	5.0	3.62
格林美股份有限公司	688005.SH	2017.0	3.0	11.8
格林美股份有限公司	688005.SH	2018.0	3.0	9.4
格林美股份有限公司	300750.SZ	2017.0	2.0	3.65
武汉江盈顺船舶服务有限公司	000520.SZ	2018.0	4.0	5.55
江苏悦达摩比斯贸易有限公司	000996.SZ	2018.0	2.0	2.49
江苏悦达摩比斯贸易有限公司	000996.SZ	2019.0	2.0	5.21
浙江浙大网新机电科技集团有限公司	000925.SZ	2018.0	4.0	2.12
淄博乾博固超细粉加工厂	000655.SZ	2018.0	5.0	2.69
淄博晶天经贸有限公司	000627.SZ	2019.0	5.0	4.38
深圳市很有蜂格网络科技有限公司	002285.SZ	2018.0	3.0	1.39
深圳市很有蜂格网络科技有限公司	002285.SZ	2019.0	5.0	0.82
深圳市怡亚通供应链股份有限公司	603236.SH	2017.0	2.0	21.42
深圳市怡亚通供应链股份有限公司	603236.SH	2018.0	2.0	15.32
深圳市怡亚通供应链股份有限公司	688159.SH	2018.0	4.0	5.81
深圳市怡亚通供应链股份有限公司	002657.SZ	2017.0	2.0	6.37
深圳市怡亚通供应链股份有限公司	603927.SH	2018.0	4.0	2.09
深圳捷视联实业有限公司	300081.SZ	2019.0	5.0	2.07
甘肃锦祥装饰设计工程有限公司	000691.SZ	2019.0	2.0	4
甘肃锦祥装饰设计工程有限公司	000691.SZ	2017.0	3.0	18.73
网易	605168.SH	2018.0	3.0	6.96
网易	605168.SH	2019.0	3.0	6.3
苹果电脑贸易(上海)有限公司	600288.SH	2017.0	1.0	25.43
苹果电脑贸易(上海)有限公司	600288.SH	2018.0	1.0	40.49
苹果电脑贸易(上海)有限公司	600288.SH	2019.0	1.0	29.94
阳泉煤业集团物资经销有限责任公司	000778.SZ	2017.0	3.0	4.08
霍尔果斯博众文化传媒有限公司	300785.SZ	2017.0	1.0	11.98
霍尔果斯博众文化传媒有限公司	300785.SZ	2018.0	4.0	3.83
默克化工技术(上海)有限公司	688098.SH	2017.0	2.0	18.61
默克化工技术(上海)有限公司	688098.SH	2018.0	3.0	7.73
