mc	gpdm	bgnd	order	bl
G	300775.SZ	2017.0	5.0	2.8
G	300775.SZ	2018.0	5.0	3.26
G	601231.SH	2017.0	2.0	15.53
G	601231.SH	2019.0	2.0	6.58
G	000710.SZ	2018.0	2.0	5.75
G	000338.SZ	2017.0	2.0	3.75
G	000338.SZ	2018.0	2.0	3.19
G	000338.SZ	2019.0	2.0	2.94
G	688008.SH	2018.0	4.0	4.59
G	603267.SH	2017.0	3.0	0.56
INGE Gmbh	688466.SH	2017.0	2.0	5.51
INGE Gmbh	688466.SH	2018.0	5.0	5
JNKHeaterCo.,Ltd.	002140.SZ	2018.0	2.0	6.2
JNKHeaterCo.,Ltd.	002140.SZ	2019.0	5.0	2.42
Landmark Operations Ltd	300313.SZ	2019.0	1.0	36.45
REPSOLCOMERCIALDEPRODUCTOSPETROLIFEROS	000798.SZ	2018.0	5.0	1.62
TKH 集团	688003.SH	2018.0	2.0	6.53
万宝矿产国贸(香港)有限公司	601168.SH	2018.0	4.0	""
万洲国际贸易有限公司	000895.SZ	2019.0	3.0	1.35
上海志略工程咨询中心	300284.SZ	2019.0	4.0	2.87
上海攀化实业有限公司	300842.SZ	2018.0	4.0	0.11
上饶市悦人网络科技有限公司	002591.SZ	2017.0	3.0	4.11
中国石油天然气股份有限公司西北化工销售分公司	300021.SZ	2017.0	2.0	4.83
中国石油天然气股份有限公司西北化工销售分公司	300021.SZ	2018.0	2.0	4.13
中天科技光纤有限公司	000836.SZ	2018.0	2.0	6.73
临邑中邑燃气有限公司	688021.SH	2017.0	1.0	17.43
临邑中邑燃气有限公司	688021.SH	2018.0	1.0	18.83
云筑建工有限公司	300040.SZ	2018.0	5.0	2.48
北京安恒伟业系统工程技术有限公司	688081.SH	2017.0	1.0	15.63
北京瑞祺电通科技有限公司	688023.SH	2017.0	3.0	9.85
北京瑞祺电通科技有限公司	688023.SH	2018.0	3.0	6.81
北京瑞祺电通科技有限公司	002439.SZ	2017.0	3.0	8.49
北京银行股份有限公司杭州分行	002574.SZ	2017.0	3.0	3.71
北京银行股份有限公司杭州分行	002574.SZ	2019.0	3.0	2.48
南京华润热电有限公司	601816.SH	2018.0	5.0	0.12
南京高精传动设备制造集团有限公司	300772.SZ	2017.0	1.0	19.67
南京高精传动设备制造集团有限公司	300772.SZ	2018.0	1.0	17.91
南京高精传动设备制造集团有限公司	601615.SH	2017.0	1.0	20.01
台积电	300782.SZ	2017.0	4.0	6.98
台积电	300782.SZ	2018.0	4.0	14.12
哈尔滨世纪龙安科技发展有限公司	688078.SH	2017.0	5.0	2.95
天津市华夏车辆制造有限公司	000927.SZ	2019.0	2.0	8.27
宁波万泽微测环境科技股份有限公司	002322.SZ	2019.0	1.0	13.69
宁波乐高家用电器有限公司	002473.SZ	2017.0	5.0	4.03
安徽三建工程有限公司	002208.SZ	2018.0	2.0	11.58
安费诺(东亚)有限公司	000903.SZ	2017.0	5.0	1.57
广东合和建筑五金制品有限公司	300117.SZ	2018.0	3.0	3.99
广东合和建筑五金制品有限公司	300117.SZ	2019.0	4.0	3.49
彪马(上海)商贸有限公司	603555.SH	2019.0	2.0	7.68
杭州萧山第二齿轮箱厂	002598.SZ	2019.0	5.0	1.86
桂林骏达运输股份有限公司	000978.SZ	2019.0	2.0	4.42
江油市嘉合新材料科技有限公司	002629.SZ	2019.0	1.0	5.31
江苏群立世纪科技发展有限公司	688158.SH	2017.0	2.0	15.43
海南电网有限责任公司儋州供电局	002549.SZ	2018.0	3.0	10.85
海南电网有限责任公司儋州供电局	002549.SZ	2019.0	4.0	4.23
海南电网有限责任公司儋州供电局	002549.SZ	2017.0	5.0	5.72
湖南红太阳光电科技有限公司	000862.SZ	2017.0	4.0	4.66
福州守望者信息技术有限公司	300096.SZ	2017.0	1.0	11.27
福州守望者信息技术有限公司	300096.SZ	2018.0	4.0	3.78
福州守望者信息技术有限公司	300096.SZ	2019.0	5.0	2.29
郑州世鑫建筑工程有限公司	000544.SZ	2019.0	4.0	6.32
都江堰市圣源金属制品厂	300733.SZ	2017.0	1.0	9.49
都江堰市圣源金属制品厂	300733.SZ	2018.0	1.0	8.03
都江堰市圣源金属制品厂	300733.SZ	2019.0	2.0	6.98
黔医(贵阳)医院管理有限公司	300288.SZ	2018.0	3.0	10.5
黔医(贵阳)医院管理有限公司	300288.SZ	2019.0	5.0	3.75
