mc	gpdm	bgnd	order	bl
BuhlerAG	300176.SZ	2019.0	5.0	2.42
GITI Tire Global Trading PTE. LTD.	600182.SH	2017.0	2.0	17.81
上海北特科技股份有限公司	002703.SZ	2017.0	3.0	5.6
上海北特科技股份有限公司	002703.SZ	2018.0	4.0	3.76
上海宝钢气体有限公司	688106.SH	2018.0	2.0	6.32
上海宝钢气体有限公司	688106.SH	2017.0	3.0	4.5
上海富誉信息科技有限公司	688258.SH	2018.0	1.0	7.82
上海富誉信息科技有限公司	688258.SH	2017.0	2.0	8.8
上海百雀羚化妆品有限公司	300792.SZ	2018.0	1.0	51.05
上海鑫冶铜业有限公司	002602.SZ	2017.0	4.0	3.17
东莞市飞梦自动化设备有限责任公司	688022.SH	2017.0	1.0	9.11
东莞市飞梦自动化设备有限责任公司	688022.SH	2018.0	1.0	10.77
中国石油化工股份有限公司茂名分公司	000637.SZ	2017.0	1.0	45.65
中国石油化工股份有限公司茂名分公司	000637.SZ	2018.0	1.0	47.81
中国石油化工股份有限公司茂名分公司	000637.SZ	2019.0	1.0	42.52
中能服能源科技股份有限公司	000811.SZ	2017.0	5.0	1.08
俄罗斯原子能建设出口股份有限公司	601985.SH	2019.0	2.0	""
厦门汉印电子技术有限公司	688365.SH	2017.0	2.0	36.97
厦门汉印电子技术有限公司	688365.SH	2018.0	2.0	30.92
厦门育泰贸易有限公司	603555.SH	2017.0	4.0	4.2
厦门育泰贸易有限公司	603555.SH	2018.0	4.0	4.51
厦门育泰贸易有限公司	603555.SH	2019.0	4.0	6.38
埃克森美孚化工商务(上海)有限公司	000659.SZ	2019.0	5.0	2.37
山东众顺人力资源有限公司	002987.SZ	2018.0	4.0	""
广州市粤悦强计算机科技有限公司	300297.SZ	2019.0	4.0	4.17
广州市鸿玖贸易有限公司	000659.SZ	2017.0	1.0	10.83
广州市鸿玖贸易有限公司	000659.SZ	2018.0	2.0	5.31
广西电网有限责任公司南宁供电局及其关联企业	000911.SZ	2019.0	2.0	0.87
新疆中泰化学股份有限公司	300021.SZ	2017.0	1.0	5.39
新疆中泰化学股份有限公司	300021.SZ	2018.0	4.0	2.44
昆山扬皓光电有限公司	002955.SZ	2018.0	2.0	7.49
普立万	688026.SH	2017.0	4.0	7.63
望奎嘉运国际物流有限公司	000709.SZ	2019.0	5.0	1.29
江苏兴业塑化股份有限公司	000659.SZ	2017.0	5.0	2.81
江苏舜天泰科服饰有限公司	002486.SZ	2018.0	4.0	3.09
江苏舜天泰科服饰有限公司	002486.SZ	2019.0	4.0	2.27
济南铁甲物资有限公司	000915.SZ	2017.0	1.0	2.9
济宁经济开发区丽国石材厂	300829.SZ	2017.0	4.0	2.99
浙江尚道国际贸易有限公司	002629.SZ	2018.0	3.0	13.72
浙江永安资本管理有限公司	603221.SH	2018.0	1.0	13.25
浙江永安资本管理有限公司	603221.SH	2019.0	2.0	13.99
深圳市康鼎金属科技有限公司	300397.SZ	2017.0	4.0	3.6
神华乌海能源有限责任公司	000635.SZ	2018.0	5.0	3.07
紫光数码(苏州)集团有限公司	300231.SZ	2018.0	2.0	13.85
紫光数码(苏州)集团有限公司	300231.SZ	2017.0	3.0	9.77
紫光数码(苏州)集团有限公司	300231.SZ	2019.0	3.0	5.39
紫光数码(苏州)集团有限公司	002373.SZ	2017.0	4.0	0.97
紫光数码(苏州)集团有限公司	300168.SZ	2018.0	3.0	2.22
紫博蓝网络科技(北京)股份有限公司	300343.SZ	2019.0	2.0	4.66
绍兴启阳光伏材料有限公司	688233.SH	2018.0	3.0	15.77
苏州独墅湖科技创新区管委会	601512.SH	2018.0	1.0	24.41
葛洲坝环嘉(大连)再生资源有限公司鹤壁分公司	002423.SZ	2017.0	4.0	4.64
重庆康明斯发动机有限公司	600590.SH	2017.0	2.0	""
长春市金蟾经贸有限公司	002622.SZ	2017.0	3.0	4.67
陕西渡口煤业有限责任公司	600408.SH	2018.0	4.0	2.02
风尚云起文化传媒(北京)有限公司,霍尔果斯风尚云起网络科技有限公司	688111.SH	2018.0	5.0	5.72
