mc	gpdm	bgnd	order	bl
HexinVADB.V.(荷兰瀚森)	000755.SZ	2017.0	5.0	2.78
Tecalemet	000697.SZ	2018.0	4.0	5.75
ZHANWANG HENGXIN INTERNATIONAL LIMITED	002554.SZ	2018.0	2.0	3.79
上海亚郎精密机械制造有限公司	688085.SH	2019.0	1.0	25.8
上海亚郎精密机械制造有限公司	688085.SH	2017.0	2.0	14.76
上海亚郎精密机械制造有限公司	688085.SH	2018.0	2.0	15.07
上海澜屿新实业有限公司	600247.SH	2018.0	1.0	45.78
上海百雀羚日用化学有限公司	300792.SZ	2017.0	1.0	69.54
中国电信股份有限公司杭州分公司	603682.SH	2017.0	3.0	7.47
中国电信股份有限公司杭州分公司	603682.SH	2018.0	4.0	7.27
中山市日顺厨卫有限公司	002035.SZ	2017.0	1.0	5.36
兴业银行杭州分行	002574.SZ	2017.0	4.0	2.79
北京恒高帕特硅材料有限公司	300831.SZ	2018.0	1.0	12.33
北京恒高帕特硅材料有限公司	300831.SZ	2019.0	3.0	10.93
南通华东建筑劳务有限公司	000615.SZ	2019.0	2.0	6.01
南通华东建筑劳务有限公司	000615.SZ	2018.0	4.0	2.71
四川倍丰农资有限公司	600321.SH	2019.0	3.0	4.75
四川倍丰农资有限公司	000912.SZ	2019.0	2.0	5.64
天音通信有限公司天津分公司	600083.SH	2018.0	1.0	""
山西阳煤化工国际商务有限责任公司	605166.SH	2019.0	4.0	11.88
山西阳煤化工国际商务有限责任公司	605166.SH	2018.0	5.0	7.7
广东建滔积层板销售有限公司	603256.SH	2018.0	5.0	4.03
抚顺特殊钢股份有限公司	300733.SZ	2018.0	2.0	5.67
抚顺特殊钢股份有限公司	300733.SZ	2017.0	5.0	3.93
抚顺特殊钢股份有限公司	603662.SH	2018.0	4.0	5.29
抚顺特殊钢股份有限公司	603662.SH	2017.0	5.0	4.49
新华三信息技术有限公司	600446.SH	2018.0	3.0	""
新华三信息技术有限公司	002368.SZ	2019.0	5.0	1.83
新华三信息技术有限公司	603927.SH	2018.0	2.0	2.86
武汉市江岸区后湖乡人民政府红桥村民委员会	000926.SZ	2019.0	3.0	11.18
江苏丽岛新材料股份有限公司	002323.SZ	2017.0	4.0	3.18
江阴能见度化工科技有限公司	300758.SZ	2017.0	5.0	4.02
浙江伏尔特医疗器械股份有限公司	300753.SZ	2017.0	2.0	6.08
浙江颢屹汽车技术有限公司	300825.SZ	2019.0	1.0	11.15
浙江颢屹汽车技术有限公司	300825.SZ	2018.0	2.0	8.2
深圳市三维机电设备有限公司	688208.SH	2018.0	3.0	3.19
深圳市九洲电器有限公司	002238.SZ	2017.0	4.0	5.68
深圳市九洲电器有限公司	002238.SZ	2018.0	5.0	2.39
深圳市豆悦网络科技有限公司	002602.SZ	2018.0	3.0	2.41
玉龙傅氏餐饮管理有限公司	002033.SZ	2018.0	4.0	1.05
甘谷县盛源水利水电工程有限责任公司	000691.SZ	2019.0	4.0	3
甘谷县盛源水利水电工程有限责任公司	000691.SZ	2018.0	5.0	9.12
西安准星工贸有限公司	000721.SZ	2018.0	5.0	1.89
辽宁斯麦尔科技有限公司	300330.SZ	2018.0	4.0	4.29
重庆三和新农商贸有限公司	002307.SZ	2019.0	5.0	1.72
金隅集团	000856.SZ	2017.0	1.0	9.66
金隅集团	000856.SZ	2018.0	1.0	7.36
金隅集团	000856.SZ	2019.0	1.0	6.76
铁法煤业(集团)有限责任公司煤碳销售分公司	000059.SZ	2017.0	5.0	0.63
长春大成生物科技开发有限公司	600866.SH	2018.0	3.0	6.13
长春大成生物科技开发有限公司	600866.SH	2019.0	4.0	3.64
阳谷祥光铜业有限公司	002498.SZ	2018.0	2.0	8.85
阳谷祥光铜业有限公司	002498.SZ	2017.0	3.0	7.1
