mc	gpdm	bgnd	order	bl
AVNETTECHNOLOGYHONGKONGLTD.	688208.SH	2018.0	1.0	9.72
Blechtechnik SHA	300293.SZ	2018.0	1.0	1.5
Lismar Engineering B.V.	300809.SZ	2017.0	5.0	3.1
SAMSUNG   C&T   CORPORATION	688138.SH	2018.0	3.0	21.04
三水实业有限公司	002471.SZ	2018.0	1.0	7.67
三水实业有限公司	002471.SZ	2019.0	2.0	5.32
上海天戏互娱科技股份有限公司	002425.SZ	2018.0	2.0	9.5
上海天戏互娱科技股份有限公司	002425.SZ	2017.0	5.0	4.58
上海奥伟金属制品有限公司	688139.SH	2017.0	1.0	15.65
上海奥伟金属制品有限公司	688139.SH	2018.0	1.0	14.84
东莞市美星塑胶材料有限公司	300808.SZ	2017.0	4.0	3.28
中信银行股份有限公司绍兴分行	002574.SZ	2019.0	4.0	2.32
中广核拓普(四川)新材料有限公司	000836.SZ	2019.0	5.0	4.2
中建深圳装饰有限公司	000897.SZ	2017.0	4.0	1.19
中航国际矿产资源有限公司	002479.SZ	2018.0	2.0	11.5
北京君发节能环保技术有限公司	600212.SH	2017.0	3.0	2.6
北京搜狗网络技术有限公司	000835.SZ	2019.0	3.0	4.85
华为软件科技有限公司	002127.SZ	2017.0	4.0	5.79
品牌 5	002024.SZ	2018.0	5.0	2.8
四川省隆昌江龙玻璃工业有限公司	002646.SZ	2017.0	1.0	8.66
国网浙江省电力公司衢州供电公司	603733.SH	2017.0	3.0	7.12
富美实(张家港)特殊化学品有限公司	688005.SH	2018.0	1.0	11.09
山东神戎电子股份有限公司	688081.SH	2017.0	3.0	8.27
山西中鑫洁净焦技术研究设计有限公司	000820.SZ	2018.0	1.0	22.58
山西江阳兴安民爆器材有限公司	002360.SZ	2017.0	5.0	3.91
山西江阳兴安民爆器材有限公司	002360.SZ	2018.0	5.0	4.7
山西江阳兴安民爆器材有限公司	002360.SZ	2019.0	5.0	4.54
常熟市财政局(土地出让金)	000961.SZ	2017.0	2.0	5.47
常熟市龙腾特种钢有限公司	002552.SZ	2018.0	1.0	19.54
常熟市龙腾特种钢有限公司	002552.SZ	2019.0	2.0	17.22
常熟市龙腾特种钢有限公司	002552.SZ	2017.0	3.0	12.97
广东森和果仁食品有限公司	300783.SZ	2017.0	4.0	2.71
张家港保税区尚恺毛纺有限公司	000779.SZ	2018.0	2.0	5.64
抚州市诚鑫农资有限公司	000910.SZ	2017.0	4.0	0.75
杭州纳清光电科技有限公司	300800.SZ	2018.0	4.0	3.92
民生药业集团河南德尔康药业有限公司	300158.SZ	2018.0	5.0	2.15
江苏康健医疗用品有限公司	688399.SH	2017.0	3.0	6.62
江苏康健医疗用品有限公司	688399.SH	2018.0	3.0	10.41
河钢集团物资贸易有限公司	000709.SZ	2017.0	3.0	4.2
法人二	000514.SZ	2017.0	2.0	6.72
法人二	000514.SZ	2018.0	2.0	8.73
法人二	000514.SZ	2019.0	2.0	9.7
法人二	000029.SZ	2017.0	2.0	13.27
法人二	000029.SZ	2018.0	2.0	5.82
法人二	000029.SZ	2019.0	2.0	4.21
法人二	000046.SZ	2017.0	2.0	3.23
法人二	000046.SZ	2018.0	2.0	15.09
法人二	000046.SZ	2019.0	2.0	11.2
神州数码(中国)有限公司	688058.SH	2017.0	4.0	""
神州数码(中国)有限公司	688058.SH	2018.0	4.0	""
神州数码(中国)有限公司	300231.SZ	2018.0	1.0	20.79
神州数码(中国)有限公司	300231.SZ	2019.0	1.0	9.36
神州数码(中国)有限公司	002657.SZ	2017.0	1.0	8.72
神州数码(中国)有限公司	300096.SZ	2017.0	2.0	5.53
神州数码(中国)有限公司	300344.SZ	2017.0	2.0	10.14
神州数码(中国)有限公司	300344.SZ	2018.0	2.0	13.63
神州数码(中国)有限公司	300344.SZ	2019.0	2.0	16.29
苏州奥丰建设工程有限公司	300284.SZ	2017.0	5.0	3.7
西门子(中国)有限公司	601226.SH	2019.0	1.0	5.8
西门子(中国)有限公司	601226.SH	2018.0	2.0	5.46
西门子(中国)有限公司	300600.SZ	2018.0	2.0	5.62
陕西伯仲和信贸易有限公司	688333.SH	2017.0	3.0	6.53
