mc	gpdm	bgnd	order	bl
Arconic	000697.SZ	2019.0	1.0	5.33
Arconic	000697.SZ	2018.0	2.0	12.14
HONGKONG TOPWAY TRADING CO.,LTD	002481.SZ	2018.0	5.0	1.87
PACIFICENERGYSWPLTD	000506.SZ	2019.0	1.0	25.36
SINERJI  ULUSLAR ARASI FUARCILIK     LTD      STI	300795.SZ	2018.0	5.0	3.85
上海连尚网络科技有限公司	300766.SZ	2017.0	5.0	4.24
中国五矿集团有限公司	002237.SZ	2017.0	2.0	3.8
中国五矿集团有限公司	000657.SZ	2018.0	1.0	37.1
中国船舶集团	600150.SH	2019.0	1.0	30.92
中电科微波通信(上海)股份有限公司	688015.SH	2017.0	5.0	1.58
主要1	002294.SZ	2017.0	1.0	8.29
主要1	002294.SZ	2018.0	1.0	8.58
主要1	002294.SZ	2019.0	1.0	9.8
乐孜贸易(上海)有限公司	688037.SH	2018.0	3.0	5.9
佛山佛塑科技集团股份有限公司	688299.SH	2017.0	5.0	6.29
储倩	002949.SZ	2017.0	5.0	4.94
兰州方正包装有限责任公司	000929.SZ	2018.0	1.0	4.91
兰州方正包装有限责任公司	000929.SZ	2019.0	1.0	9.09
南京艾迪斯自动报警有限公司	603666.SH	2017.0	5.0	3.85
博爱县山友化工制品有限公司	300109.SZ	2017.0	3.0	10.49
博爱县山友化工制品有限公司	300109.SZ	2018.0	3.0	10.28
四川江铜稀土有限责任公司	300748.SZ	2017.0	2.0	10.24
国家能源集团乌海能源有限责任公司	000635.SZ	2019.0	3.0	3.27
国网江西省电力有限公司赣东北供电分公司	002748.SZ	2017.0	1.0	19.62
国网江西省电力有限公司赣东北供电分公司	000789.SZ	2018.0	5.0	2.35
宁波市鄞州中久电子有限公司	002473.SZ	2019.0	5.0	0.84
宝钢集团南通线材制品有限公司	001965.SZ	2017.0	3.0	2.25
山东胜通光学材料科技有限公司	688020.SH	2018.0	4.0	9.45
广东亿鑫塑胶有限公司	002102.SZ	2019.0	5.0	1.81
广州市万鑫贸易有限公司	002495.SZ	2017.0	3.0	8.59
徐州科融环境资源股份有限公司	000939.SZ	2017.0	2.0	1.78
枣庄老城工业资产运营有限公司	603060.SH	2019.0	2.0	5.55
江苏东纲金属制品有限公司	001965.SZ	2018.0	5.0	3.04
江苏东纲金属制品有限公司	001965.SZ	2019.0	5.0	1.11
江苏新彩阳机电技术有限公司	300831.SZ	2018.0	5.0	5.43
河南锐丰伟业电子科技有限公司	300773.SZ	2018.0	4.0	3.23
浙江捷洋科技有限公司	300479.SZ	2017.0	2.0	8.62
深圳市精工社精密模具有限公司	688208.SH	2017.0	2.0	5.6
深圳市精工社精密模具有限公司	688208.SH	2018.0	2.0	5.42
深圳市鑫宇建设工程有限公司	002949.SZ	2017.0	3.0	9.22
湖北兴瑞化工有限公司	002971.SZ	2017.0	5.0	7.98
甘肃省水利水电工程局有限责任公司	000779.SZ	2019.0	4.0	3.75
益阳联晟机械制造有限公司	002903.SZ	2017.0	3.0	4.48
益阳联晟机械制造有限公司	002903.SZ	2018.0	5.0	2.74
秦皇岛费斯福机械设备有限公司	002459.SZ	2018.0	5.0	2.19
美国达凌配料有限公司	300791.SZ	2017.0	1.0	6.03
美国达凌配料有限公司	300791.SZ	2018.0	1.0	4.49
联强国际贸易(中国)有限公司北京分公司	300271.SZ	2017.0	2.0	2.43
苏州亿迪信息产品有限公司	603990.SH	2019.0	4.0	4.29
苏州亿迪信息产品有限公司	603990.SH	2018.0	5.0	3.5
苏州市宏丰钛业有限公司	603713.SH	2017.0	3.0	2.79
金川迈科金属资源有限公司	002114.SZ	2018.0	4.0	4.52
金溪斯普瑞药业有限公司	600521.SH	2017.0	2.0	""
铜川市新区华建煤炭运销有限公司	002109.SZ	2019.0	2.0	17.09
铜川市新区华建煤炭运销有限公司	002109.SZ	2017.0	3.0	9.9
铜川市新区华建煤炭运销有限公司	002109.SZ	2018.0	3.0	11.93
长沙盛恩机电科技有限公司	300338.SZ	2017.0	5.0	1.39
香港 NOX-BELLCOW (ASIA) LIMITED	000955.SZ	2017.0	2.0	8.81
香港 NOX-BELLCOW (ASIA) LIMITED	000955.SZ	2018.0	2.0	6.97
