mc	gpdm	bgnd	order	bl
DWK Life SciencesGmbH	300824.SZ	2017.0	2.0	4.56
DWK Life SciencesGmbH	300824.SZ	2018.0	3.0	3.88
Intelsat Global Service Corporation	601698.SH	2018.0	4.0	1.29
上海元纳胜贸易有限公司	002605.SZ	2017.0	3.0	1.47
上海北卡医药技术有限公司	300558.SZ	2019.0	4.0	9.18
上海北卡医药技术有限公司	300558.SZ	2017.0	5.0	10.15
上海北卡医药技术有限公司	300558.SZ	2018.0	5.0	10.39
中国康辉西安旅行社	000610.SZ	2018.0	1.0	1.26
临沂金升铜业有限公司	002498.SZ	2019.0	1.0	28.5
乐清市柏宜电气有限公司	002960.SZ	2017.0	1.0	15.79
乐清市柏宜电气有限公司	002960.SZ	2018.0	1.0	13.94
全国公民身份证号码查询服务中心	300674.SZ	2017.0	4.0	2.97
北京九源富春房地产开发有限公司	000882.SZ	2018.0	3.0	5.19
北京九源富春房地产开发有限公司	000882.SZ	2019.0	3.0	5.43
北京九源富春房地产开发有限公司	000882.SZ	2017.0	4.0	4.83
北京华夏新华文化传媒有限公司	300046.SZ	2017.0	4.0	5.98
北京智享东方信息科技有限公司	688118.SH	2017.0	4.0	5.33
北京诚田恒业煤矿设备有限公司	002691.SZ	2017.0	2.0	5.12
北京诺克恒兴科贸有限公司	300210.SZ	2018.0	3.0	1.29
北京诺克恒兴科贸有限公司	300210.SZ	2019.0	4.0	1.24
双良集团(双良节能[600481.SH])	300806.SZ	2018.0	2.0	7.48
双良集团(双良节能[600481.SH])	300806.SZ	2017.0	4.0	6.13
台湾丰群水产股份有限公司	000798.SZ	2017.0	1.0	14.06
台湾丰群水产股份有限公司	000798.SZ	2018.0	1.0	14.62
台湾丰群水产股份有限公司	000798.SZ	2019.0	1.0	11.84
嘉善安顺木业有限公司	002043.SZ	2017.0	3.0	3.78
嘉善安顺木业有限公司	002043.SZ	2018.0	4.0	3.51
四川金威成贸易有限公司	002307.SZ	2018.0	3.0	2.47
大石桥市兴华镁矿有限公司	002066.SZ	2019.0	3.0	2.52
大连和益粮油有限公司	600811.SH	2018.0	1.0	8.55
大连和益粮油有限公司	600811.SH	2019.0	1.0	7.08
宁波市海曙京宇磁性材料厂	300425.SZ	2017.0	4.0	2.28
山西华鑫煤焦化实业集团有限公司	600740.SH	2019.0	3.0	1.64
山西天宝集团有限公司	000862.SZ	2018.0	3.0	2.77
山西天宝集团有限公司	000862.SZ	2019.0	3.0	8.52
慈溪市日月电器有限公司	603551.SH	2018.0	4.0	3.72
慈溪市日月电器有限公司	603551.SH	2017.0	5.0	4.15
成都广胜源智能科技有限公司	300789.SZ	2018.0	2.0	4.28
桐乡市自然资源和规划局	000517.SZ	2019.0	5.0	10.03
江苏恒力化纤股份有限公司	000677.SZ	2017.0	2.0	7.95
江苏恒力化纤股份有限公司	000677.SZ	2018.0	2.0	6.52
江苏恒力化纤股份有限公司	688299.SH	2018.0	2.0	22.15
江苏恒力化纤股份有限公司	688299.SH	2017.0	3.0	7.85
江苏恒力化纤股份有限公司	603332.SH	2017.0	4.0	10.14
江苏稻草熊影业有限公司	300528.SZ	2019.0	3.0	3.31
河南艺海拍卖有限公司	000673.SZ	2018.0	1.0	9.42
绍兴凯森厨卫有限公司	002508.SZ	2017.0	1.0	4.74
绍兴凯森厨卫有限公司	002508.SZ	2019.0	2.0	5.09
绍兴凯森厨卫有限公司	002508.SZ	2018.0	3.0	4.48
路威酩轩香水化妆品(上海)有限公司	000679.SZ	2019.0	5.0	2.38
辽宁东港电磁线有限公司	000922.SZ	2017.0	2.0	15.84
辽宁东港电磁线有限公司	000922.SZ	2018.0	3.0	9.53
阿里巴巴集团	300792.SZ	2017.0	2.0	16.46
阿里巴巴集团	300792.SZ	2018.0	2.0	18.19
阿里巴巴集团	601116.SH	2018.0	1.0	4.67
阿里巴巴集团	601116.SH	2019.0	1.0	5.36
陕西省煤炭运销(集团)有限责任公司	000883.SZ	2019.0	3.0	9.28
鞍山惠丰瑞焓热力股份有限公司	300758.SZ	2017.0	3.0	5.47
