mc	gpdm	bgnd	order	bl
BLECHTECHNIK SHA GMBH	300293.SZ	2017.0	2.0	1.73
Relita Technology Ltd.	688366.SH	2017.0	3.0	6.92
上海万巷制药有限公司	688505.SH	2018.0	4.0	4.44
上海万巷制药有限公司	688505.SH	2019.0	4.0	6.37
上海万巷制药有限公司	688505.SH	2017.0	5.0	5.48
上海华亚船舶燃料公司	000520.SZ	2018.0	1.0	6.55
上海华亚船舶燃料公司	000520.SZ	2017.0	2.0	6.4
上海宝富钢管有限公司	000968.SZ	2017.0	4.0	1.39
上海芬创信息科技有限公司	688312.SH	2017.0	2.0	4.87
中海石油(中国)有限公司天津分公司	300191.SZ	2019.0	3.0	9.51
佛山市顺德区悦航贸易有限公司	300756.SZ	2017.0	5.0	2.45
凯米拉(上海)管理有限公司	000544.SZ	2017.0	5.0	2.04
凯米斯贝斯(Chemspace LLC)	688222.SH	2019.0	5.0	3.23
北京发那科机电有限公司	000410.SZ	2019.0	1.0	2.82
北京发那科机电有限公司	000410.SZ	2018.0	2.0	4.08
北京发那科机电有限公司	000410.SZ	2017.0	4.0	2.22
十堰知名实业发展有限公司	603950.SH	2017.0	5.0	1.6
十堰知名实业发展有限公司	603950.SH	2018.0	5.0	1.92
南京友联复合新材料有限公司	300402.SZ	2017.0	3.0	5.53
博世汽车部件(长沙)有限公司	600151.SH	2018.0	5.0	""
厦门光莆电子股份有限公司	300282.SZ	2019.0	4.0	4.53
国网江苏省电力公司如皋市供电公司	300421.SZ	2019.0	3.0	3.73
大冶市博泰异型钢有限公司	603662.SH	2018.0	1.0	10.1
大冶市博泰异型钢有限公司	603662.SH	2017.0	2.0	8.85
大陆汽车有限责任公司	000903.SZ	2017.0	4.0	2.2
山东柯信新材料有限公司	002225.SZ	2018.0	3.0	1.93
广东中煤进出口有限公司	000531.SZ	2017.0	2.0	27.41
广东中煤进出口有限公司	000531.SZ	2018.0	2.0	27.83
广东中煤进出口有限公司	000531.SZ	2019.0	2.0	22.82
广东中煤进出口有限公司	000027.SZ	2017.0	3.0	4.13
广东中煤进出口有限公司	000027.SZ	2018.0	4.0	5.73
广东中煤进出口有限公司	000027.SZ	2019.0	5.0	3.94
广东中煤进出口有限公司	600886.SH	2018.0	1.0	16.31
广东中煤进出口有限公司	600886.SH	2019.0	2.0	11.3
广州太田文化活动策划有限公司	300781.SZ	2017.0	4.0	2.13
扎鲁特旗星火运输有限责任公司	002128.SZ	2017.0	3.0	7.08
扎鲁特旗星火运输有限责任公司	002128.SZ	2018.0	5.0	5.37
杭州永耀科技有限公司	002242.SZ	2017.0	2.0	7.42
杭州永耀科技有限公司	002242.SZ	2018.0	2.0	6.8
杭州永耀科技有限公司	002242.SZ	2019.0	3.0	5.72
武汉海林石油化工有限公司	000819.SZ	2018.0	4.0	1.96
泰兴市东盛电子器材厂	688081.SH	2017.0	4.0	7.6
深圳信息公司	688318.SH	2017.0	2.0	30.23
深圳信息公司	688318.SH	2018.0	2.0	30.09
深圳信息公司	688318.SH	2019.0	2.0	31.78
深圳大仁科技有限公司	300793.SZ	2017.0	5.0	3.01
深圳市英讯电子科技有限公司	300793.SZ	2017.0	4.0	3.49
湖北省烟草公司	000759.SZ	2018.0	1.0	5.05
湖北省烟草公司	000759.SZ	2019.0	1.0	4.24
湖南凯斯机械股份有限公司	002021.SZ	2018.0	4.0	2.05
湖南高建建设集团有限公司	000014.SZ	2017.0	2.0	18.61
湖南高建建设集团有限公司	000014.SZ	2018.0	3.0	7.24
湖南高建建设集团有限公司	000014.SZ	2019.0	3.0	12.18
福建省建筑设计研究院有限公司	000797.SZ	2019.0	3.0	8.67
财富恒天投资管理有限公司	000890.SZ	2019.0	5.0	4.4
银川市金凤区城市管理综合执法局	300815.SZ	2017.0	4.0	4.33
雅安三九中药材科技产业化有限公司	603963.SH	2018.0	3.0	6.9
雅安三九中药材科技产业化有限公司	603963.SH	2019.0	4.0	2.89
青藏铁路公司格尔木站(察尔汗)	000408.SZ	2017.0	1.0	7.81
香港恒瑞光子有限公司	300747.SZ	2017.0	3.0	4.31
