mc	gpdm	bgnd	order	bl
COFCO RESOURCES S.A.	000930.SZ	2017.0	4.0	2.14
TecresS.P.A	300326.SZ	2019.0	1.0	10.84
TecresS.P.A	300326.SZ	2018.0	3.0	8.33
上海仕善科技有限公司	300762.SZ	2018.0	2.0	4.69
上海大陆汽车制动系统销售有限公司	000030.SZ	2019.0	5.0	2.22
上海科奕精密机械有限公司	002943.SZ	2019.0	4.0	3.39
东方电气股份有限公司	000539.SZ	2017.0	4.0	2.68
东方电气股份有限公司	000539.SZ	2018.0	4.0	2.72
东方电气股份有限公司	600157.SH	2017.0	2.0	6.27
中移铁通有限公司广州分公司	300578.SZ	2017.0	3.0	6.78
中铁大桥局集团物资有限公司	002659.SZ	2017.0	4.0	5.49
中铁大桥局集团物资有限公司	000890.SZ	2019.0	3.0	7.56
中铁大桥局集团物资有限公司	001965.SZ	2018.0	3.0	3.45
佛山市步阳金属贸易有限公司	002988.SZ	2019.0	5.0	0.2
佰电科技(苏州)有限公司	688030.SH	2017.0	2.0	8.81
佰电科技(苏州)有限公司	688030.SH	2018.0	3.0	5.95
冠捷科技(青岛)有限公司	300104.SZ	2017.0	1.0	7.6
北京市建雄建筑集团有限公司	300070.SZ	2017.0	2.0	3.71
十	002487.SZ	2018.0	3.0	9.51
十	002487.SZ	2017.0	4.0	3.76
十	600309.SH	2019.0	5.0	2.66
华天建设集团有限公司	000926.SZ	2017.0	1.0	7.81
华天建设集团有限公司	000926.SZ	2018.0	1.0	20.18
华天建设集团有限公司	000926.SZ	2019.0	1.0	11.79
南通五建宏业建设工程有限公司	000558.SZ	2018.0	5.0	2.59
南通五建宏业建设工程有限公司	000558.SZ	2019.0	5.0	0.91
同煤大唐塔山煤矿有限公司	002608.SZ	2019.0	5.0	3.99
国网湖北省电力有限公司	002971.SZ	2017.0	3.0	11.52
国网湖北省电力有限公司	002971.SZ	2018.0	3.0	13.38
塔城一六四团兴湖养殖专业合作社	300313.SZ	2018.0	4.0	3.84
山东章晃机械工业有限公司	002598.SZ	2017.0	1.0	7.86
山东章晃机械工业有限公司	002598.SZ	2018.0	1.0	5.95
山东章晃机械工业有限公司	002598.SZ	2019.0	1.0	11.2
成都贝德铜业有限公司	300820.SZ	2017.0	2.0	4.61
成都贝德铜业有限公司	300820.SZ	2018.0	3.0	4.42
无锡艾德无线广告有限公司	300338.SZ	2019.0	3.0	4.27
松下冷机系统(大连)有限公司	000530.SZ	2017.0	1.0	3.86
浙江欣昱科技有限公司	603983.SH	2017.0	1.0	18.42
浙江欣昱科技有限公司	603983.SH	2018.0	1.0	16.24
海东市贵强新材料有限公司	300080.SZ	2017.0	5.0	3.03
深圳川能供应链管理有限公司	000061.SZ	2017.0	5.0	0.99
深圳市华鹏飞供应链管理有限公司	603236.SH	2018.0	5.0	3.6
深圳市协鹏工程勘察有限公司	000048.SZ	2019.0	4.0	4.02
深圳市聚飞光电股份有限公司	300752.SZ	2017.0	4.0	5.05
湖北磊欣建筑工程有限公司	300536.SZ	2018.0	4.0	2.57
湖南盛世欣兴格力贸易有限公司(联采空调)	000419.SZ	2017.0	1.0	18.97
湖南省工业设备安装有限公司	000539.SZ	2019.0	5.0	0.9
湘潭电机股份有限公司(含	601615.SH	2017.0	2.0	2.56
精博电子(南京)有限公司	002703.SZ	2018.0	3.0	4.45
精博电子(南京)有限公司	002703.SZ	2019.0	3.0	4.17
葫芦岛瑞升商贸有限公司	000878.SZ	2019.0	2.0	5.31
赛得利(福建)纤维有限公司	000955.SZ	2018.0	3.0	4.86
赛得利(福建)纤维有限公司	000955.SZ	2019.0	3.0	4.49
赛得利(福建)纤维有限公司	000955.SZ	2017.0	4.0	4.03
郑州煤电物资供销有限公司	000939.SZ	2017.0	1.0	2.42
青岛三维制冷空调有限公司	688139.SH	2017.0	4.0	3.79
青岛三维制冷空调有限公司	688139.SH	2018.0	4.0	4.96
青岛金中联科技发展有限公司	300594.SZ	2017.0	5.0	3.18
