mc	gpdm	bgnd	order	bl
ACM	300293.SZ	2019.0	3.0	5.36
Motion	300362.SZ	2019.0	4.0	3.18
QDOT	601298.SH	2017.0	1.0	11.75
上海朗脉洁净技术股份有限公司集团	688520.SH	2017.0	5.0	4.99
上海浦东自立彩印厂有限公司	688505.SH	2018.0	1.0	11.66
上海浦东自立彩印厂有限公司	688505.SH	2019.0	2.0	8.33
上海浦东自立彩印厂有限公司	688505.SH	2017.0	4.0	6.35
上海鸿汇荣和电子技术有限公司	300763.SZ	2018.0	2.0	8.66
上海鸿汇荣和电子技术有限公司	300763.SZ	2017.0	4.0	6.75
中国五矿集团有限公司下的企业	601609.SH	2019.0	1.0	10.26
中国五矿集团有限公司下的企业	601609.SH	2018.0	3.0	4.96
京国光学	300833.SZ	2017.0	2.0	6.43
京国光学	300833.SZ	2018.0	2.0	6.35
京国光学	300833.SZ	2019.0	5.0	4.7
内蒙古畅诺商贸有限责任公司	000688.SZ	2018.0	4.0	3.18
华北制药华胜有限公司	688108.SH	2018.0	2.0	8.2
华北制药华胜有限公司	688108.SH	2017.0	3.0	11.99
华泽(香港)有限公司	000061.SZ	2018.0	3.0	1.88
华泽(香港)有限公司	000061.SZ	2019.0	4.0	1.78
南京福邦特东方化工有限公司	605166.SH	2017.0	1.0	44.83
南京福邦特东方化工有限公司	605166.SH	2018.0	1.0	42.79
南京福邦特东方化工有限公司	605166.SH	2019.0	2.0	20.26
南京福邦特东方化工有限公司	000782.SZ	2018.0	2.0	10.58
南通海立电子有限公司	002484.SZ	2017.0	1.0	13.25
唐山同有商贸有限公司	000856.SZ	2019.0	4.0	2.52
四川内江惠亨建设工程有限公司	002755.SZ	2017.0	4.0	6.51
四川省电力公司南充供电公司	000803.SZ	2017.0	5.0	2.93
大冶市华兴玻璃有限公司	603027.SH	2017.0	5.0	4.48
字节跳动	605168.SH	2017.0	1.0	7.75
字节跳动	605168.SH	2018.0	1.0	15.37
字节跳动	605168.SH	2019.0	1.0	20.08
山焦西山	000983.SZ	2017.0	2.0	22.01
山焦西山	000983.SZ	2018.0	2.0	19.07
山焦西山	000983.SZ	2019.0	2.0	18.39
常州市华鹏环保科技有限公司	300029.SZ	2018.0	3.0	8.46
广州若邦特网络科技有限公司	688004.SH	2019.0	5.0	3.17
德国博世	000581.SZ	2018.0	2.0	2.85
德国博世	000581.SZ	2019.0	3.0	2.54
成都电业局	000598.SZ	2019.0	3.0	10.4
新八建设集团有限公司	601330.SH	2017.0	5.0	3.97
无锡昂然时代广告有限公司	300229.SZ	2017.0	2.0	6.29
无锡昂然时代广告有限公司	300338.SZ	2019.0	5.0	2.71
曲阜信多达智能科技有限公司	002242.SZ	2018.0	3.0	4.81
杭州网银互联科技有限公司	300766.SZ	2018.0	2.0	7.53
河南青联建设投资集团有限公司	000544.SZ	2019.0	2.0	7.11
河南青联建设投资集团有限公司	000544.SZ	2018.0	3.0	9.48
湖南华美	002943.SZ	2018.0	4.0	3.7
葛洲坝易普力四川爆破工程有限公司峨眉山分公司	600678.SH	2018.0	1.0	21.73
葛洲坝易普力四川爆破工程有限公司峨眉山分公司	600678.SH	2017.0	3.0	10.55
葛洲坝易普力四川爆破工程有限公司峨眉山分公司	600678.SH	2019.0	4.0	11.6
西藏天地绿色饮品发展有限公司	000752.SZ	2017.0	1.0	43.57
西藏天地绿色饮品发展有限公司	000752.SZ	2018.0	1.0	35.38
许才君	300635.SZ	2017.0	1.0	59.48
诺思格(北京)医药科技股份有限公司	688266.SH	2018.0	2.0	6.83
诺思格(北京)医药科技股份有限公司	688266.SH	2017.0	3.0	4.04
