mc	gpdm	bgnd	order	bl
EAGLE KINGDOM TECHNOLOGIES LIMITED	002848.SZ	2018.0	1.0	9.32
Fisher Scientific International, Inc.	300284.SZ	2017.0	3.0	4.06
Valdepharm	688363.SH	2017.0	2.0	5.73
Valdepharm	688363.SH	2018.0	4.0	4.26
三菱电机株式会社三田制作所(MITSUBISHIELECTRICCORPORATION)	002232.SZ	2018.0	2.0	11.39
上海富盈石化产品有限公司	603906.SH	2017.0	4.0	5.97
上海富盈石化产品有限公司	603798.SH	2017.0	5.0	5.62
中国石化销售有限公司江苏南京石油分公司	002040.SZ	2017.0	1.0	22.98
中广电传媒有限公司	002238.SZ	2018.0	4.0	5.73
中广电传媒有限公司	002238.SZ	2017.0	5.0	4.41
临沂烨华焦化有限公司	600212.SH	2017.0	2.0	33.86
丽珠医药集团股份有限公司	603087.SH	2017.0	4.0	8.37
五的	000707.SZ	2017.0	5.0	4.52
五的	000707.SZ	2018.0	5.0	2.71
五的	000707.SZ	2019.0	5.0	2.66
北京利宝泰科技有限公司	688021.SH	2018.0	2.0	7.57
北京外企德科人力资源服务深圳有限公司	300662.SZ	2017.0	3.0	8.22
北京市某水务有限公司	002310.SZ	2017.0	1.0	1.8
南京立汉化学有限公司	603195.SH	2017.0	3.0	5.17
南京立汉化学有限公司	603195.SH	2018.0	3.0	4.58
南京风电科技有限公司	002090.SZ	2017.0	1.0	22.9
双灯纸业	603687.SH	2017.0	4.0	9.55
台山市金桥铝型材厂有限公司	605001.SH	2017.0	2.0	4.05
台山市金桥铝型材厂有限公司	605001.SH	2018.0	3.0	3.38
台山市金桥铝型材厂有限公司	605001.SH	2019.0	5.0	2.6
品牌 4	002024.SZ	2018.0	4.0	3.25
大唐财富投资管理有限公司	300023.SZ	2017.0	4.0	13.84
大唐财富投资管理有限公司	300023.SZ	2019.0	4.0	0.74
宁波广元生态建设有限公司	002586.SZ	2017.0	2.0	2.48
广东吉瑞科技集团有限公司	300208.SZ	2019.0	3.0	7.52
张家港恒泰佳居贸易有限公司	603613.SH	2018.0	1.0	5.54
新地环境科技(深圳)有限公司	300388.SZ	2019.0	1.0	3.48
无锡市万锦机械厂	300827.SZ	2017.0	1.0	6.26
无锡市万锦机械厂	300827.SZ	2018.0	2.0	5.82
无锡市万锦机械厂	300827.SZ	2019.0	3.0	4.47
昌吉州新中工业设备安装有限公司	002700.SZ	2017.0	2.0	2.48
昌吉州新中工业设备安装有限公司	002700.SZ	2018.0	5.0	1.69
汝州天瑞煤焦化有限公司	000778.SZ	2018.0	5.0	1.33
江苏新蕾麦芽有限公司	000929.SZ	2017.0	3.0	3.74
江苏新蕾麦芽有限公司	000929.SZ	2019.0	3.0	4.2
江苏法华润程经贸实业有限公司	300109.SZ	2018.0	2.0	13.04
江铃汽车集团公司	002941.SZ	2018.0	5.0	1.77
泰克纳	688333.SH	2017.0	4.0	4.52
湖北华丽染料工业有限公司	603790.SH	2017.0	5.0	4.01
湖南三德科技股份有限公司	300338.SZ	2018.0	1.0	6.35
湖南三德科技股份有限公司	300338.SZ	2017.0	2.0	2.54
湖南省南岭化工集团有限责任公司	002096.SZ	2017.0	2.0	13.01
珠海粤裕丰钢铁有限公司	600157.SH	2018.0	4.0	5.61
珠海粤裕丰钢铁有限公司	600157.SH	2019.0	4.0	5.04
网宿科技股份有限公司	300624.SZ	2017.0	3.0	3.37
苏州西电产品销售有限公司	300809.SZ	2017.0	3.0	3.78
襄阳龙蟒钛业有限公司	002521.SZ	2017.0	4.0	6.27
襄阳龙蟒钛业有限公司	002521.SZ	2019.0	4.0	7.07
襄阳龙蟒钛业有限公司	002521.SZ	2018.0	5.0	5.97
青岛胜世嘉工贸有限公司	000976.SZ	2018.0	5.0	3.09
