mc	gpdm	bgnd	order	bl
Louis Dreyfus Company Suisse S.A.	603301.SH	2017.0	2.0	3.27
PCIC(PetroChina International(Canada) Trading Ltd. )	600856.SH	2018.0	4.0	""
上海海石榕实业有限公司	601212.SH	2019.0	2.0	""
上海海石榕实业有限公司	601212.SH	2018.0	5.0	3.5
中国船舶工业物资华南有限公司	002882.SZ	2017.0	4.0	1.12
八	600309.SH	2019.0	3.0	3.01
八	600309.SH	2017.0	4.0	4.37
八	600309.SH	2018.0	5.0	3.19
北京百灵威科技有限公司	688222.SH	2018.0	5.0	3.52
北京鑫雨硕杰商贸中心	688004.SH	2017.0	4.0	3.25
卢金友	600257.SH	2017.0	1.0	5.21
卢金友	600257.SH	2018.0	1.0	5.59
卢金友	600257.SH	2019.0	1.0	""
周庆来	300829.SZ	2018.0	3.0	3.64
唐山中浩化工有限公司	603217.SH	2017.0	1.0	20.34
唐山中浩化工有限公司	603217.SH	2018.0	1.0	14.8
天津友发瑞达交通设施有限公司	600853.SH	2019.0	4.0	1.69
宁波银行股份有限公司绍兴分行	002574.SZ	2018.0	4.0	2.33
山东冠洲鼎鑫板材科技有限公司	002290.SZ	2017.0	5.0	3.43
山东贝特尔环保科技有限公司	000791.SZ	2017.0	2.0	5.64
常州瑞杰新材料科技有限公司青岛分公司	603798.SH	2018.0	4.0	7.64
广州广电国际商贸有限公司	300273.SZ	2018.0	4.0	1.69
恒天然商贸(上海)有限公司	002570.SZ	2017.0	3.0	7.14
新博威	000996.SZ	2017.0	3.0	0.84
新疆思路旺丰工程材料有限公司	002941.SZ	2019.0	3.0	1.76
杭州锻誉贸易有限公司	002785.SZ	2017.0	1.0	10.4
河北新启诚通信技术有限公司	002465.SZ	2018.0	2.0	3.38
河南汇龙金属制品有限公司	002560.SZ	2018.0	4.0	7.13
浙江万向马瑞利减震器有限公司	000559.SZ	2017.0	3.0	1.96
浙江柏尔木业有限公司	002631.SZ	2019.0	3.0	3.16
深圳市帝晶光电科技有限公司	688036.SH	2017.0	3.0	5.56
深圳市桑海通投资有限公司	000977.SZ	2017.0	3.0	6.64
深圳市桑海通投资有限公司	000977.SZ	2018.0	4.0	5.82
湖北国抒特化工实业有限公司	002783.SZ	2017.0	3.0	4.76
湖北国抒特化工实业有限公司	002783.SZ	2018.0	3.0	5.18
湖南弘科机电设备有限公司	002452.SZ	2019.0	2.0	1.67
营口盛海化工有限公司	002237.SZ	2018.0	3.0	3.54
隆基乐叶光伏科技有限公司	300080.SZ	2017.0	1.0	54.03
隆基乐叶光伏科技有限公司	300712.SZ	2019.0	3.0	6.89
隆基乐叶光伏科技有限公司	300208.SZ	2017.0	3.0	7.45
隆基乐叶光伏科技有限公司	300208.SZ	2018.0	3.0	15.95
