mc	gpdm	bgnd	order	bl
INVIBIO LTD	688085.SH	2018.0	1.0	15.89
INVIBIO LTD	688085.SH	2019.0	2.0	18.25
INVIBIO LTD	688085.SH	2017.0	3.0	8.33
IQVIARDSEASTASIAPTELTDCRO	688177.SH	2017.0	1.0	11.3
Premium Grain Handlers Pty Ltd 澳洲优质谷物经营有限公司	002956.SZ	2018.0	4.0	3.55
上海瀚宇光纤通信技术有限公司	300747.SZ	2017.0	1.0	19.4
中达电机股份有限公司	300145.SZ	2017.0	3.0	3.13
丹阳市土地交易中心	000961.SZ	2017.0	4.0	3.76
兰州宏达装饰工程有限责任公司	000691.SZ	2019.0	1.0	17
兰州宏达装饰工程有限责任公司	000691.SZ	2018.0	3.0	18.25
兰州宏达装饰工程有限责任公司	000691.SZ	2017.0	5.0	11.42
博西家用电器(中国)有限公司	000419.SZ	2019.0	5.0	3.98
国家电投集团铝业国际贸易有限公司	002128.SZ	2019.0	1.0	26.55
国网辽宁省电力有限公司沈阳供电公司	000698.SZ	2019.0	4.0	3.25
国网辽宁省电力有限公司沈阳供电公司	000692.SZ	2017.0	4.0	6.47
国网辽宁省电力有限公司沈阳供电公司	000692.SZ	2018.0	4.0	13.08
国网辽宁省电力有限公司沈阳供电公司	000597.SZ	2019.0	2.0	2.33
国网辽宁省电力有限公司沈阳供电公司	000597.SZ	2017.0	3.0	2.96
国网辽宁省电力有限公司沈阳供电公司	000597.SZ	2018.0	3.0	2.49
天津嘉顺制盖有限公司	002969.SZ	2017.0	5.0	2.95
宣威电子(上海)有限公司	688188.SH	2017.0	1.0	8.87
宣威电子(上海)有限公司	688188.SH	2018.0	1.0	8.89
尼克及合伙人建筑设计咨询(北京)有限公司	300564.SZ	2018.0	4.0	3.06
山西九州通医药有限公司	300158.SZ	2017.0	3.0	3.54
山西九州通医药有限公司	300158.SZ	2018.0	3.0	4.04
志品(福州)技术工程有限公司	000536.SZ	2017.0	5.0	4.48
成都通用水务-丸红供水有限公司	000598.SZ	2017.0	5.0	4.85
易讯科技股份有限公司	002359.SZ	2018.0	1.0	16.73
易讯科技股份有限公司	002359.SZ	2019.0	2.0	10.74
武汉康瑞药业有限公司	300158.SZ	2019.0	1.0	10.01
武汉康瑞药业有限公司	300158.SZ	2018.0	2.0	5.45
毫州市东海药业有限公司	300108.SZ	2017.0	2.0	5.77
江苏格灵换热设备有限公司	600854.SH	2017.0	5.0	0.27
泰桑德乐控股有限公司	300791.SZ	2018.0	4.0	2.71
泰桑德乐控股有限公司	300791.SZ	2017.0	5.0	2.7
深圳俊宇诚电子有限公司	688208.SH	2017.0	3.0	3.86
深圳俊宇诚电子有限公司	688208.SH	2018.0	4.0	2.93
湖南乐福地医药包材科技有限公司	002422.SZ	2017.0	4.0	1.99
盐城恰爱娜生物科技有限公司	688166.SH	2018.0	2.0	8.67
盐城恰爱娜生物科技有限公司	688166.SH	2017.0	3.0	6.97
神华销售集团有限公司华南销售分公司	000531.SZ	2017.0	1.0	37.23
神华销售集团有限公司华南销售分公司	000531.SZ	2018.0	1.0	36.29
神华销售集团有限公司华南销售分公司	000531.SZ	2019.0	1.0	35.32
神华销售集团有限公司华南销售分公司	000027.SZ	2017.0	1.0	11.85
神华销售集团有限公司华南销售分公司	000027.SZ	2018.0	1.0	11.22
神华销售集团有限公司华南销售分公司	000027.SZ	2019.0	2.0	9.73
神华销售集团有限公司华南销售分公司	600886.SH	2018.0	2.0	13.27
神华销售集团有限公司华南销售分公司	600886.SH	2019.0	3.0	8.5
神华销售集团有限公司华南销售分公司	000905.SZ	2017.0	1.0	7.06
联华电子股份有限公司	603068.SH	2018.0	1.0	27.79
航天科工深圳(集团)有限公司	002359.SZ	2018.0	2.0	7.82
苏州优富纺织品有限公司	002486.SZ	2017.0	4.0	2.37
苏州优富纺织品有限公司	002486.SZ	2019.0	5.0	1.96
重庆市再生资源集团众赢纸业有限公司	300780.SZ	2017.0	5.0	3.67
陕西佰仕商贸有限公司	000721.SZ	2018.0	2.0	9.87
陕西佰仕商贸有限公司	000721.SZ	2019.0	2.0	7.98
陕西佰仕商贸有限公司	000721.SZ	2017.0	4.0	0.73
