mc	gpdm	bgnd	order	bl
AsiaInvestment&DevelopmentsoleCo.Ltd	000065.SZ	2018.0	2.0	4.96
AsiaInvestment&DevelopmentsoleCo.Ltd	000065.SZ	2019.0	5.0	2.63
Constellium Rolled Products SingenGmbH&CO.KG	002662.SZ	2017.0	4.0	1.46
STRIX  LIMITED	300824.SZ	2019.0	1.0	5.41
上海利宝德生物科技有限公司	688505.SH	2017.0	1.0	13.6
上海博世力士乐液压及自动化有限公司	688090.SH	2017.0	2.0	""
上海博世力士乐液压及自动化有限公司	002857.SZ	2018.0	2.0	3.82
上海铭焕检测设备有限公司	300809.SZ	2018.0	3.0	3.58
东方集团产业发展有限公司	603876.SH	2017.0	5.0	4.9
东莞龙腾铝品压铸有限公司	300824.SZ	2019.0	3.0	4.31
中国铝业集团	002823.SZ	2017.0	2.0	14.95
中核华誉工程有限责任公司	002469.SZ	2017.0	4.0	4.25
中核华誉工程有限责任公司	002469.SZ	2018.0	5.0	3.23
中棉集团新疆棉花公司	002087.SZ	2017.0	2.0	5.62
云南三七科技药业有限公司	603998.SH	2017.0	4.0	8.29
云南云天化农资连锁有限公司	000960.SZ	2017.0	2.0	10.33
云南云天化农资连锁有限公司	000912.SZ	2017.0	5.0	2.05
北京世界星辉科技有限责任公司	000835.SZ	2019.0	4.0	4.02
北京世界星辉科技有限责任公司	002425.SZ	2017.0	1.0	12.79
北京兵哥时代传媒广告有限公司	002622.SZ	2019.0	4.0	3.53
北京金阳普天信息技术有限公司	000995.SZ	2018.0	3.0	4.37
古驰(中国)贸易有限公司	000501.SZ	2018.0	4.0	1.74
古驰(中国)贸易有限公司	000501.SZ	2019.0	4.0	2.44
古驰(中国)贸易有限公司	000501.SZ	2017.0	5.0	1.33
增你强(深圳)科技有限公司	300745.SZ	2017.0	4.0	4.47
宁夏昱辉绒业有限公司	000982.SZ	2018.0	4.0	3.17
宜兴市中宇节能净化设备有限公司	688178.SH	2017.0	1.0	6.11
山西潞安环保能源开发有限公司	000966.SZ	2019.0	3.0	6.07
德阳市旌能天然气有限公司	000731.SZ	2017.0	5.0	3.58
德阳市旌能天然气有限公司	000731.SZ	2018.0	5.0	4.27
德阳市旌能天然气有限公司	000731.SZ	2019.0	5.0	4.46
快乐阳光	300766.SZ	2017.0	4.0	5.97
新疆国合棉业有限公司	603301.SH	2017.0	3.0	2.64
新疆金风科技股份有限公司	000791.SZ	2018.0	2.0	9.7
新疆金风科技股份有限公司	600956.SH	2018.0	5.0	3.27
新疆金风科技股份有限公司	600956.SH	2019.0	5.0	4.19
新疆金风科技股份有限公司	000958.SZ	2018.0	4.0	4.72
新疆金风科技股份有限公司	300040.SZ	2019.0	2.0	7.08
新疆金风科技股份有限公司	300040.SZ	2017.0	3.0	5.17
武汉市琛瑞商贸有限公司	000678.SZ	2017.0	3.0	4.06
江阴兴泰新材料有限公司	000659.SZ	2018.0	1.0	7.21
江阴兴泰新材料有限公司	000659.SZ	2019.0	1.0	7.77
江阴兴泰新材料有限公司	000659.SZ	2017.0	4.0	4.57
江阴市恒业锻造有限公司	300084.SZ	2017.0	4.0	3.94
江阴市恒业锻造有限公司	300084.SZ	2018.0	5.0	2.29
河南省豫西煤田地质勘察有限公司	000968.SZ	2018.0	2.0	5
河南省豫西煤田地质勘察有限公司	000968.SZ	2019.0	2.0	8.81
河南省豫西煤田地质勘察有限公司	000968.SZ	2017.0	3.0	2.52
深圳市名家汇科技股份有限公司	002200.SZ	2018.0	1.0	7.31
深圳市名家汇科技股份有限公司	002200.SZ	2019.0	2.0	8.08
深圳市飞力士投资控股有限公司	002878.SZ	2017.0	5.0	2.26
湖南锋神建筑劳务有限公司	000504.SZ	2019.0	1.0	9.18
肖特新康药品包装有限公司	688278.SH	2017.0	2.0	6.8
肖特新康药品包装有限公司	688278.SH	2018.0	2.0	8.55
遂宁市高金食品有限公司	600891.SH	2019.0	1.0	7.73
重庆金隅冀东水泥贸易有限公司	600939.SH	2017.0	4.0	0.73
铜陵有色股份铜冠铜材有限公司	600577.SH	2019.0	5.0	6.57
青岛泰丰铭商贸有限公司	300208.SZ	2018.0	2.0	17.33
韩华新能源(启东)有限公司	300040.SZ	2017.0	1.0	13.44
韩华新能源(启东)有限公司	300040.SZ	2018.0	1.0	13.38
韩华新能源(启东)有限公司	601778.SH	2017.0	2.0	6.59
香港京慧诚有限公司	002119.SZ	2018.0	2.0	11.75
香港京慧诚有限公司	002119.SZ	2019.0	3.0	14.3
香港京慧诚有限公司	002119.SZ	2017.0	5.0	5.43
