mc	gpdm	bgnd	order	bl
tredia	002612.SZ	2018.0	2.0	3.67
tredia	002612.SZ	2019.0	3.0	3.07
一汽吉林汽车有限公司	000800.SZ	2018.0	2.0	3.67
万机仪器	688012.SH	2018.0	3.0	5.32
上海壹星广告传播有限公司	002113.SZ	2017.0	4.0	5.77
上海晶盟硅材料有限公司	688396.SH	2017.0	5.0	3.1
上海晶盟硅材料有限公司	688396.SH	2018.0	5.0	3.41
上海来德福特进出口有限公司	300802.SZ	2018.0	4.0	3.13
上海超伺服信息科技有限公司	300245.SZ	2017.0	2.0	10.05
中国中煤能源股份有限公司	002608.SZ	2018.0	2.0	14.4
中国石化炼油销售有限公司	000637.SZ	2017.0	3.0	9.65
中国石化炼油销售有限公司	000637.SZ	2018.0	4.0	5.83
中国石化炼油销售有限公司	000637.SZ	2019.0	4.0	5.49
中国石化炼油销售有限公司	000155.SZ	2019.0	2.0	9.61
中国石化炼油销售有限公司	002941.SZ	2017.0	5.0	2.33
中国石化炼油销售有限公司	002986.SZ	2017.0	5.0	2.88
中国石化炼油销售有限公司	002682.SZ	2017.0	2.0	9.23
中国石化炼油销售有限公司	002312.SZ	2019.0	4.0	2.7
中国石化炼油销售有限公司	002597.SZ	2018.0	4.0	5
中国石油天然气股份有限公司天然气销售新疆分公司	002700.SZ	2019.0	1.0	46.03
中央电视台	002400.SZ	2017.0	1.0	9.99
中央电视台	002400.SZ	2018.0	1.0	17.33
乐金生活健康贸易(上海)有限公司	002094.SZ	2018.0	4.0	3.55
佛山市爱碧斯健康护理实业有限公司	300805.SZ	2017.0	1.0	4.69
佛山市爱碧斯健康护理实业有限公司	300805.SZ	2018.0	1.0	7.69
北京宏众源石油化工有限公司	002459.SZ	2018.0	3.0	3.2
北京朗程科讯科技有限公司	000851.SZ	2017.0	4.0	7.16
北大医药重庆大新药业股份有限公司	688166.SH	2017.0	1.0	9.81
北大医药重庆大新药业股份有限公司	688166.SH	2018.0	1.0	15.18
华岳集团有限公司	000698.SZ	2017.0	4.0	4.6
南京钢铁股份有限公司	601666.SH	2017.0	2.0	0.54
南京钢铁股份有限公司	601666.SH	2018.0	2.0	1.43
南京钢铁股份有限公司	601666.SH	2019.0	2.0	0.69
周生生(中国)商业有限公司上海分公司	600857.SH	2017.0	5.0	0.88
山东齐胜工贸股份有限公司	002778.SZ	2019.0	3.0	10.47
广州遨为投资咨询有限公司	300635.SZ	2018.0	2.0	5.79
张立琪	600257.SH	2018.0	2.0	2.84
张立琪	600257.SH	2017.0	3.0	3.98
成都华西海圻医药科技有限公司	688222.SH	2019.0	1.0	10.05
成都华西海圻医药科技有限公司	688222.SH	2018.0	3.0	4.19
新疆天业(集团)有限公司	002172.SZ	2017.0	5.0	2.86
无锡市德科立光电子技术有限公司	300277.SZ	2018.0	5.0	2.29
日立数据系统(中国)有限公司	002987.SZ	2017.0	1.0	""
日立数据系统(中国)有限公司	002987.SZ	2018.0	1.0	""
普杰无纺布(中国)有限公司	002551.SZ	2018.0	1.0	6.23
普杰无纺布(中国)有限公司	002551.SZ	2019.0	1.0	5.86
杭州天蓝环保设备有限公司	000005.SZ	2018.0	5.0	1.38
武夷山市国土资源局	000797.SZ	2018.0	5.0	2.26
江苏德威涂料有限公司	000039.SZ	2018.0	4.0	1.61
江西博阳建设工程有限公司	002322.SZ	2019.0	5.0	1.82
浙江中晶新能源有限公司	603105.SH	2017.0	2.0	10.25
浙江南源矿建有限公司	000426.SZ	2017.0	2.0	13.5
浙江南源矿建有限公司	000426.SZ	2018.0	4.0	11.68
浙江南源矿建有限公司	000426.SZ	2019.0	4.0	7.14
浙江联鑫板材科技有限公司	002652.SZ	2017.0	5.0	6.11
浙江联鑫板材科技有限公司	002652.SZ	2018.0	5.0	3.56
深圳轻工业品进出口公司	002465.SZ	2017.0	5.0	0.97
白银富华商贸有限公司	000688.SZ	2017.0	2.0	5.15
石家庄鼎威化工设备工程有限公司	300172.SZ	2018.0	5.0	1.19
福建汉诚装饰设计工程有限公司	600094.SH	2018.0	5.0	""
贵研铂业股份有限公司	300816.SZ	2018.0	4.0	6.56
黑龙江东隆化工有限公司	601011.SH	2017.0	3.0	4.84
黑龙江东隆化工有限公司	601011.SH	2018.0	3.0	4.96
