mc	gpdm	bgnd	order	bl
Cornelius Group PLC	688366.SH	2018.0	3.0	3.77
Cornelius Group PLC	688366.SH	2019.0	3.0	5.43
上海家震	603713.SH	2018.0	4.0	1.55
上海家震	603713.SH	2019.0	4.0	1.48
上海第一建筑服务有限公司	600170.SH	2018.0	2.0	0.66
上饶市浩钰铜业有限公司	688388.SH	2018.0	5.0	1.86
中国海洋石油渤海有限公司	600968.SH	2017.0	3.0	""
中国海洋石油渤海有限公司	600968.SH	2018.0	4.0	""
中国电子信息产业集团有限公司	002935.SZ	2017.0	5.0	4.42
中影巴可	688007.SH	2017.0	3.0	5.46
中材亨达水泥有限公司	000023.SZ	2017.0	1.0	10.37
云南际云矿业有限公司(陆良际云矿业有限公司)	002114.SZ	2018.0	5.0	3.96
元素六商贸(上海)有限公司	688028.SH	2017.0	1.0	22.96
元素六商贸(上海)有限公司	688028.SH	2018.0	1.0	18.42
凭祥市金穗源农业专业合作社	002847.SZ	2019.0	1.0	7.06
北京云生伟业化工产品有限责任公司	300759.SZ	2017.0	5.0	2.34
北京华音科技有限公司	688004.SH	2018.0	1.0	5.7
北京华音科技有限公司	688004.SH	2017.0	2.0	5.16
北京微梦创科网络技术有限公司	603825.SH	2019.0	2.0	8.4
北京微梦创科网络技术有限公司	603825.SH	2018.0	3.0	5.64
北斗天地股份有限公司	600288.SH	2018.0	5.0	0.72
南京大东环境艺术工程有限公司	002789.SZ	2017.0	5.0	1.06
大同煤矿集团有限责任公司	000767.SZ	2017.0	1.0	26.24
大同煤矿集团有限责任公司	000767.SZ	2018.0	1.0	40.15
客商 5	600491.SH	2017.0	5.0	1.1
山东创新工贸有限公司	300828.SZ	2019.0	3.0	19.84
山东创新工贸有限公司	002824.SZ	2017.0	5.0	4.04
山东创新工贸有限公司	002988.SZ	2018.0	5.0	1.36
广东安利康药业有限公司	300310.SZ	2017.0	2.0	2.61
新瑞饲料有限公司	600257.SH	2018.0	5.0	1.84
新疆天山军垦牧业有限责任公司	300106.SZ	2019.0	1.0	13.36
新疆天山军垦牧业有限责任公司	300106.SZ	2017.0	2.0	5.51
新疆天山军垦牧业有限责任公司	300106.SZ	2018.0	2.0	7.01
朝阳金达钛业股份有限公司	688122.SH	2017.0	1.0	18.54
朝阳金达钛业股份有限公司	688122.SH	2018.0	3.0	11.98
朝阳金达钛业股份有限公司	688122.SH	2019.0	3.0	10.19
杭州迪普科技股份有限公司	600446.SH	2018.0	2.0	""
河北普兴电子科技股份有限公司	300373.SZ	2018.0	4.0	4.72
浙江冲田电子有限公司	688200.SH	2017.0	5.0	4.76
浙江康恩贝制药股份有限公司	002412.SZ	2017.0	2.0	6.93
浙江康恩贝制药股份有限公司	300086.SZ	2017.0	2.0	3.88
浙江康恩贝制药股份有限公司	300086.SZ	2018.0	4.0	4.05
深圳市东视电子有限公司	300609.SZ	2019.0	3.0	7.52
深圳市沃佳尔科技有限公司	002957.SZ	2018.0	2.0	3.33
深圳市沃佳尔科技有限公司	002957.SZ	2017.0	5.0	3.25
湖北骏马纸业有限公司	002951.SZ	2017.0	4.0	5.55
湖北骏马纸业有限公司	002951.SZ	2018.0	5.0	5.14
湖北骏马纸业有限公司	002605.SZ	2018.0	3.0	1
甘肃静宁县建设集团816分公司A02号楼	000691.SZ	2018.0	1.0	23.11
遂宁市互利五交化有限公司	600101.SH	2017.0	5.0	0.55
金春股份	603059.SH	2017.0	1.0	11.01
铜陵纳源材料科技有限公司	300432.SZ	2017.0	3.0	3.91
青岛秦尚利五金机电有限公司	300786.SZ	2017.0	3.0	3.94
首钢集团有限公司	600997.SH	2017.0	2.0	18.16
首钢集团有限公司	600997.SH	2018.0	2.0	14.42
首钢集团有限公司	600997.SH	2019.0	2.0	14.78
首钢集团有限公司	000983.SZ	2017.0	1.0	26.08
首钢集团有限公司	000983.SZ	2018.0	1.0	22.04
首钢集团有限公司	000983.SZ	2019.0	1.0	20.49
