mc	gpdm	bgnd	order	bl
Louis Dreyfus	002950.SZ	2017.0	1.0	15.28
MARUBENICORPORATION	000065.SZ	2019.0	4.0	3.67
MARUBENICORPORATION	000301.SZ	2019.0	4.0	5.35
TECRES S.P.A	300326.SZ	2017.0	3.0	6.14
三门峡北辰矿业有限公司	000688.SZ	2019.0	1.0	9.97
上海直川电子科技有限公司	300802.SZ	2018.0	5.0	2.97
东莞精熙光机有限公司	688010.SH	2017.0	2.0	8.69
东莞精熙光机有限公司	688010.SH	2018.0	2.0	10.2
中远海运集团	601298.SH	2017.0	2.0	3.14
亳州市发扬中药材有限责任公司	300534.SZ	2017.0	4.0	10.13
亳州市坤源医药有限公司	300147.SZ	2017.0	3.0	1.19
内蒙古兴安银铅冶炼有限公司	600988.SH	2017.0	1.0	""
友尚香港有限公司	002848.SZ	2017.0	1.0	5.29
友尚香港有限公司	002848.SZ	2018.0	3.0	6.48
吉林省乾旭建业集团有限公司	688101.SH	2018.0	3.0	5.92
同江浩然电气有限公司	300040.SZ	2018.0	3.0	4.09
同江浩然电气有限公司	000806.SZ	2017.0	5.0	3.63
国家电网企业	688100.SH	2018.0	1.0	10.84
国家电网企业	688100.SH	2017.0	3.0	3.6
国网河北省电力有限公司沧州供电分公司	600230.SH	2019.0	1.0	19.66
天津市天骄辐射固化材料有限公司,天津聚联光固化材料有限公司	688199.SH	2017.0	2.0	6.48
岳阳观盛投资发展有限公司	000571.SZ	2018.0	1.0	14.94
岳阳观盛投资发展有限公司	000571.SZ	2019.0	1.0	7.22
张家港市华博锻造有限公司	002265.SZ	2017.0	3.0	2.33
扬州意匠轩园林古建筑营造有限公司	000011.SZ	2017.0	2.0	9.81
无锡量工科技有限公司	002338.SZ	2018.0	2.0	5.12
无锡量工科技有限公司	002338.SZ	2017.0	3.0	4.9
杭州逸暻化纤有限公司	688299.SH	2018.0	4.0	7.03
江苏强骏钢结构工程有限公司	002659.SZ	2017.0	5.0	2.59
深圳市龙岗区龙岗镇创利装饰材料店	002989.SZ	2017.0	5.0	2.08
深圳赛贝尔自动化设备有限公司	002903.SZ	2018.0	1.0	6.36
深圳赛贝尔自动化设备有限公司	002903.SZ	2019.0	1.0	11.11
湖南雄新建筑有限公司	000014.SZ	2018.0	2.0	24.87
湖南雄新建筑有限公司	000014.SZ	2019.0	2.0	13.36
湖南雄新建筑有限公司	000014.SZ	2017.0	5.0	6.56
环球联影影视文化(北京)有限公司	002905.SZ	2017.0	4.0	0.18
甘肃久联联合民爆器材营销有限公司	002827.SZ	2017.0	3.0	12.49
贵州易成物资贸易有限公司	600227.SH	2018.0	2.0	12.86
辽宁本源制药有限公司	300558.SZ	2017.0	3.0	12.79
辽宁本源制药有限公司	300558.SZ	2018.0	4.0	12.55
辽宁辽鞍工程机械有限公司	000856.SZ	2017.0	4.0	1.07
辽宁辽鞍工程机械有限公司	000780.SZ	2017.0	3.0	5.12
辽宁辽鞍工程机械有限公司	000780.SZ	2018.0	3.0	3.11
遂宁市恒鑫五交化建材有限公司环宇电器销售中心	600101.SH	2017.0	2.0	0.78
阳江市顺全工贸实业有限公司	002444.SZ	2017.0	3.0	2.54
阳江市顺全工贸实业有限公司	002444.SZ	2018.0	3.0	1.76
陕西圣地佰诚石化有限公司	002259.SZ	2018.0	3.0	3.59
陕西圣地佰诚石化有限公司	002259.SZ	2019.0	5.0	1.37
青岛国琴机械铸造有限公司	002871.SZ	2017.0	1.0	4.87
青岛国琴机械铸造有限公司	002871.SZ	2018.0	2.0	5.91
青岛国琴机械铸造有限公司	002871.SZ	2019.0	2.0	4.48
青神县新辉机械厂	300780.SZ	2017.0	3.0	6.39
青神县新辉机械厂	300780.SZ	2018.0	4.0	6.19
