mc	gpdm	bgnd	order	bl
DOWA ELECTRONICS MATERIALS CO.,LTD	300842.SZ	2018.0	1.0	92.57
DOWA ELECTRONICS MATERIALS CO.,LTD	300842.SZ	2019.0	1.0	94.31
DOWA ELECTRONICS MATERIALS CO.,LTD	300842.SZ	2017.0	3.0	18.8
上海高雅玻璃有限公司	603983.SH	2017.0	4.0	3.91
中国人民财产保险股份有限公司	601698.SH	2017.0	3.0	4.97
中国人民财产保险股份有限公司	601698.SH	2018.0	5.0	1.22
中核检修有限公司	601985.SH	2017.0	4.0	""
云南锡业集团(控股)有限责任公司	000960.SZ	2017.0	1.0	19.59
兆易创新	688018.SH	2017.0	4.0	8.12
兆易创新	688018.SH	2018.0	4.0	4.74
北京优炫软件股份有限公司	300245.SZ	2019.0	5.0	3.7
南阳汉冶特钢公司	300767.SZ	2018.0	4.0	8.01
厦门禹港有限公司	601168.SH	2018.0	5.0	""
吉林省鸿兴建设集团有限公司	688101.SH	2018.0	1.0	8.01
天津威硕电子技术有限公司	300600.SZ	2017.0	3.0	6.08
宁波展杰磁材科技有限公司	000795.SZ	2017.0	1.0	15.41
宁波展杰磁材科技有限公司	000795.SZ	2018.0	1.0	8.28
宁波市镇海海湾石油化工有限公司	601865.SH	2017.0	2.0	11.46
山西四和交通工程有限责任公司	000755.SZ	2019.0	2.0	7.32
岳阳恒盛冷链物流有限责任公司	000571.SZ	2017.0	2.0	5.32
弓箭玻璃器皿(中国)有限公司	002878.SZ	2017.0	1.0	3.87
成都兴荣丰硬质合金有限公司	688028.SH	2017.0	3.0	5.42
成都兴荣丰硬质合金有限公司	688028.SH	2018.0	4.0	5.16
无锡米诺医疗科技有限公司	603087.SH	2018.0	3.0	7.89
无锡米诺医疗科技有限公司	603087.SH	2017.0	5.0	7.22
桐乡市国土资源局	000517.SZ	2018.0	3.0	6.65
武威金号康环保农业开发有限公司	300313.SZ	2019.0	2.0	11.08
武汉百鲤网络技术有限公司	002113.SZ	2018.0	5.0	5.02
永顺油品国际(香港)有限公司	000798.SZ	2017.0	5.0	2.2
江苏正源环保科技有限公司	000035.SZ	2018.0	2.0	3.74
江苏江润铜业有限公司	603897.SH	2017.0	3.0	3.8
江苏江润铜业有限公司	600577.SH	2017.0	3.0	16.06
江苏江润铜业有限公司	600577.SH	2018.0	3.0	14.5
江苏江润铜业有限公司	600577.SH	2019.0	4.0	12.23
江苏瑞恩电气股份有限公司	000806.SZ	2019.0	5.0	3.19
深圳市维嘉意电子有限公司	002979.SZ	2017.0	3.0	5.01
深圳市维嘉意电子有限公司	002979.SZ	2018.0	4.0	4.91
湖北省路桥集团有限公司	000667.SZ	2019.0	2.0	5.53
珠海睿云信息科技有限公司	688111.SH	2017.0	4.0	6.75
珠海睿云信息科技有限公司	688111.SH	2018.0	4.0	7.62
盘锦亿源塑胶管业有限公司	002700.SZ	2019.0	4.0	1.45
第三	300280.SZ	2019.0	3.0	6.58
第三	000623.SZ	2017.0	3.0	5.41
第三	000623.SZ	2018.0	3.0	4.19
第三	000623.SZ	2019.0	3.0	2.52
第三	300604.SZ	2017.0	3.0	5.09
第三	002619.SZ	2017.0	3.0	4.91
第三	002619.SZ	2018.0	3.0	7.09
第三	300549.SZ	2017.0	3.0	0.8
第三	300549.SZ	2018.0	3.0	2.44
第三	000711.SZ	2018.0	3.0	2.99
第三	000711.SZ	2019.0	3.0	2.24
第三	002027.SZ	2018.0	3.0	1.85
第三	688128.SH	2019.0	3.0	2.49
第三	002029.SZ	2017.0	3.0	3.09
第三	002029.SZ	2018.0	3.0	2.66
第三	002029.SZ	2019.0	3.0	2.29
第三	002762.SZ	2017.0	3.0	5.73
第三	002762.SZ	2018.0	3.0	5.86
第三	002762.SZ	2019.0	3.0	5.05
苹果公司	002938.SZ	2017.0	1.0	15.71
菱华商业(上海)有限公司	603587.SH	2017.0	5.0	3.72
锦州阳光能源,佑华硅材料	688233.SH	2017.0	1.0	42.09
锦州阳光能源,佑华硅材料	688233.SH	2018.0	2.0	20.6
长沙和鑫建筑工程公司	300345.SZ	2018.0	2.0	11.99
