mc	gpdm	bgnd	order	bl
Applovin	002656.SZ	2018.0	1.0	9.32
Fort Wayne Metals Research Products Co.	688029.SH	2017.0	5.0	4.11
Fort Wayne Metals Research Products Co.	688029.SH	2018.0	5.0	4.67
WINGS TOURS GULF LLC	300795.SZ	2017.0	3.0	5.97
WINGS TOURS GULF LLC	300795.SZ	2018.0	3.0	6.29
上海今瑜国际贸易有限公司	000751.SZ	2018.0	5.0	4.07
上海众达信息产业有限公司	300089.SZ	2018.0	2.0	7.5
上海博荟化工有限公司	002095.SZ	2017.0	1.0	11.05
上海博荟化工有限公司	002095.SZ	2018.0	3.0	7.88
上海大展金属材料有限公司	600170.SH	2018.0	3.0	0.47
上海大展金属材料有限公司	600170.SH	2017.0	4.0	""
上海海螺建材国际贸易有限公司广东分公司	000023.SZ	2018.0	1.0	8.9
上海海螺建材国际贸易有限公司广东分公司	000023.SZ	2019.0	1.0	11.3
上海莘威运动品有限公司	300819.SZ	2017.0	5.0	4.33
上海萌达冶金材料有限公司	002282.SZ	2017.0	1.0	4.32
中国核电工程有限公司	601985.SH	2017.0	1.0	""
中国核电工程有限公司	601985.SH	2019.0	1.0	""
中国铁路南昌局集团有限公司九江车务段	600397.SH	2019.0	2.0	5.97
中涛新材料有限公司	300434.SZ	2019.0	2.0	3.96
中铝青海西部国际贸易有限公司	000933.SZ	2017.0	2.0	9.33
劳力士(广州)有限公司	000026.SZ	2017.0	3.0	5.82
劳力士(广州)有限公司	000026.SZ	2018.0	3.0	8.96
华联(澳门离岸商业服务)有限公司	002521.SZ	2019.0	5.0	7.05
国网江西省电力有限公司抚州市东乡区供电分公司	603681.SH	2017.0	3.0	4.01
安徽华茂进出口有限责任公司	000850.SZ	2017.0	2.0	9.95
宣化钢铁集团有限责任公司	603969.SH	2017.0	3.0	5.64
岳阳兴长石化股份有限公司	000627.SZ	2017.0	4.0	3.46
岳阳兴长石化股份有限公司	000627.SZ	2018.0	5.0	3.22
广州元亨燃气有限公司	000037.SZ	2017.0	5.0	1.64
张家港保税区行德威进出口贸易有限公司	002585.SZ	2019.0	4.0	8.84
成都义成科技有限公司	300609.SZ	2018.0	4.0	3.15
武汉科贝科技股份有限公司	300012.SZ	2017.0	5.0	1.16
永兴县富兴贵金属有限责任公司	002716.SZ	2018.0	4.0	4.1
江苏汉瓦特电力科技有限公司	300351.SZ	2017.0	4.0	2.3
江苏设计谷科技有限公司	300104.SZ	2017.0	2.0	6.83
江西永特合金有限公司	300337.SZ	2017.0	4.0	3.03
江阴市双宇线缆有限公司	000922.SZ	2019.0	4.0	2.54
沈阳宝钢东北贸易有限公司	000530.SZ	2018.0	4.0	2.33
沈阳宝钢东北贸易有限公司	000530.SZ	2019.0	4.0	2.43
浙江新盛建设集团有限公司	300746.SZ	2017.0	2.0	14.33
深圳互信互通科技有限公司	300377.SZ	2018.0	5.0	1.43
深圳市行芝达电子有限公司	002957.SZ	2018.0	4.0	2.62
溧阳金利宝胶粘制品有限公司	002947.SZ	2017.0	2.0	6.44
益海嘉里投资有限公司	000876.SZ	2017.0	1.0	1.84
益海嘉里投资有限公司	000876.SZ	2018.0	1.0	3.25
神木市国晶商贸有限公司	002259.SZ	2019.0	4.0	1.49
联想(深圳)电子有限公司	300297.SZ	2017.0	5.0	4.54
苏州嘉盛建设工程有限公司	601512.SH	2018.0	4.0	3.83
重庆市潼南区开鑫电子科技有限公司	002953.SZ	2018.0	5.0	1.01
长春市润锋建筑安装工程有限责任公司	000668.SZ	2017.0	4.0	5.59
长沙惠凯工控电器有限公司	002943.SZ	2017.0	1.0	17.12
长沙惠凯工控电器有限公司	002943.SZ	2019.0	2.0	4.53
