mc	gpdm	bgnd	order	bl
MARUWA CO.,LTD	300747.SZ	2017.0	4.0	4.21
上海威怡广告有限公司	002127.SZ	2018.0	5.0	2.92
上海潜源燃料有限公司	000301.SZ	2017.0	4.0	7.21
上海诺可金属材料有限公司	688020.SH	2017.0	1.0	16.44
上海诺可金属材料有限公司	688020.SH	2018.0	2.0	12.73
东莞市公共资源交易中心	000006.SZ	2019.0	1.0	27.66
中化石油湖南有限公司	000819.SZ	2017.0	3.0	3.68
中化石油湖南有限公司	000819.SZ	2018.0	3.0	3.34
中化石油湖南有限公司	000819.SZ	2019.0	4.0	2.52
临朐县丰奇经贸有限公司	002469.SZ	2018.0	3.0	3.92
临朐县丰奇经贸有限公司	002469.SZ	2019.0	4.0	2.8
余姚市陆埠镇江南铜管五金厂	603992.SH	2017.0	5.0	2.61
余姚市陆埠镇江南铜管五金厂	603992.SH	2018.0	5.0	2.99
安徽尚趣玩网络科技有限公司	000835.SZ	2018.0	3.0	4.67
山西永东化工股份有限公司	002381.SZ	2017.0	4.0	4.78
广东华劲集团	603348.SH	2017.0	1.0	30.16
广西凯谦建筑劳务有限公司	002929.SZ	2019.0	5.0	1.07
德国 GMH 公司	300733.SZ	2017.0	4.0	4.16
有氟密管阀有限公司	300838.SZ	2017.0	3.0	3.34
有氟密管阀有限公司	300838.SZ	2018.0	4.0	3.02
正太集团有限公司	002305.SZ	2017.0	3.0	4.95
正太集团有限公司	002305.SZ	2018.0	3.0	4.16
正太集团有限公司	002305.SZ	2019.0	3.0	4.57
江苏海阳化纤有限公司	300644.SZ	2017.0	2.0	8.87
沈阳石蜡化工有限公司	000818.SZ	2017.0	4.0	4.67
泰州中来光电科技有限公司,泰州中来光电科技有限公司姜堰分公司	601778.SH	2018.0	4.0	4.74
济南庚辰铸造材料有限公司	002921.SZ	2017.0	1.0	13.46
深圳市丰光通信工程有限公司	002238.SZ	2019.0	4.0	4.88
深圳市康佳商用系统科技有限公司	002261.SZ	2017.0	3.0	3.82
湖北长天通信科技有限公司	000586.SZ	2019.0	1.0	12.73
湖北长天通信科技有限公司	000586.SZ	2018.0	3.0	5.31
潜江市魅鹏建筑劳务有限公司	300388.SZ	2018.0	4.0	2.1
灵谷化工集团有限公司	603906.SH	2019.0	1.0	12.19
第5名	300673.SZ	2017.0	5.0	3.17
第5名	000045.SZ	2017.0	5.0	4.42
第5名	000045.SZ	2018.0	5.0	4.27
第5名	000045.SZ	2019.0	5.0	5.29
第5名	002782.SZ	2017.0	5.0	2.46
第5名	002782.SZ	2018.0	5.0	2.28
第5名	002782.SZ	2019.0	5.0	2.18
第5名	002759.SZ	2017.0	5.0	4
第5名	300123.SZ	2019.0	5.0	2.12
第5名	002629.SZ	2017.0	5.0	2.9
第5名	002093.SZ	2017.0	5.0	3.14
第5名	002093.SZ	2018.0	5.0	2.14
第5名	002341.SZ	2019.0	5.0	2.84
第5名	002922.SZ	2018.0	5.0	1.93
第5名	002848.SZ	2019.0	5.0	2.16
第5名	300098.SZ	2017.0	5.0	2.72
第5名	300435.SZ	2017.0	5.0	2.26
第5名	300410.SZ	2017.0	5.0	1.88
第5名	300410.SZ	2019.0	5.0	2.31
第5名	300289.SZ	2018.0	5.0	2.49
第5名	300289.SZ	2019.0	5.0	2.83
第5名	000718.SZ	2017.0	5.0	3.11
第5名	000718.SZ	2018.0	5.0	2.6
营口铭泰石化有限公司	600997.SH	2017.0	5.0	1.89
遵义钛业股份有限公司	688122.SH	2018.0	4.0	10.25
遵义钛业股份有限公司	688122.SH	2017.0	5.0	6.54
长沙高新开发区麓谷人力资源服务有限公司	002452.SZ	2019.0	1.0	1.82
陕西省煤炭运销(集团)有限责任公司彬长分公司	000883.SZ	2017.0	1.0	14.44
陕西省煤炭运销(集团)有限责任公司彬长分公司	000883.SZ	2018.0	2.0	11.26
青岛海湾索尔维化工有限公司	300779.SZ	2017.0	5.0	6.28
青岛海湾索尔维化工有限公司	300779.SZ	2018.0	5.0	5.37
