mc	gpdm	bgnd	order	bl
CONTINENTALAUTOMOTIVE SYSTEMS,INC	603013.SH	2017.0	1.0	17.12
Merck Sharp & Dohme Asia Pacific Services Pte Ltd	600521.SH	2017.0	1.0	""
上海医韵生物科技有限公司	688016.SH	2017.0	5.0	3.08
上海大众汽车销售有限公司	000421.SZ	2018.0	2.0	9.99
上海季西贸易有限公司	688029.SH	2018.0	4.0	5.45
东莞市九丰天然气储运有限公司	000037.SZ	2017.0	3.0	5.46
东莞市九丰天然气储运有限公司	000037.SZ	2018.0	4.0	6.56
东莞市九丰天然气储运有限公司	000037.SZ	2019.0	5.0	2.49
东莞市环宇文化科技有限公司	300833.SZ	2017.0	5.0	4.72
中化石油上海有限公司	000554.SZ	2019.0	3.0	9
中国石化销售有限公司山东青岛石油分公司	000407.SZ	2017.0	5.0	3.22
公司三	002462.SZ	2019.0	3.0	2.47
北京北科欧远科技有限公司	600133.SH	2019.0	5.0	3.95
北京振兴宏达工贸有限公司	300344.SZ	2017.0	4.0	5.8
北明软件股份有限公司,北京北明伟业科技有限公司	688158.SH	2018.0	4.0	7.25
华润燃气投资(中国)有限公司	603053.SH	2017.0	3.0	""
合肥金钢商贸有限公司	603815.SH	2018.0	3.0	2.37
国网山东禹城市供电公司	002604.SZ	2018.0	4.0	4.31
太仓港协鑫发电有限公司	600133.SH	2019.0	1.0	7.56
宁波金田电材有限公司	002452.SZ	2018.0	1.0	1.47
宁波金田电材有限公司	002452.SZ	2017.0	3.0	2.27
宁波金田电材有限公司	002452.SZ	2019.0	5.0	1.26
山东信发红宇科技有限公司	300345.SZ	2017.0	4.0	4.56
常州市万杰化工有限公司	000859.SZ	2018.0	2.0	5.99
广东中石油昆仑液化气有限公司	300089.SZ	2017.0	5.0	6.64
无锡小天鹅股份有限公司	000419.SZ	2017.0	4.0	4.58
无锡小天鹅股份有限公司	000419.SZ	2018.0	5.0	4.03
江苏天力建设集团有限公司	002077.SZ	2018.0	3.0	2.95
江苏天力建设集团有限公司	002146.SZ	2019.0	5.0	0.72
江苏开来钢管有限公司	300263.SZ	2017.0	3.0	3.23
江苏法尔胜缆索有限公司	000890.SZ	2018.0	2.0	16.96
江苏法尔胜缆索有限公司	000890.SZ	2019.0	2.0	13.94
泰格林纸集团股份有限公司	000719.SZ	2017.0	5.0	1.68
浙江建设商贸物流有限公司	002941.SZ	2019.0	2.0	2.48
浙江建设商贸物流有限公司	601212.SH	2017.0	4.0	4.48
浙江建设商贸物流有限公司	601212.SH	2018.0	4.0	4.23
深圳市***智能家居有限公司	002830.SZ	2019.0	3.0	5.77
深圳市东钛宇精密机械有限公司	300832.SZ	2017.0	2.0	7.4
深圳市东钛宇精密机械有限公司	300832.SZ	2018.0	2.0	6.67
深圳市东钛宇精密机械有限公司	300832.SZ	2019.0	2.0	6.84
深圳市众鸿科技股份有限公司	688288.SH	2017.0	1.0	7.59
深圳市达因新材料有限公司	688157.SH	2017.0	5.0	5.01
湖南和顺石油化工有限公司	000819.SZ	2017.0	4.0	1.36
瑞钢联集团有限公司	000778.SZ	2019.0	4.0	1.28
艾睿电子中国有限公司	002979.SZ	2019.0	5.0	3.68
西安杨森制药有限公司	000597.SZ	2019.0	1.0	3.12
西安杨森制药有限公司	000597.SZ	2017.0	2.0	3.62
西安杨森制药有限公司	000597.SZ	2018.0	2.0	2.5
诏安县国土资源局	000797.SZ	2018.0	3.0	7.47
贵港市恒洋羽绒制品有限公司	002321.SZ	2017.0	4.0	2.19
重庆联合产权交易所集团股份有限公司	002305.SZ	2018.0	2.0	18.24
重庆联合产权交易所集团股份有限公司	000517.SZ	2017.0	1.0	23.54
青岛恒利包装有限公司	002899.SZ	2019.0	3.0	4.14
