mc	gpdm	bgnd	order	bl
JOY CHINA (HONGKONG) LIMITED	002153.SZ	2017.0	5.0	5.06
上海依貅经贸发展有限公司	300029.SZ	2018.0	2.0	11.36
上海电器股份有限公司人民电器厂	002441.SZ	2017.0	5.0	3.02
上海电器股份有限公司人民电器厂	002441.SZ	2018.0	5.0	2.36
上海电器股份有限公司人民电器厂	002441.SZ	2019.0	5.0	2.23
上海长然实业有限公司	000509.SZ	2017.0	1.0	11.68
丹尼斯克(中国)有限公司	603156.SH	2019.0	4.0	2.07
九州通医药集团股份有限公司	300158.SZ	2019.0	5.0	3.94
众业达电气(沈阳)有限公司	300293.SZ	2019.0	4.0	4.98
北京快手广告有限公司	002400.SZ	2019.0	3.0	6.68
双星彩塑[002585.SZ]	300806.SZ	2018.0	4.0	7.08
咸阳建华煤炭运销有限公司	002109.SZ	2019.0	5.0	11.28
四川华信会计师事务所	600733.SH	2017.0	4.0	""
国网青海省电力公司海西供电公司服务中心	000792.SZ	2017.0	3.0	7.99
大连白桦粮谷加工有限公司	600811.SH	2018.0	2.0	5.07
天津力神电池股份有限公司	688005.SH	2017.0	2.0	12
天津市大通建设发展集团有限公司	000616.SZ	2019.0	5.0	0.83
宁波市成龙特殊钢有限公司	603662.SH	2017.0	3.0	5.72
宁波市成龙特殊钢有限公司	603662.SH	2018.0	3.0	6.07
安萨尔多	000925.SZ	2017.0	1.0	9.38
安萨尔多	000925.SZ	2018.0	1.0	7.99
山西天立源建筑劳务有限公司	603220.SH	2017.0	4.0	3.84
广东元德中药饮片有限公司	300086.SZ	2018.0	3.0	6.27
广东银宝山新科技有限公司	300548.SZ	2017.0	5.0	2.78
揭阳市普侨区兴伟彩印有限公司	002495.SZ	2017.0	1.0	10.63
星景生态环保科技(苏州)有限公司	002140.SZ	2017.0	1.0	10.35
星景生态环保科技(苏州)有限公司	002140.SZ	2018.0	1.0	7.42
江苏萃隆精密铜管股份有限公司	000811.SZ	2019.0	1.0	2.27
江苏萃隆精密铜管股份有限公司	000811.SZ	2018.0	2.0	2.05
江西江铃底盘股份有限公司	000550.SZ	2017.0	2.0	3.8
江西江铃底盘股份有限公司	000550.SZ	2018.0	2.0	3.98
江西江铃底盘股份有限公司	000550.SZ	2019.0	4.0	3.27
沈阳光太铝业有限公司	300489.SZ	2019.0	1.0	43.45
浙江万凯新材料有限公司	000659.SZ	2019.0	3.0	6.26
浙江万凯新材料有限公司	000659.SZ	2018.0	4.0	4.07
浙江自贸区钻柯能源有限公司	002077.SZ	2019.0	5.0	3.71
深圳市***建材有限公司	002830.SZ	2019.0	4.0	3.37
烟台丰鲁精细化工有限责任公司	002643.SZ	2017.0	5.0	2.92
福建龙马环卫装备股份有限公司	002973.SZ	2017.0	1.0	8.85
老挝裕峰一人有限公司	000893.SZ	2018.0	1.0	29.91
路必康相关	002952.SZ	2017.0	2.0	3.35
铁岭港华燃气有限公司	000809.SZ	2018.0	4.0	9.46
铁岭港华燃气有限公司	000809.SZ	2017.0	5.0	0.91
阜阳市富源化工有限责任公司	603599.SH	2017.0	3.0	7.02
青岛达裕运动器材有限公司	002899.SZ	2019.0	2.0	5.54
页国际贸易(上海)有限公司(钢材)	600820.SH	2018.0	3.0	3.32
页国际贸易(上海)有限公司(钢材)	600820.SH	2019.0	5.0	1.8
