mc	gpdm	bgnd	order	bl
AGREXINC(日本三菱)	600096.SH	2017.0	5.0	""
GENERALSUPPLIES   CO.,LTD	300743.SZ	2017.0	3.0	6.04
SUZANO TRADING LTD	002521.SZ	2018.0	4.0	8.12
TECO MEDICAL INSTRUMENTS	300406.SZ	2018.0	1.0	8.25
TECO MEDICAL INSTRUMENTS	300406.SZ	2017.0	3.0	4.51
一汽轿车股份有限公司	000927.SZ	2018.0	3.0	3.53
上海云林化工有限公司	000819.SZ	2019.0	5.0	1.83
上海群融视乐图像技术有限公司	300802.SZ	2017.0	5.0	3.19
东风悦达起亚汽车有限公司	000996.SZ	2017.0	1.0	91.28
中国石化销售有限公司新疆乌鲁木齐石油分公司	000159.SZ	2018.0	1.0	36.13
中国石化销售有限公司新疆乌鲁木齐石油分公司	000159.SZ	2019.0	1.0	40.82
中设(苏州)机械设备工程有限公司	300215.SZ	2018.0	1.0	31.2
中设(苏州)机械设备工程有限公司	300215.SZ	2019.0	1.0	17.73
中设(苏州)机械设备工程有限公司	300215.SZ	2017.0	2.0	9.66
北京利达基业商贸有限责任公司	000931.SZ	2017.0	1.0	4
北京利达基业商贸有限责任公司	000931.SZ	2018.0	2.0	4.25
华数传媒	300770.SZ	2017.0	2.0	14.42
华数传媒	300770.SZ	2018.0	3.0	12.1
印尼狮子航空	000610.SZ	2017.0	4.0	0.67
哈尔滨世纪光谷网络科技有限公司	300253.SZ	2017.0	5.0	1.21
四川北方红光特种化工有限公司	002942.SZ	2017.0	5.0	5.24
山东东阿钢球集团有限公司	300652.SZ	2019.0	4.0	3.49
山东新兴重工科技发展有限公司	000407.SZ	2017.0	4.0	3.61
山东秉德贸易有限公司	603217.SH	2018.0	5.0	4.55
广州一瓦建筑设计有限公司	300778.SZ	2018.0	4.0	""
广电浦东	603682.SH	2017.0	2.0	8.88
广电浦东	603682.SH	2018.0	2.0	8.2
江苏龙地建设工程有限公司	601155.SH	2017.0	5.0	2.02
济宁市兖州区元典经贸有限公司	002921.SZ	2017.0	5.0	5.91
深圳前海科珀实业有限公司	000751.SZ	2018.0	1.0	25.84
深圳前海科珀实业有限公司	000751.SZ	2019.0	1.0	18.34
深圳市蓝海华腾技术股份有限公司	300742.SZ	2017.0	2.0	20.3
深圳市设计装饰工程有限公司	000011.SZ	2018.0	4.0	3.01
湖南华菱湘潭钢铁有限公司	601666.SH	2018.0	3.0	1.07
湖南华菱湘潭钢铁有限公司	601666.SH	2019.0	3.0	0.54
湖南华菱湘潭钢铁有限公司	300569.SZ	2017.0	4.0	6.49
湖南华菱湘潭钢铁有限公司	300569.SZ	2018.0	5.0	4.08
湖南华菱湘潭钢铁有限公司	600558.SH	2017.0	2.0	5.1
湖南森禾机械制造有限公司	002903.SZ	2017.0	1.0	4.9
湖南森禾机械制造有限公司	002903.SZ	2018.0	3.0	4.03
湖南森禾机械制造有限公司	002903.SZ	2019.0	4.0	3.39
苏州市永兴物资贸易有限公司	601512.SH	2018.0	2.0	4.45
苏州市永兴物资贸易有限公司	000301.SZ	2017.0	3.0	17.94
英国安德鲁纳伯格联合国际有限公司	300788.SZ	2018.0	5.0	2.92
费斯托(中国)有限公司	300836.SZ	2017.0	1.0	4.67
费斯托(中国)有限公司	300836.SZ	2018.0	2.0	7.27
费斯托(中国)有限公司	300836.SZ	2019.0	4.0	4.37
费斯托(中国)有限公司	300751.SZ	2017.0	5.0	3.43
重庆海尔家电销售有限公司长沙分公司(冰箱)	000419.SZ	2017.0	3.0	5.41
银川三铭锻造有限公司	000595.SZ	2017.0	5.0	4.54
长沙市美宇电器有限公司	300800.SZ	2018.0	5.0	3.67
青岛新奥燃气有限公司	300779.SZ	2017.0	1.0	9.81
青岛新奥燃气有限公司	300779.SZ	2018.0	1.0	16
马钢(金华)钢材加工有限公司	002508.SZ	2019.0	4.0	3.51
