mc	gpdm	bgnd	order	bl
CARGILL INTERNATIONAL SA	600096.SH	2018.0	2.0	""
CARGILL INTERNATIONAL SA	600096.SH	2019.0	4.0	""
LippAmericaTankSystems,LLC.	300362.SZ	2019.0	2.0	4.94
三井塑料贸易(上海)有限公司	688299.SH	2018.0	5.0	5.64
上海期交所大宗平台	601212.SH	2019.0	1.0	""
东明中油燃料石化有限公司	603353.SH	2018.0	1.0	45.75
东明中油燃料石化有限公司	603353.SH	2019.0	1.0	18.7
中国石化仪征化纤有限责任公司	000677.SZ	2019.0	1.0	36.91
中国石化仪征化纤有限责任公司	688299.SH	2017.0	1.0	27.37
中国石化仪征化纤有限责任公司	688299.SH	2018.0	1.0	24.32
中国石化仪征化纤有限责任公司	603332.SH	2017.0	1.0	42.47
中山市瑞福达触控显示技术有限公司	300552.SZ	2019.0	5.0	4.53
兰州黄河精炼玻璃制品包装有限公司	000752.SZ	2017.0	5.0	2.42
兰州黄河精炼玻璃制品包装有限公司	000929.SZ	2017.0	1.0	15.93
兰州黄河精炼玻璃制品包装有限公司	000929.SZ	2018.0	3.0	4.39
北方联合铝业深圳有限公司	002824.SZ	2017.0	1.0	24.93
天成玉米开发有限公司	600866.SH	2018.0	2.0	9.22
天成玉米开发有限公司	600866.SH	2019.0	3.0	4.24
太原百益众赢科技有限公司	688051.SH	2018.0	2.0	4.93
孝感市楚杨建筑劳务有限责任公司新疆分公司	002941.SZ	2017.0	3.0	2.82
宁夏灵宝化工有限公司	000155.SZ	2017.0	1.0	11.32
山东南山智尚科技股份有限公司	002687.SZ	2017.0	3.0	5.59
山东南山智尚科技股份有限公司	002687.SZ	2019.0	4.0	4.54
山东宝诚集团有限公司	000506.SZ	2018.0	3.0	8.44
广州名至照明发展有限公司	002963.SZ	2017.0	3.0	4.93
广州市普拓企业管理顾问有限公司	300310.SZ	2017.0	1.0	7.4
广州市普拓企业管理顾问有限公司	300310.SZ	2018.0	1.0	5.49
广州市普拓企业管理顾问有限公司	300310.SZ	2019.0	2.0	4.22
张家港大德新福珠宝金行	000679.SZ	2018.0	3.0	3.41
成都模块科技有限公司	688369.SH	2017.0	5.0	3.06
无锡中海科创科技有限公司	603185.SH	2017.0	2.0	3.65
杭州三润实业投资有限公司	002951.SZ	2017.0	2.0	18.08
杭州三润实业投资有限公司	002951.SZ	2018.0	3.0	11.91
江苏佳磊矿业投资有限公司	000509.SZ	2018.0	2.0	21.81
江苏和恒港口服务有限公司	002040.SZ	2019.0	4.0	4.2
江苏宸翰建筑工程有限公司	688096.SH	2019.0	1.0	6.16
江苏海之实光伏设备有限公司	300317.SZ	2017.0	5.0	5.65
洛阳双瑞特种装备有限公司	000811.SZ	2017.0	2.0	1.98
济川药业集团有限公司	600851.SH	2019.0	2.0	2.89
济川药业集团有限公司	600851.SH	2018.0	3.0	3.07
济川药业集团有限公司	600851.SH	2017.0	4.0	2.68
浙江舟山汇川河石油化工有限公司	000159.SZ	2019.0	4.0	3.62
淄博双杰化工有限公司	300699.SZ	2017.0	4.0	3.98
深圳市城匚建筑设计有限公司	300564.SZ	2017.0	4.0	2.14
深圳市城匚建筑设计有限公司	300564.SZ	2018.0	5.0	3.04
深圳市深农国际物流发展有限公司	000061.SZ	2017.0	1.0	17.17
深圳市深农国际物流发展有限公司	000061.SZ	2018.0	1.0	10.15
深圳洲际建筑装饰集团有限公司	000048.SZ	2019.0	2.0	5.59
湖北省电力公司襄阳供电公司	000615.SZ	2017.0	5.0	4.02
湖北鼎信力创工业科技有限公司	002903.SZ	2017.0	5.0	3.31
湖南省尚品科贸有限公司	300413.SZ	2017.0	5.0	2.29
秦皇岛沅泰纸业有限公司	002803.SZ	2017.0	5.0	4.29
重庆市棉麻集团有限公司	000158.SZ	2019.0	2.0	12.26
重庆市棉麻集团有限公司	000158.SZ	2018.0	5.0	2.47
鑫三顺商贸有限公司	002306.SZ	2019.0	4.0	13.29
隔而固(青岛)振动控制有限公司	300809.SZ	2018.0	4.0	3.04
霍尔果斯朗睿影视传媒有限公司	000892.SZ	2017.0	3.0	5.41
青阳县元泽电气机械制造有限公司	603662.SH	2018.0	5.0	4.53
马鞍山新康达磁业有限公司	300811.SZ	2017.0	1.0	20.96
黑龙江浩扬沥青有限公司	600853.SH	2017.0	1.0	9.36
