mc	gpdm	bgnd	order	bl
IT未来株式会社	688588.SH	2019.0	1.0	11.74
IT未来株式会社	688588.SH	2018.0	2.0	6.3
Kyowa Manufacturing Co.,Ltd	688360.SH	2017.0	1.0	6.43
Kyowa Manufacturing Co.,Ltd	688360.SH	2018.0	1.0	5.18
一汽丰田汽车销售有限公司	000927.SZ	2019.0	1.0	32.84
一汽丰田汽车销售有限公司	000025.SZ	2017.0	1.0	60.36
一汽丰田汽车销售有限公司	000025.SZ	2018.0	1.0	38.27
上海上药和黄医药销售有限公司	600851.SH	2018.0	1.0	3.37
上海上药和黄医药销售有限公司	600851.SH	2019.0	1.0	3.69
上海励涛文化传媒有限公司	300805.SZ	2017.0	3.0	2.12
中国建筑技术集团有限公司	002030.SZ	2017.0	2.0	9.41
北京**信息技术股份有限公司	300380.SZ	2018.0	5.0	3.7
北京东方诚国际钢结构工程有限公司建筑安装分公司	000856.SZ	2018.0	4.0	1.2
北京合纵科技股份有限公司	002339.SZ	2018.0	4.0	3.45
南京融轩金属材料有限公司	300008.SZ	2019.0	2.0	4.87
厦门爱印科技有限公司	688365.SH	2018.0	4.0	2.27
国网内蒙古东部电力有限公司霍林郭勒供电分公司	002128.SZ	2017.0	4.0	4.01
大连中基石油化工有限公司	603798.SH	2018.0	2.0	11.19
天津南开区教育局	000965.SZ	2019.0	3.0	12
安徽南天建设有限公司	002059.SZ	2019.0	2.0	2.63
山东中垠国际贸易有限公司	000878.SZ	2017.0	3.0	6.58
山西兰花科技创业股份有限公司新材料分公司	605166.SH	2019.0	5.0	6.9
山西焦化集团有限公司	600740.SH	2019.0	1.0	81.03
岳阳丰利纸业有限公司	000815.SZ	2017.0	5.0	6.15
常州市松亚电机控制厂	002979.SZ	2017.0	2.0	6.16
常州市松亚电机控制厂	002979.SZ	2018.0	3.0	5.03
微众梦想科技(北京)有限公司	000793.SZ	2018.0	2.0	3.85
成都巨新实业有限公司	000638.SZ	2018.0	4.0	5.06
成都市国土资源局	000961.SZ	2017.0	1.0	12.54
某国有大型资产管理股份有限公司1	300309.SZ	2018.0	1.0	36.94
江苏王子制纸有限公司	000719.SZ	2018.0	4.0	1.28
江苏王子制纸有限公司	000719.SZ	2019.0	5.0	0.92
浙江华城建设集团有限公司	000558.SZ	2019.0	1.0	36.77
涿州市春鑫商贸有限公司	603616.SH	2018.0	5.0	""
深圳市云鼠科技开发有限公司	603486.SH	2017.0	4.0	2.41
深圳市胜都钢材有限公司	002965.SZ	2017.0	3.0	""
湖南普照信息材料有限公司	688138.SH	2017.0	3.0	10.18
湖南普照信息材料有限公司	688138.SH	2018.0	4.0	7.53
烟台醴泉啤酒原料有限公司	000752.SZ	2017.0	3.0	5.04
烟台醴泉啤酒原料有限公司	000752.SZ	2018.0	3.0	4.06
盐城市江动曲轴制造有限公司	000816.SZ	2019.0	2.0	2.38
盘锦蓝海石化有限公司	000159.SZ	2017.0	2.0	13.92
盘锦蓝海石化有限公司	000159.SZ	2018.0	2.0	15.51
盘锦蓝海石化有限公司	000159.SZ	2019.0	3.0	8.62
航油 4	600115.SH	2017.0	4.0	0.73
陈英富及其家族成员	603317.SH	2018.0	3.0	5.79
陈英富及其家族成员	603317.SH	2017.0	4.0	5.06
