mc	gpdm	bgnd	order	bl
JS	000682.SZ	2017.0	5.0	1.57
Premium Grain Handlers Pty Ltd  澳洲优质谷物经营有限公司	002956.SZ	2017.0	4.0	4.77
Siemens	300293.SZ	2018.0	4.0	0.88
TowerJazz	300782.SZ	2017.0	2.0	32.97
上海万钲祥金属材料有限公司	002602.SZ	2017.0	2.0	5.61
上海万钲祥金属材料有限公司	002602.SZ	2018.0	4.0	1.72
上海国储能源集团有限公司	300008.SZ	2018.0	4.0	2.01
上海国储能源集团有限公司	688106.SH	2019.0	5.0	4.86
上海龙瑞文化传媒有限公司	002113.SZ	2017.0	5.0	4.83
东莞市威孚包装材料有限公司	002947.SZ	2017.0	1.0	12.79
东营神州澳亚现代牧场有限公司	002946.SZ	2017.0	5.0	2.19
中国船舶工业有限公司及	000547.SZ	2018.0	5.0	1.46
中船重工	002953.SZ	2017.0	4.0	2.87
中铝天津国际贸易有限公司	000652.SZ	2017.0	1.0	24
中铝天津国际贸易有限公司	002092.SZ	2017.0	2.0	3.41
临沂新程金锣肉制品集团有限公司兴隆分公司	600891.SH	2019.0	4.0	3.38
仁寿海川包装有限公司	002629.SZ	2019.0	4.0	4.4
凌云光技术集团有限责任公司	300789.SZ	2017.0	2.0	5.74
凌云光技术集团有限责任公司	300789.SZ	2018.0	3.0	4.17
凯普松电子科技(包头)有限公司	002806.SZ	2018.0	5.0	4.95
北京创志铭意科贸有限公司	002359.SZ	2017.0	1.0	9.48
北京顺桥房地产开发有限公司	000882.SZ	2017.0	1.0	7.61
北京顺桥房地产开发有限公司	000882.SZ	2018.0	4.0	4.99
北京顺桥房地产开发有限公司	000882.SZ	2019.0	4.0	5.42
四川金石耐火材料有限公司一分公司	600678.SH	2018.0	4.0	8.26
四川雷得兴业信息科技有限公司	300789.SZ	2017.0	1.0	9.36
四川雷得兴业信息科技有限公司	300789.SZ	2018.0	1.0	11.48
国网湖南省电力有限公司益阳供电分公司	688598.SH	2017.0	1.0	25.13
国网湖南省电力有限公司益阳供电分公司	688598.SH	2018.0	1.0	21.02
国网湖南省电力有限公司益阳供电分公司	688598.SH	2019.0	1.0	19.41
大石桥市荣富耐火材料有限公司	002225.SZ	2017.0	2.0	2.4
大石桥市荣富耐火材料有限公司	002225.SZ	2018.0	2.0	1.95
察布查尔锡伯自治县齐晟农贸有限公司	002422.SZ	2018.0	4.0	3.18
山东大海集团进出口有限公司	000509.SZ	2017.0	4.0	7.07
广西柳州桂糖有限责任公司	000833.SZ	2018.0	3.0	11.96
恒天嘉华非织造有限公司	002551.SZ	2019.0	2.0	4.64
武汉噢易云计算股份有限公司	600870.SH	2019.0	5.0	0.17
河南博奥贸易有限公司	300273.SZ	2018.0	1.0	4.6
济宁惕厉经贸有限公司	002921.SZ	2019.0	2.0	9.55
海口海盛源实业有限公司	000735.SZ	2018.0	5.0	2.75
深圳市立尔讯科技有限公司	300229.SZ	2017.0	5.0	2.35
福建中日达金属有限公司	002937.SZ	2017.0	2.0	3.51
舜元建设(集团)有限公司	600846.SH	2017.0	3.0	1.83
航空工业系统内	000738.SZ	2018.0	1.0	23.09
航空工业系统内	000738.SZ	2019.0	1.0	29.54
航空工业系统内	000738.SZ	2017.0	2.0	7.22
苏州天翔地产企业集团有限公司	000058.SZ	2017.0	5.0	0.63
辽宁宏远医药有限公司	000597.SZ	2019.0	5.0	1.34
辽宁省电力有限公司本溪供电公司	000761.SZ	2017.0	4.0	6.46
辽宁省电力有限公司本溪供电公司	000761.SZ	2018.0	4.0	5.27
重庆上药慧远药业有限公司	603439.SH	2017.0	2.0	25.13
重庆上药慧远药业有限公司	603439.SH	2018.0	2.0	23.95
重庆上药慧远药业有限公司	603439.SH	2019.0	2.0	28.67
