mc	gpdm	bgnd	order	bl
b	600448.SH	2017.0	2.0	""
CBH GRAIN PTY LTD 澳洲谷物股份有限公司	002956.SZ	2018.0	1.0	30.93
Cromwell	000697.SZ	2017.0	4.0	3.27
EOS	688333.SH	2017.0	1.0	43.71
EOS	688333.SH	2018.0	1.0	39.58
Eaton	000697.SZ	2017.0	5.0	2.55
SHANGHAI MACHINERY COMPLETE EQUIPMENT (GROUP) CORP, LTD.	600820.SH	2018.0	5.0	1.53
TECOMEDICALINSTRUMENTS	300406.SZ	2019.0	4.0	6.22
VinatiOrganicsLimited	000627.SZ	2019.0	2.0	16.27
VinatiOrganicsLimited	000627.SZ	2017.0	3.0	6.58
WOOJIN IND Co.,Ltd.	300825.SZ	2017.0	5.0	4.06
上海期货交易所	000878.SZ	2018.0	2.0	6.94
上海犇跑供应链管理有限公司	600870.SH	2019.0	1.0	63.44
东莞市东辉建筑劳务有限公司	002830.SZ	2018.0	3.0	4.25
东莞泉声电子有限公司	002981.SZ	2018.0	2.0	5.13
东莞泉声电子有限公司	002981.SZ	2017.0	3.0	4.73
临沂新程金锣肉制品集团有限公司	000529.SZ	2017.0	2.0	2.95
临沂新程金锣肉制品集团有限公司	000529.SZ	2018.0	5.0	2.24
临沂新程金锣肉制品集团有限公司	601366.SH	2017.0	5.0	1.31
北京国茂辰昊传动设备有限公司	000820.SZ	2019.0	4.0	6.46
北京格赛技术有限公司	002359.SZ	2017.0	2.0	8.1
北京浩太同益科技发展有限公司	688118.SH	2017.0	5.0	3.34
南京南瑞集团公司信息系统集成分公司	002090.SZ	2017.0	2.0	3.79
南昌江铃华翔汽车零部件有限公司	000550.SZ	2019.0	2.0	3.41
合肥皖康信息科技有限公司	002622.SZ	2018.0	5.0	5.28
四川远星橡胶有限责任公司	000913.SZ	2017.0	2.0	1.35
客商4	600491.SH	2019.0	4.0	1.28
宿州市复兴建筑安装工程有限公司	300388.SZ	2017.0	1.0	5.61
宿州市复兴建筑安装工程有限公司	300388.SZ	2018.0	2.0	4.95
宿州市复兴建筑安装工程有限公司	300388.SZ	2019.0	4.0	1.93
山东中信工贸有限公司	600618.SH	2018.0	2.0	16.96
山东中信工贸有限公司	600618.SH	2017.0	3.0	13.08
山东丰宝实业有限公司	600397.SH	2018.0	4.0	5
广州中保华安保安服务有限公司	000502.SZ	2018.0	4.0	10.76
广州市合诚化学有限公司	002422.SZ	2018.0	5.0	2.78
戊公司	000411.SZ	2017.0	5.0	1.91
戊公司	000411.SZ	2018.0	5.0	1.98
戊公司	000411.SZ	2019.0	5.0	2.11
戊公司	600500.SH	2017.0	5.0	0.87
无锡前信自动化设备有限公司	688466.SH	2019.0	4.0	3.62
晋城市凯科工贸有限责任公司	600123.SH	2017.0	5.0	0.98
江苏中信博新能源科技股份有限公司	300208.SZ	2017.0	4.0	3.28
江苏通润装备科技股份有限公司	002444.SZ	2017.0	1.0	3.06
江苏通润装备科技股份有限公司	002444.SZ	2018.0	1.0	2.24
江阴市嘉茂铝塑科技有限公司	601199.SH	2018.0	5.0	3.17
河南中孚实业股份有限公司	300057.SZ	2017.0	3.0	8.37
河南中孚实业股份有限公司	601068.SH	2017.0	5.0	4.33
浙江天马轴承集团有限公司	002122.SZ	2019.0	3.0	4.85
浙江天马轴承集团有限公司	002552.SZ	2017.0	1.0	18.85
浙江天马轴承集团有限公司	002552.SZ	2019.0	1.0	22.71
浙江天马轴承集团有限公司	002552.SZ	2018.0	2.0	18.08
浙江明日	603681.SH	2017.0	1.0	5.26
深圳市中誉宏智能家居有限公司	002830.SZ	2018.0	1.0	5.56
深圳市燃气集团股份有限公司	000037.SZ	2019.0	1.0	39.89
深圳市燃气集团股份有限公司	000037.SZ	2018.0	2.0	24.46
福建未来无线信息技术有限公司	300634.SZ	2017.0	3.0	3.76
西安彩晶光电科技股份有限公司	688181.SH	2017.0	4.0	12.32
西安彩晶光电科技股份有限公司	688181.SH	2018.0	4.0	6.73
邹平县宏正新材料科技有限公司	002379.SZ	2018.0	1.0	43.79
邹平县宏正新材料科技有限公司	002379.SZ	2019.0	1.0	63.08
郑州星锐蔬菜有限公司	002306.SZ	2019.0	5.0	9.29
长沙聚正鑫业计算机科技有限公司	603927.SH	2018.0	3.0	2.25
青岛海孚防腐科技开发有限公司	300797.SZ	2018.0	5.0	2.71
鹏辉能源	300793.SZ	2017.0	2.0	3.89
鹏辉能源	300793.SZ	2018.0	2.0	7.22
