mc	gpdm	bgnd	order	bl
CAMBO HONG XING INTERNATIONAL KNITTING CO.,LTD	000982.SZ	2018.0	2.0	6.87
上海京汇美饰建筑工程有限公司	000679.SZ	2017.0	5.0	0.72
上海佳田药用包装有限公司	300753.SZ	2017.0	5.0	3.95
上海向量电子有限公司	688188.SH	2017.0	3.0	7.49
上海向量电子有限公司	688188.SH	2018.0	4.0	6.13
二(公司关联方)	002544.SZ	2019.0	2.0	1.1
佳通轮胎(中国)投资有限公司	600182.SH	2017.0	1.0	29.29
佳通轮胎(中国)投资有限公司	600182.SH	2018.0	1.0	35.15
佳通轮胎(中国)投资有限公司	600182.SH	2019.0	1.0	38.44
内蒙古电力(集团)有限责任公司锡林郭勒电业局	000426.SZ	2017.0	1.0	18.66
内蒙古电力(集团)有限责任公司锡林郭勒电业局	000426.SZ	2019.0	1.0	14.06
内蒙古电力(集团)有限责任公司锡林郭勒电业局	000426.SZ	2018.0	3.0	12.67
北京华亿创新信息技术有限公司	300651.SZ	2018.0	2.0	3.26
北京康孚科技股份有限公司	300324.SZ	2017.0	5.0	1.68
北京朗顿制衣有限公司	002656.SZ	2017.0	4.0	3.11
北海市铁山港区港盛劳动服务有限公司	000582.SZ	2018.0	2.0	2.15
北海市铁山港区港盛劳动服务有限公司	000582.SZ	2017.0	4.0	2.1
厦门华特集团有限公司	603909.SH	2019.0	5.0	""
吉林中粮生化能源销售有限公司	000930.SZ	2017.0	2.0	3.77
周德林及其家族成员	603317.SH	2017.0	1.0	23.38
周德林及其家族成员	603317.SH	2018.0	1.0	24.88
巨贸精密工业股份有限公司	002983.SZ	2019.0	5.0	4.32
广州立邦涂料有限公司	002989.SZ	2019.0	4.0	0.86
广州露水河人造板销售有限公司	300749.SZ	2017.0	4.0	3.74
李刚华	000023.SZ	2019.0	3.0	2.85
李端春	688196.SH	2019.0	4.0	2.85
杭州海康威视科技有限公司	300081.SZ	2018.0	2.0	3.75
杭州海康威视科技有限公司	300081.SZ	2019.0	4.0	2.21
杭州海康威视科技有限公司	688004.SH	2018.0	5.0	2.71
杭州海康威视科技有限公司	300075.SZ	2017.0	4.0	0.65
梁**	000573.SZ	2018.0	2.0	10.86
梁**	000573.SZ	2019.0	2.0	8.21
江苏长电科技股份有限公司	603068.SH	2017.0	3.0	8.2
江苏长电科技股份有限公司	300373.SZ	2018.0	5.0	3.47
江阴俱进钢板加工有限公司	300280.SZ	2017.0	2.0	7.16
浙江交工高等级公路养护有限公司	001965.SZ	2018.0	4.0	3.39
海宁弼盛影业有限公司	300528.SZ	2019.0	4.0	3.08
深圳市博科供应链管理有限公司	603236.SH	2018.0	3.0	6.49
深圳市博科供应链管理有限公司	002196.SZ	2019.0	4.0	4.92
深圳市博科供应链管理有限公司	688188.SH	2017.0	2.0	8.18
深圳市博科供应链管理有限公司	688188.SH	2018.0	3.0	6.23
湖北金盛兰冶科技有限公司	002627.SZ	2017.0	3.0	9.99
王永兴	600988.SH	2019.0	5.0	3.27
贵阳市医药电商服务有限公司	002390.SZ	2017.0	3.0	2.23
陕西华秦科技实业有限公司	002985.SZ	2019.0	1.0	8.24
陕西华秦科技实业有限公司	002985.SZ	2018.0	2.0	9.53
陕西华秦科技实业有限公司	002985.SZ	2017.0	5.0	6.46
鸿秦(北京)科技有限公司	002933.SZ	2017.0	2.0	10.09
