mc	gpdm	bgnd	order	bl
ADM Asia-Pacific Trading Pte.Ltd.	000893.SZ	2018.0	4.0	4.29
Catalyst Company	603619.SH	2017.0	3.0	1.97
HTL	688363.SH	2017.0	4.0	4.58
HTL	688363.SH	2018.0	5.0	3.35
SAAF ADVANCED FABRICS	002551.SZ	2018.0	2.0	5.41
SK有限公司	000948.SZ	2017.0	1.0	14.32
中石油煤层气有限责任公司忻州分公司	300332.SZ	2018.0	3.0	13.69
先特科技国际贸易(上海)有限公司	300354.SZ	2017.0	4.0	3.42
先特科技国际贸易(上海)有限公司	300354.SZ	2018.0	5.0	2.85
北京诚创信和服装有限公司	002612.SZ	2019.0	5.0	1.65
厦门微能电子科技有限公司	002614.SZ	2019.0	5.0	1.38
周大福珠宝金行张家港保税区有限公司	600857.SH	2017.0	3.0	2.09
四川新华物业有限公司遂宁分公司	600101.SH	2018.0	5.0	0.71
大石桥市金瑞耐火材料有限责任公司	002066.SZ	2017.0	5.0	1.32
山东新华万博化工有限公司	000756.SZ	2018.0	3.0	4.33
广东电网有限责任公司佛山供电局	300769.SZ	2017.0	3.0	8.74
广东电网有限责任公司佛山供电局	300769.SZ	2018.0	4.0	8.74
广西渤海农业发展有限公司	000735.SZ	2017.0	3.0	3.51
建德市亿金煤炭有限公司	603948.SH	2018.0	5.0	4.15
德国博世公司	000581.SZ	2017.0	4.0	2.56
惠州市泰亿科技有限公司	300282.SZ	2018.0	3.0	4.49
惠州市泰亿科技有限公司	300282.SZ	2019.0	3.0	4.67
成都佰奥美迪科技有限公司	688222.SH	2018.0	1.0	9.23
成都佰奥美迪科技有限公司	688222.SH	2019.0	3.0	6.18
成都佰奥美迪科技有限公司	688222.SH	2017.0	5.0	4.35
成都冀物金贸易有限公司	600039.SH	2018.0	1.0	6.32
成都冀物金贸易有限公司	600039.SH	2017.0	5.0	0.89
扬州金元禧贵金属制品有限公司	002089.SZ	2018.0	3.0	2.53
江苏*******有限公司	300152.SZ	2018.0	1.0	5.77
江苏荣邦机械制造有限公司	300594.SZ	2017.0	3.0	6.03
江苏荣邦机械制造有限公司	300594.SZ	2018.0	4.0	4.47
江阴市揽胜管道配件有限公司	601199.SH	2019.0	3.0	4.26
河北华北石油荣盛机械制造有限公司	603619.SH	2018.0	4.0	1.84
洛阳和谐铁合金有限公司	002423.SZ	2018.0	3.0	5.89
深圳市展阳精密模具有限公司	300282.SZ	2017.0	5.0	2.42
深圳市易达恒通供应链管理有限公司	000977.SZ	2018.0	3.0	6.81
深圳市易达恒通供应链管理有限公司	000977.SZ	2017.0	5.0	6.39
深圳市柏星龙创意包装股份有限公司	002646.SZ	2017.0	2.0	6.23
漳州路桥物资发展有限公司	002785.SZ	2017.0	4.0	4.98
理文造纸	603687.SH	2017.0	3.0	10.17
理文造纸	603687.SH	2018.0	4.0	12.07
福建中晶科技有限公司	002089.SZ	2018.0	2.0	3.35
福建中晶科技有限公司	002089.SZ	2019.0	4.0	7.07
科伟奇电子(北京)有限公司	300810.SZ	2017.0	3.0	10.2
秦皇岛首秦金属材料有限公司	300569.SZ	2018.0	4.0	4.31
章丘荣佳电机销售有限公司	002598.SZ	2017.0	5.0	2.68
章丘荣佳电机销售有限公司	002598.SZ	2018.0	5.0	2.08
舟山市普陀区同欣远洋渔业专业合作社	000798.SZ	2019.0	2.0	7.92
赤峰双平投资管理有限责任公司	000982.SZ	2017.0	2.0	3.9
辽宁金煤源能源有限公司	000692.SZ	2018.0	5.0	9.52
阿迪达斯体育(中国)有限公司	603555.SH	2017.0	2.0	8.45
阿迪达斯体育(中国)有限公司	603555.SH	2018.0	2.0	9.64
陕西北方风力机电有限责任公司	002576.SZ	2019.0	4.0	2.52
青州博大纸业贸易公司	002261.SZ	2017.0	2.0	4.75
青州博大纸业贸易公司	002261.SZ	2018.0	3.0	2.14
高通	688159.SH	2018.0	1.0	20.19
高通	688159.SH	2017.0	3.0	16.03
