mc	gpdm	bgnd	order	bl
MCO WINMARK EXHIBITIONS PVT.LTD.,PRAVISH INDIA	300795.SZ	2017.0	4.0	4.91
SCHLEICH GmbH	300461.SZ	2018.0	4.0	5.5
SRITRADINGAGRO-INDUSTRY	000589.SZ	2019.0	3.0	5.64
上港集团	603713.SH	2018.0	1.0	3.72
上港集团	603713.SH	2017.0	2.0	3.65
上港集团	603713.SH	2019.0	3.0	2.04
中建五局安装工程有限公司	000668.SZ	2019.0	2.0	14.71
中植国际投资控股有限公司	300023.SZ	2019.0	1.0	62.47
中通汽车工业集团有限责任公司	300815.SZ	2017.0	3.0	7.71
中通汽车工业集团有限责任公司	300815.SZ	2018.0	4.0	5.46
优酷信息技术(北京)有限公司	002113.SZ	2018.0	4.0	6.48
优酷信息技术(北京)有限公司	002113.SZ	2019.0	5.0	4.5
兰州兰石能源装备国际工程有限公司	601212.SH	2017.0	1.0	6.9
内蒙古民富建设工程劳务有限公司	603220.SH	2017.0	3.0	3.98
北京中达恒业科技发展有限公司	688015.SH	2017.0	3.0	3.58
北京中达恒业科技发展有限公司	688015.SH	2018.0	5.0	1.37
南京南瑞信息通信科技有限公司	300830.SZ	2017.0	1.0	15.73
合肥通富微电子有限公司	688368.SH	2019.0	5.0	5.91
吴江市永发针织厂	300819.SZ	2018.0	5.0	4.1
四川宜宾威力化工有限责任公司	002827.SZ	2017.0	1.0	22.07
四川宜宾威力化工有限责任公司	002827.SZ	2018.0	1.0	21.33
四川维奥制药有限公司	688566.SH	2018.0	2.0	9.97
四川维奥制药有限公司	688566.SH	2017.0	5.0	3.95
宝鸡钛业股份有限公司	002985.SZ	2018.0	5.0	5.38
宝鸡钛业股份有限公司	688085.SH	2017.0	4.0	4.22
宝鸡钛业股份有限公司	300402.SZ	2017.0	1.0	12.19
宝鸡钛业股份有限公司	300402.SZ	2018.0	2.0	7.61
宝鸡钛业股份有限公司	300402.SZ	2019.0	3.0	10.14
富阳双驹及其下的企业	603863.SH	2017.0	4.0	5.58
山东宏坤进出口有限公司	300637.SZ	2017.0	2.0	4.22
山东宏坤进出口有限公司	300637.SZ	2019.0	2.0	3.19
山东宏坤进出口有限公司	300637.SZ	2018.0	3.0	3.9
广东教育出版社有限公司	000529.SZ	2017.0	1.0	4.18
广东教育出版社有限公司	000529.SZ	2018.0	1.0	5.55
广东教育出版社有限公司	000529.SZ	2019.0	2.0	2.77
广州恒团贸易发展有限公司	600678.SH	2017.0	4.0	10.37
成都赛儒鑫商贸有限公司	300841.SZ	2018.0	4.0	8.87
新希望集团有限公司	002946.SZ	2017.0	1.0	15.5
杭州霆腾科技有限公司	688088.SH	2018.0	4.0	2.39
栖霞长裕玻璃有限公司	000869.SZ	2019.0	3.0	9.89
河北建设集团天辰建筑工程有限公司	300425.SZ	2017.0	1.0	5.47
浙江力诺流体控制科技股份有限公司	300430.SZ	2017.0	2.0	3.62
浙江力诺流体控制科技股份有限公司	300430.SZ	2018.0	2.0	3.51
浙江力诺流体控制科技股份有限公司	300430.SZ	2019.0	2.0	2.65
浙江自立高温科技有限公司	002066.SZ	2019.0	1.0	4.86
温州锦泉贸易有限公司	002586.SZ	2019.0	5.0	0.61
湖北华强科技有限责任公司	002693.SZ	2019.0	3.0	6.81
湖北华强科技有限责任公司	002693.SZ	2018.0	5.0	3.1
湛江市麻斜祥和船舶修造有限公司	002320.SZ	2018.0	5.0	1.34
湛江市麻斜祥和船舶修造有限公司	002320.SZ	2019.0	5.0	1.15
瑞镭激光技术(深圳)有限公司	300776.SZ	2018.0	4.0	3.05
霍尔果斯智媒广告有限公司	002127.SZ	2017.0	2.0	7.4
