mc	gpdm	bgnd	order	bl
Avago Technologies International Sales Pte., Limited	002938.SZ	2017.0	2.0	6.79
JOT Automation Ltd	002957.SZ	2017.0	4.0	3.6
上海柏安建筑劳务有限公司	300388.SZ	2017.0	5.0	1.67
上海王润贸易有限公司	002196.SZ	2017.0	1.0	6.52
上海王润贸易有限公司	002196.SZ	2019.0	2.0	5.67
中国石油天然气股份有限公司华东化工销售合肥分公司	000859.SZ	2017.0	3.0	8.22
中国石油天然气股份有限公司天然气销售西南分公司	000912.SZ	2017.0	1.0	35.42
中国石油天然气股份有限公司天然气销售西南分公司	603053.SH	2017.0	1.0	""
中国石油天然气股份有限公司天然气销售西南分公司	603053.SH	2018.0	1.0	""
中国神华煤制油化工有限公司销售分公司	000905.SZ	2017.0	4.0	3.77
中国神华煤制油化工有限公司销售分公司	000905.SZ	2018.0	4.0	4.02
中城投集团第六工程局有限公司龙岩分公司	300712.SZ	2019.0	1.0	14.23
中山中法供水有限公司	000685.SZ	2017.0	1.0	12.12
中山中法供水有限公司	000685.SZ	2018.0	1.0	9.98
中山中法供水有限公司	000685.SZ	2019.0	1.0	8.92
公司控制的企业	000301.SZ	2018.0	1.0	21.67
北京包钢新源科技有限公司	300569.SZ	2018.0	3.0	5.1
北京赛莱默分析仪器(北京)有限公司	002322.SZ	2017.0	2.0	5.49
南京儒一航空机械装备有限公司	300762.SZ	2018.0	5.0	4.15
四川省同源酿造有限公司	000995.SZ	2017.0	3.0	9.83
国网安徽省电力公司芜湖供电公司	000778.SZ	2019.0	3.0	1.68
成都顺星成贸易有限公司	600039.SH	2017.0	3.0	1.46
江苏中南建设装饰有限公司	000961.SZ	2019.0	2.0	0.95
沈阳金大玮珠宝有限公司	002237.SZ	2017.0	1.0	11.12
沈阳金大玮珠宝有限公司	002237.SZ	2018.0	1.0	9.99
河北宇腾羊绒制品有限公司	000982.SZ	2017.0	1.0	4.19
深圳市年富供应链有限公司	300671.SZ	2017.0	2.0	16.75
湖南兰德科技发展有限公司	000504.SZ	2019.0	3.0	5.76
湖南省沙坪建筑有限公司	000014.SZ	2018.0	5.0	2.34
湖南省食品产业有限责任公司	000529.SZ	2019.0	5.0	1.68
爱奇艺	605168.SH	2019.0	4.0	5.18
爱奇艺	605168.SH	2017.0	5.0	4.66
爱奇艺	605168.SH	2018.0	5.0	5.57
贵州开磷化肥有限责任公司	300387.SZ	2017.0	2.0	6.78
长沙友欣仪器制造有限公司	300338.SZ	2018.0	5.0	2.16
长沙正航家具有限公司	002989.SZ	2017.0	1.0	3.44
