mc	gpdm	bgnd	order	bl
****(昆山)建设工程股份有限公司	000573.SZ	2019.0	4.0	5.93
ARROW ELECTRONICS CHINA LIMITED	688001.SH	2018.0	2.0	6.69
CORPORACIONNACIONALDELCOBREDECHILE	000626.SZ	2018.0	4.0	1.17
MANGUWANGFOODCO.,LTD	002847.SZ	2019.0	2.0	6.87
MEIHUASINGCO.,LTD	600870.SH	2018.0	1.0	70.59
SAFCO TIRE LTD	601068.SH	2017.0	3.0	4.73
TheMilestoneAviationAssetHoldingGroupN0.25Ltd	000099.SZ	2018.0	5.0	5.38
上海国利汽车真皮饰件有限公司	002048.SZ	2018.0	1.0	2.08
上海国利汽车真皮饰件有限公司	002048.SZ	2017.0	2.0	2.4
上海苏克实业有限公司	002629.SZ	2018.0	5.0	5.48
中国第一汽车集团进出口有限公司	000800.SZ	2017.0	1.0	20.86
中国第一汽车集团进出口有限公司	000800.SZ	2018.0	1.0	20.47
中国第一汽车集团进出口有限公司	000800.SZ	2019.0	1.0	15.42
亚德客(中国)有限公司长沙分公司	002943.SZ	2017.0	5.0	2.69
北京太一星晨信息技术有限公司	002439.SZ	2017.0	5.0	3.14
南京玉林光学仪器厂	603297.SH	2017.0	5.0	4.08
四川长恒建设工程有限公司	002200.SZ	2018.0	4.0	3.21
国家电投集团河北电力燃料有限公司	000958.SZ	2019.0	1.0	10.42
埃贝斯乐铝业技术	002662.SZ	2019.0	4.0	3.43
天津中德传动有限公司	300742.SZ	2017.0	4.0	10.09
如皋市泓泽贸易有限公司	000652.SZ	2018.0	3.0	7
如皋市泓泽贸易有限公司	000155.SZ	2018.0	2.0	8.71
如皋市泓泽贸易有限公司	000155.SZ	2017.0	3.0	7.28
宁波新福化工销售有限公司	603613.SH	2017.0	2.0	8.33
宁波新福化工销售有限公司	603613.SH	2018.0	4.0	3.78
山西建龙实业有限公司	300226.SZ	2017.0	1.0	1.43
山西建龙实业有限公司	300226.SZ	2018.0	1.0	2.01
山西建龙实业有限公司	300226.SZ	2019.0	5.0	0.84
常州市浩逸化工有限公司	603221.SH	2017.0	5.0	6.39
张家港市固铝金属制品有限公司	605288.SH	2019.0	5.0	1.98
成都环境集团	000598.SZ	2019.0	1.0	13.13
成都环境集团	000598.SZ	2018.0	3.0	11.59
成都环境集团	000598.SZ	2017.0	4.0	5.05
永兴县富恒贵金属有限责任公司	600988.SH	2018.0	1.0	""
江苏中金玛泰医药包装有限公司	688566.SH	2017.0	4.0	4.28
江苏中金玛泰医药包装有限公司	688566.SH	2018.0	5.0	5.06
江西晶昊盐化有限公司	002748.SZ	2017.0	4.0	5.08
河南九州通医药有限公司	000078.SZ	2018.0	3.0	1.09
浙江奥航综合服务有限公司	000011.SZ	2018.0	3.0	3.11
浙江富通光纤技术有限公司	000836.SZ	2019.0	1.0	17.93
深圳供电局有限公司	000058.SZ	2019.0	2.0	2.34
深圳供电局有限公司	000058.SZ	2018.0	4.0	2.3
电溶机电(昆山)有限公司	688218.SH	2018.0	5.0	2.65
航油5	600115.SH	2019.0	5.0	1.16
西藏国路安科技股份有限公司	688058.SH	2017.0	2.0	""
西藏国路安科技股份有限公司	600855.SH	2019.0	2.0	""
辽宁民生智能仪表有限公司	000809.SZ	2018.0	5.0	4.51
辽宁民生智能仪表有限公司	000809.SZ	2019.0	5.0	6.95
铜陵精达里亚特种漆包线有限公司	002196.SZ	2017.0	4.0	2.3
铜陵精达里亚特种漆包线有限公司	002196.SZ	2018.0	4.0	3.3
阳谷明鑫铜业有限公司	000720.SZ	2017.0	5.0	3.71
霍尔果斯炽炎广告有限公司	300528.SZ	2017.0	5.0	1.48
非凡世纪(福建)服饰有限公司	002612.SZ	2019.0	4.0	1.73
