uid	startnode	endnode	startdate	enddate	title
db768364ae1440df83e3254d748da1f5	00bffedf9b393138068c97ff45a808fd	35206a520809f5802c48a0bd9b9fdf3d	""	""	公司高管
1994093a55ce4dc78726088df05cc117	04550cfd673ae7da803c82b920ca43e2	db26fa76f4c7f8eca4c15d0cfca76ce8	""	""	总经理
8b84660c6c204213ab66c8c4e8b8f43a	0ab55957ab96b9e73b801f802c3738f7	3d2251d806e181f598aa2caa10084bd6	""	""	总经理
ba8bb1d6048d4ebdb91ad24a5cf10567	0b6237115564c1f9e9a67c3ff27eaf4a	1d587e57266e8799a53937a21fe2d033	""	""	公司高管
53b61e8b8ff2499aa922822440397b9b	0e108858677965b84ec749c32826e9aa	0aced47da174c7f28de7ec3a65bdb358	""	""	公司高管
b32cde5adb534e00ad2ed1335b69e784	0e83f985e179cd5c2861a8e12425fbe3	d795b329067331b498731d9929848dd0	""	""	公司高管
ef485165af6f47fb9d4cdeba4c6e2bce	0f99f17d2bf0c1eca1ac4f5141072246	600552d840a782ba8df8fbc6e0c615d4	""	""	公司高管
9efe13590a2c449baee54314aa570a2e	100203b5c36fcb7c2ce9a08848bb56fd	359100f1ca9aa72c3ef196670561c220	""	""	公司高管
f4dadf47d6a446b098c20377824067ba	10193fbd97199c5bc8a457b4a6e1b14e	bb6faa9acc1a0b2208732d2b2ca0a343	""	""	总经理
cdfb407e316f4de1ba6dcf65abfd8ce2	11431a00aff80fa8adfef19db1d5a3b0	30a374f7b8a8a12b7773f0cc23a9af63	""	""	总经理
6d5670ed5289499c83e2872a98f47bd7	136bb2061f56a66725424c48716d63fa	a1b40819b8f631657cdf1028bc7cc6ea	""	""	总经理
0c385192ee4c4d8f977d970d0be8e1f0	1503fad029c325c9db6ad7152775de5d	e2b3069b3904236eb112ed1996a56e47	""	""	董事会秘书
10c6e037fc8142fbb07eb27cdc549c42	167395595e1f567d44f7db86b4225824	c00343ebd164e36ddbb419b7bacaf7bf	""	""	公司高管
251995c8ee9b4a4da4b7816fffc97b5e	177feda43d80a6093840f9eccddbabbf	de420bd8ee886e4de9f5ac6265de3781	""	""	公司高管
100cbc99f22a4df0acc4aba896f8475c	17fcfb7c5e16fb6b50934bcf65a076b1	aa090eace2a9cc324d6b9cb02c495a49	""	""	公司高管
4769f3cb4f6f4be6ad5798c1b63d97f5	1d4ba7fa9744e3c616352acc82c8dcf5	8e58c023e5e6f9393b795c55f1d33795	""	""	公司高管
b7179ab17f8e470f85e698d12a7b2b5b	211c0fb98b5eb55c111999d7c9245d02	b94b7dad18e61fe1fd11df13ea41f6ab	""	""	总经理
7b0e81cceaaa49bd89cbeb89cf53f382	21919a6f819e449f1c9393e7ec9b9ba4	8fc1973bdef659965a5e4684ad7cd345	""	""	公司高管
f91de5659ec243ccb63203caa7e55d75	21df619bb085b5d5815ff6f417ca4a6a	17fcea33ecd31a30b79f7ccd94f5faaf	""	""	公司高管
c12cabffda844668a3f09b443b74050f	235a582451e47a3445068fe0d3773eaa	55f44b6efb397999c1c9bd42fdb63ba8	""	""	公司高管
a90b6d7bd93c46b9bb92fe48fff2db30	235f06dfc618792e6d5f0e0184d14294	db65ad1ad17ab583e7a74d9a264c1920	""	""	董事会秘书
94ab594880ad4ff59473a7fed4094aa1	23a4e7db07f5584b83543649be447112	24a5513c814ec9b70a4edfc7c85baba7	""	""	总经理
