uid	startnode	endnode	reportdate	order	amount	ratio
eca277c8bac64ed5ad55e03b1922487c	6b0fc9b93ed78586285d3eff0665aecc	087b6d195131c7909ff6eb50e7ceb864	""	1	65000000	31.25
4e6ec7d549874e62aaedb3b1c23123b4	6b2db57b15c340cfff47631a90e3a91e	d7798dd905b9549eff453ce0a310cb46	""	7	48940000	1.9
0057a76ef65349b6b38781e0d6af7bf7	6c9b850d46bc5af4886b3c43ee1a3ff2	16b5effcf4e34c64395f92d3c2a3f984	""	8	1341056	0.96
eaeb1571689744949a6e44fe6628c098	6f52330d5de25f8417804f06fc4964bd	04fa58d3742eb73fdf46a9a33b78631c	""	4	1800000	0.41
2086a27197e9494e90dd9c40f59c7293	71faab2661e6f1023cde2a80bdde5810	c51a0de50cf0d6b3e58ffd6bb00ab33d	""	2	8499052	4.5
a30e24593b4b4ad4be1a9ef24a6e4070	7809c4ae0ad787824a83fcda2c96fe7b	75f2bfbe442ab1b7ee4aeaaaa7a462c1	""	2	24952141	7.68
97b79e95d7904f5ea6734d05e028fc76	7f8648b955ae5d4bc94d6a35621bf9ef	de031139c94c6953d861f8875f026ff3	""	4	2600000	0.54
b56ebd9c6aaf43c59d9e1664d1e7c267	7f93c3a94c70b6aee41979e4c99ba660	a25bfc5135a11261b2634df0a225d245	""	7	3511501	0.19
58b08da6ca914c9493e17b8d35913f97	8173cb607422807bd743d2757f88de5f	de7a4f577844c90ec2de1122212401f1	""	2	13700000	4.41
1ebffbd22041432587209adfd67f73d9	81a7654f3d8e4476d83382a8385f2a96	39d963eac34ddbc77a22ace1fbc44121	""	0	70285555	33.11
6d599f33340646f68371aa91053ddaa9	85a3802a3e96601a1d99eefb1489a84c	69527e5233b4f8d17b40c9d82d51a6a0	""	7	4192300	0.35
7ae0783330124dc5a9bc5d2b60a31fcb	88a44c9acf81f6ef30bd56f41770980e	c186791045ee07c2bd909fd6013bf6ff	""	5	6309660	1.87
5869a19955c344bfbdb0e65306447220	9496adc2fab1e214d01325fc9e454037	dae181490d19fa9d6ccf9715d4c55389	""	0	287183872	24.12
f2ae34ab9d2345afb35bc0ba3fb06744	9d5f501fea4cb0f5a38fcad792324490	058fd46a2013942d765c4ad411b6eb15	""	8	4176600	0.35
82e4240356074136b98bfb4fe6de9820	a03bddc6645b524969850cb17ce9098e	d6c345502fa898f8b525afb495c452c2	""	2	23256000	8.55
0280bf3b9bb347e48e24337d1cd96e9b	a0762004ed6ce3502a4426a754ef9266	77946c39e50369ea0f0017a1b0ed20df	""	8	19500000	1.2
4483469514454a25a127c7d46f103ca4	a1ae4f02370f4e225e0d053f9b075588	a254d5c398f90b719f3a50116ba348c3	""	7	2500000	0.43
0849844309d740a1a730585eec43e420	a4fbf07b2f2d6f200e394297476e044f	c0132de482873089fd4792c1b4f67e72	""	4	6688800	0.45
9f73229d111f45dabd651f220f18b6b6	aa7eac36bb1876e8eb8cd202ae90cc69	f0d444dc87aa467376a8e144ed837c91	""	2	4698800	0.38
19be614e5f424098af36bed252dd4f62	ad4a515f4442bbb24beea0844435948c	72326063bda19b954e090715ddb952d1	""	4	915999	0.72
a202f5ae482948f7948f0723b3b25855	b1a69e7edf2db1aeaee4c025999554e5	d6ebc668718c0f64413ab5e1f860ac37	""	6	15419038	1.25
